Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Title,FsizeD
1,1,female,58.0,0,0,146.5208,C,Miss,singleton
0,3,male,21.0,0,0,7.75,Q,Mr,singleton
0,3,male,42.0,0,1,8.4042,S,Mr,small
1,3,female,30.0,0,0,7.75,Q,Miss,singleton
0,2,female,24.0,0,0,13.0,S,Miss,singleton
0,3,male,28.0,0,0,9.5,S,Mr,singleton
0,3,male,14.0,8,2,69.55,S,Mr,large
0,3,male,34.0,0,0,6.4958,S,Mr,singleton
0,3,male,45.5,0,0,7.225,C,Mr,singleton
1,3,male,18.0,0,0,8.05,S,Mr,singleton
0,3,female,2.0,0,1,10.4625,S,Miss,small
0,3,male,32.0,1,0,15.85,S,Mr,small
1,3,male,26.0,0,0,18.7875,C,Mr,singleton
1,3,female,16.0,0,0,7.75,Q,Miss,singleton
1,1,male,40.0,0,0,31.0,C,Mr,singleton
0,3,male,24.0,0,0,7.05,S,Mr,singleton
1,2,female,35.0,0,0,21.0,S,Miss,singleton
0,3,male,22.0,0,0,7.25,S,Mr,singleton
0,2,male,30.0,0,0,13.0,S,Mr,singleton
0,3,male,21.0,1,0,7.75,Q,Mr,small
1,1,female,31.0,1,0,113.275,C,Miss,small
1,3,female,27.0,0,0,7.925,S,Miss,singleton
0,2,male,42.0,1,0,27.0,S,Mr,small
1,1,female,32.0,0,0,76.2917,C,Miss,singleton
0,2,male,30.0,0,0,10.5,S,Mr,singleton
1,3,male,16.0,0,0,8.05,S,Mr,singleton
0,2,male,27.0,0,0,13.0,S,Mr,singleton
0,3,male,51.0,0,0,8.05,S,Mr,singleton
0,3,male,35.0,0,0,7.8958,S,Mr,singleton
1,1,male,38.0,1,0,90.0,S,Mr,small
0,3,male,22.0,0,0,9.35,S,Mr,singleton
1,2,male,19.0,0,0,10.5,S,Mr,singleton
0,3,male,20.5,0,0,7.25,S,Mr,singleton
0,2,male,18.0,0,0,13.0,S,Mr,singleton
0,3,female,2.0,3,1,25.4667,S,Miss,large
1,1,female,35.0,1,0,83.475,S,Mrs,small
0,3,male,29.0,0,0,7.775,S,Mr,singleton
0,2,male,59.0,0,0,13.5,S,Mr,singleton
1,3,female,5.0,4,2,31.3875,S,Miss,large
0,2,male,24.0,0,0,10.5,S,Mr,singleton
0,3,female,15.0,0,0,7.55,S,Miss,singleton
0,2,male,44.0,1,0,26.0,S,Mr,small
1,2,female,8.0,0,2,26.25,S,Miss,small
0,2,male,19.0,0,0,10.5,S,Mr,singleton
0,2,male,33.0,0,0,12.275,S,Mr,singleton
0,3,female,4.0,1,0,14.4542,C,Miss,small
1,3,female,14.5,1,0,15.5,Q,Miss,small
0,2,male,29.0,0,0,10.5,S,Mr,singleton
0,3,male,22.0,0,0,7.125,S,Mr,singleton
0,3,male,30.0,0,0,7.225,C,Mr,singleton
0,1,male,44.0,2,0,90.0,Q,Rare Title,small
0,3,female,25.0,0,0,7.775,S,Miss,singleton
1,2,female,24.0,0,2,14.5,S,Mrs,small
1,1,male,37.0,1,1,52.5542,S,Mr,small
0,2,male,54.0,1,0,26.0,S,Rare Title,small
0,3,male,20.0,0,0,7.25,S,Mr,singleton
0,3,female,29.0,1,1,10.4625,S,Mrs,small
0,1,male,62.0,0,0,26.55,S,Mr,singleton
0,3,male,30.0,1,0,16.1,S,Mr,small
0,3,female,41.0,0,2,20.2125,S,Mrs,small
1,3,female,29.0,0,2,15.2458,C,Mrs,small
1,1,female,60.0,0,0,79.2,C,Mrs,singleton
1,1,female,30.0,0,0,86.5,S,Miss,singleton
1,1,female,35.0,0,0,512.3292,C,Miss,singleton
1,2,female,50.0,0,1,26.0,S,Mrs,small
0,3,male,20.0,0,0,7.75,Q,Mr,singleton
1,3,male,3.0,4,2,31.3875,S,Master,large
0,1,male,52.0,1,1,79.65,S,Mr,small
0,1,male,40.0,0,0,0.0,S,Mr,singleton
0,3,female,37.0,0,0,7.75,Q,Miss,singleton
0,2,male,36.0,0,0,10.5,S,Mr,singleton
0,3,male,16.0,4,1,39.6875,S,Mr,large
1,3,male,25.0,1,0,7.775,S,Mr,small
1,1,female,58.0,0,1,153.4625,S,Mrs,small
1,1,female,35.0,0,0,135.6333,S,Miss,singleton
0,1,male,27.0,0,0,31.0,S,Mr,singleton
1,3,male,25.0,0,0,0.0,S,Mr,singleton
1,2,female,41.0,0,1,19.5,S,Mrs,small
0,1,male,37.0,0,1,29.7,C,Mr,small
1,3,female,21.0,0,0,7.75,Q,Miss,singleton
1,1,female,63.0,1,0,77.9583,S,Miss,small
0,3,female,45.0,0,0,7.75,S,Miss,singleton
0,2,male,22.0,0,0,0.0,S,Mr,singleton
0,3,male,7.0,4,1,29.125,Q,Master,large
1,3,female,35.0,1,1,20.25,S,Mrs,small
0,3,male,65.0,0,0,7.75,Q,Mr,singleton
0,3,male,28.0,0,0,7.8542,S,Mr,singleton
0,3,male,16.0,0,0,9.5,S,Mr,singleton
1,3,male,19.0,0,0,8.05,S,Mr,singleton
0,1,male,47.0,0,0,26.0,S,Mr,singleton
0,3,male,33.0,0,0,8.6625,C,Mr,singleton
1,3,male,30.0,0,0,9.5,S,Mr,singleton
0,3,male,22.0,0,0,7.8958,S,Mr,singleton
1,2,male,42.0,0,0,13.0,S,Mr,singleton
1,3,female,22.0,0,0,7.75,Q,Miss,singleton
1,1,female,26.0,0,0,78.85,S,Miss,singleton
1,1,female,19.0,1,0,91.0792,C,Mrs,small
0,2,male,36.0,0,0,12.875,C,Mr,singleton
0,3,female,24.0,0,0,8.85,S,Miss,singleton
0,3,male,24.0,0,0,7.8958,S,Mr,singleton
0,1,male,30.0,0,0,27.7208,C,Mr,singleton
0,3,male,23.5,0,0,7.2292,C,Mr,singleton
0,1,female,2.0,1,2,151.55,S,Miss,small
1,1,male,47.0,0,0,30.5,S,Mr,singleton
1,1,female,50.0,0,1,247.5208,C,Mrs,small
1,3,female,16.0,0,0,7.75,Q,Miss,singleton
1,3,male,26.0,2,0,23.25,Q,Mr,small
0,3,male,19.0,0,0,0.0,S,Mr,singleton
1,2,female,19.0,0,0,12.35,Q,Miss,singleton
0,3,male,27.0,0,0,8.05,S,Mr,singleton
1,1,male,0.92,1,2,151.55,S,Master,small
1,1,female,32.0,0,0,110.8833,C,Miss,singleton
1,1,female,17.0,1,0,108.9,C,Mrs,small
0,2,male,30.0,1,0,24.0,C,Mr,small
1,1,female,30.0,0,0,56.9292,C,Miss,singleton
1,1,female,24.0,0,0,83.1583,C,Miss,singleton
1,1,female,18.0,2,2,262.375,C,Miss,large
0,2,female,26.0,1,1,26.0,S,Mrs,small
0,3,male,28.0,0,0,7.8958,S,Mr,singleton
0,2,male,43.0,1,1,26.25,S,Mr,small
1,3,female,26.0,0,0,7.8542,S,Miss,singleton
1,2,female,24.0,1,0,26.0,S,Mrs,small
0,2,male,54.0,0,0,14.0,S,Rare Title,singleton
1,1,female,31.0,0,2,164.8667,S,Miss,small
1,1,female,40.0,1,1,134.5,C,Mrs,small
0,3,male,22.0,0,0,7.25,S,Mr,singleton
0,3,male,27.0,0,0,7.8958,S,Mr,singleton
1,2,female,30.0,0,0,12.35,Q,Miss,singleton
1,2,female,22.0,1,1,29.0,S,Mrs,small
0,3,male,25.0,8,2,69.55,S,Mr,large
1,1,female,36.0,0,0,135.6333,C,Miss,singleton
0,3,male,61.0,0,0,6.2375,S,Mr,singleton
1,2,female,36.0,0,0,13.0,S,Mrs,singleton
1,3,female,31.0,1,1,20.525,S,Mrs,small
1,1,female,16.0,0,1,57.9792,C,Miss,small
1,3,female,27.0,2,0,23.25,Q,Miss,small
0,1,male,45.5,0,0,28.5,S,Mr,singleton
0,1,male,38.0,0,1,153.4625,S,Mr,small
0,3,male,16.0,2,0,18.0,S,Mr,small
1,1,female,49.0,1,0,133.65,S,Mrs,small
0,3,male,41.0,0,0,7.8958,S,Mr,singleton
0,1,male,29.0,1,0,66.6,S,Mr,small
1,1,female,41.0,0,0,134.5,C,Miss,singleton
1,3,male,45.0,0,0,8.05,S,Mr,singleton
0,1,male,45.0,0,0,35.5,S,Mr,singleton
1,2,male,2.0,1,1,26.0,S,Master,small
1,1,female,24.0,3,2,263.0,S,Miss,large
0,2,male,28.0,0,0,13.0,S,Mr,singleton
0,2,male,25.0,0,0,13.0,S,Mr,singleton
0,2,male,36.0,0,0,13.0,S,Mr,singleton
1,2,female,24.0,0,0,13.0,S,Miss,singleton
1,2,female,40.0,0,0,13.0,S,Miss,singleton
1,3,female,18.0,1,0,16.1,S,Mrs,small
1,3,male,3.0,1,1,15.9,S,Master,small
0,3,male,42.0,0,0,8.6625,S,Mr,singleton
0,3,male,23.0,0,0,9.225,S,Mr,singleton
0,1,male,55.0,0,0,35.0,S,Mr,singleton
0,3,male,15.0,1,1,7.2292,C,Mr,small
0,3,male,25.0,1,0,17.8,S,Mr,small
0,3,male,24.0,0,0,7.225,C,Mr,singleton
0,3,male,28.0,0,0,9.5,S,Mr,singleton
1,1,female,22.0,0,1,55.0,S,Miss,small
0,2,female,38.0,0,0,13.0,S,Miss,singleton
1,3,female,28.0,0,0,7.8792,Q,Miss,singleton
1,3,female,15.0,0,0,7.8792,Q,Miss,singleton
0,3,male,40.0,1,4,27.9,S,Mr,large
0,2,male,29.0,1,0,27.7208,C,Mr,small
0,3,female,45.0,0,1,14.4542,C,Mrs,small
0,3,male,35.0,0,0,7.05,S,Mr,singleton
0,3,male,26.0,1,0,15.5,Q,Mr,small
0,3,male,30.0,0,0,7.25,S,Mr,singleton
1,1,female,60.0,1,0,75.25,C,Mrs,small
1,3,female,18.0,0,0,7.2292,C,Mrs,singleton
1,3,female,31.0,0,0,7.75,Q,Miss,singleton
1,1,female,24.0,0,0,69.3,C,Mrs,singleton
1,1,male,25.0,1,0,55.4417,C,Mr,small
0,3,male,18.0,1,0,6.4958,S,Mr,small
0,3,male,19.0,0,0,8.05,S,Mr,singleton
0,1,male,22.0,0,0,135.6333,C,Mr,singleton
0,3,female,3.0,3,1,21.075,S,Miss,large
1,1,female,23.0,1,0,82.1708,C,Mrs,small
1,3,female,22.0,0,0,7.25,S,Miss,singleton
0,1,male,27.0,0,2,211.5,C,Mr,small
0,3,male,20.0,0,0,4.0125,C,Mr,singleton
0,3,male,19.0,0,0,7.775,S,Mr,singleton
1,1,female,42.0,0,0,227.525,C,Miss,singleton
1,3,female,1.0,0,2,15.7417,C,Miss,small
0,3,male,32.0,0,0,7.925,S,Mr,singleton
1,1,female,35.0,1,0,52.0,S,Mrs,small
0,3,male,23.5,0,0,7.8958,S,Mr,singleton
0,2,male,18.0,0,0,73.5,S,Mr,singleton
0,3,male,1.0,5,2,46.9,S,Master,large
1,2,female,36.0,0,0,13.0,S,Miss,singleton
0,3,male,11.0,0,0,7.7292,Q,Mr,singleton
1,2,female,17.0,0,0,12.0,C,Miss,singleton
1,1,male,36.0,1,2,120.0,S,Mr,small
1,3,male,21.0,0,0,7.7958,S,Mr,singleton
0,3,male,28.0,2,0,7.925,S,Mr,small
1,1,female,23.0,1,0,113.275,C,Miss,small
1,3,female,24.0,0,2,16.7,S,Mrs,small
0,3,male,22.0,0,0,7.7958,S,Mr,singleton
0,3,female,31.0,0,0,7.8542,S,Miss,singleton
0,2,male,46.0,0,0,26.0,S,Mr,singleton
0,2,male,23.0,0,0,10.5,S,Rare Title,singleton
1,2,female,28.0,0,0,12.65,S,Mrs,singleton
1,3,male,39.0,0,0,7.925,S,Mr,singleton
0,3,male,26.0,0,0,8.05,S,Mr,singleton
0,3,female,21.0,1,0,9.825,S,Miss,small
0,3,male,28.0,1,0,15.85,S,Mr,small
0,3,female,20.0,0,0,8.6625,S,Miss,singleton
0,2,male,34.0,1,0,21.0,S,Mr,small
0,3,male,51.0,0,0,7.75,S,Mr,singleton
1,2,male,3.0,1,1,18.75,S,Master,small
0,3,male,21.0,0,0,7.775,S,Mr,singleton
0,3,female,2.0,3,1,25.4667,S,Miss,large
0,3,male,19.0,0,0,7.8958,S,Mr,singleton
0,3,male,32.0,0,0,6.8583,Q,Mr,singleton
1,1,female,33.0,1,0,90.0,Q,Miss,small
0,2,male,35.0,0,0,0.0,S,Mr,singleton
1,3,male,44.0,0,0,7.925,S,Mr,singleton
0,3,female,21.0,0,0,8.05,S,Mrs,singleton
1,2,female,34.0,1,1,32.5,S,Mrs,small
1,2,female,18.0,0,2,13.0,S,Miss,small
0,2,male,30.0,0,0,13.0,S,Mr,singleton
0,3,female,10.0,0,2,24.15,S,Miss,small
0,3,male,33.0,0,0,7.8958,C,Mr,singleton
0,3,male,21.0,0,0,7.7333,Q,Mr,singleton
0,3,male,29.0,0,0,7.875,S,Mr,singleton
0,3,female,28.0,1,1,14.4,S,Mrs,small
0,3,male,18.0,1,1,20.2125,S,Mr,small
0,3,male,26.0,0,0,7.25,S,Mr,singleton
1,2,female,28.0,1,0,26.0,S,Mrs,small
1,2,female,19.0,0,0,26.0,S,Miss,singleton
0,3,male,30.0,0,0,7.75,Q,Mr,singleton
1,3,male,32.0,0,0,8.05,S,Mr,singleton
1,1,male,28.0,0,0,26.55,S,Mr,singleton
1,3,female,32.0,1,0,16.1,S,Mrs,small
1,2,female,42.0,1,0,26.0,S,Mrs,small
0,3,male,17.0,0,0,7.125,S,Mr,singleton
0,1,male,50.0,1,0,55.9,S,Mr,small
1,1,female,14.0,1,2,120.0,S,Miss,small
0,3,female,21.0,2,2,34.375,S,Miss,large
1,2,female,24.0,2,3,18.75,S,Mrs,large
0,1,male,64.0,1,4,263.0,S,Mr,large
0,2,male,31.0,0,0,10.5,S,Mr,singleton
1,2,female,45.0,1,1,26.25,S,Mrs,small
0,3,male,20.0,0,0,9.5,S,Mr,singleton
0,3,male,25.0,1,0,7.775,S,Mr,small
1,2,female,28.0,0,0,13.0,S,Miss,singleton
1,3,male,28.0,0,0,8.1125,S,Mr,singleton
1,1,male,4.0,0,2,81.8583,S,Master,small
1,2,female,13.0,0,1,19.5,S,Miss,small
1,1,male,34.0,0,0,26.55,S,Mr,singleton
1,3,female,5.0,2,1,19.2583,C,Miss,small
1,1,male,52.0,0,0,30.5,S,Rare Title,singleton
0,2,male,36.0,1,2,27.75,S,Mr,small
0,3,male,33.0,1,0,19.9667,S,Mr,small
0,1,male,30.0,0,0,27.75,C,Mr,singleton
1,1,male,49.0,1,0,89.1042,C,Mr,small
0,3,male,21.0,0,0,8.05,S,Mr,singleton
1,3,male,29.0,0,0,7.8958,C,Mr,singleton
0,1,male,65.0,0,0,26.55,S,Mr,singleton
1,1,female,35.0,1,0,51.8625,S,Mrs,small
1,2,female,50.0,0,0,10.5,S,Miss,singleton
0,3,male,22.0,0,0,7.75,Q,Mr,singleton
1,1,male,48.0,0,0,26.55,S,Mr,singleton
0,3,male,34.0,0,0,8.05,S,Mr,singleton
0,1,male,47.0,0,0,38.5,S,Mr,singleton
0,2,male,48.0,0,0,13.0,S,Mr,singleton
0,3,male,21.0,0,0,8.05,S,Mr,singleton
0,3,male,38.0,0,0,7.05,S,Mr,singleton
0,2,male,62.0,0,0,0.0,S,Mr,singleton
0,1,male,56.0,0,0,26.55,S,Mr,singleton
0,3,male,29.0,0,0,7.725,Q,Mr,singleton
1,3,female,0.75,2,1,19.2583,C,Miss,small
0,3,male,27.0,0,0,7.25,S,Mr,singleton
0,3,male,38.0,0,0,8.6625,S,Mr,singleton
1,2,female,33.0,1,2,27.75,S,Mrs,small
1,2,female,23.0,0,0,13.7917,C,Mrs,singleton
0,3,female,22.0,0,0,9.8375,S,Miss,singleton
0,1,male,41.0,0,0,52.0,S,Mr,singleton
0,2,male,34.0,1,0,21.0,S,Mr,small
0,3,male,29.0,1,0,7.0458,S,Mr,small
0,3,male,22.0,0,0,7.5208,S,Mr,singleton
1,3,female,2.0,0,1,12.2875,S,Miss,small
0,3,male,9.0,5,2,46.9,S,Master,large
0,2,male,26.0,0,0,0.0,S,Mr,singleton
0,3,male,50.0,0,0,8.05,S,Mr,singleton
1,3,female,63.0,0,0,9.5875,S,Mrs,singleton
1,1,male,25.0,1,0,91.0792,C,Mr,small
0,3,female,14.5,3,1,25.4667,S,Miss,large
1,1,female,35.0,1,0,90.0,S,Mrs,small
0,1,male,58.0,0,0,29.7,C,Mr,singleton
0,3,male,30.0,0,0,8.05,S,Mr,singleton
1,3,male,9.0,1,1,15.9,S,Master,small
0,3,male,16.0,1,0,19.9667,S,Mr,small
0,3,male,21.0,0,0,7.25,S,Mr,singleton
0,1,male,55.0,0,0,30.5,S,Mr,singleton
0,1,male,71.0,0,0,49.5042,C,Mr,singleton
0,3,male,21.0,0,0,8.05,S,Mr,singleton
0,3,male,39.0,0,0,14.4583,C,Mr,singleton
1,1,female,54.0,1,0,78.2667,C,Miss,small
0,3,male,25.0,0,0,15.1,S,Mr,singleton
0,1,female,25.0,1,2,151.55,S,Mrs,small
0,3,male,24.0,0,0,7.7958,S,Mr,singleton
0,3,male,17.0,0,0,8.6625,S,Mr,singleton
0,3,female,21.0,0,0,7.75,Q,Miss,singleton
