checking_status,duration_months,credit_history,credit_purpose,credit_amount,savings_status,employment_since,installment_rate_percent,personal_status_sex,other_debtors,residence_since,property,age_years,other_installment_plans,housing,existing_credits_count,job,people_liable,telephone,foreign_worker,__target__
2.0,42,4.0,0.0,6289,2.0,2.0,2,1.0,2.0,1,0.0,33,1.0,1.0,2,1.0,1,0.0,1.0,1
3.0,36,1.0,2.0,10477,4.0,3.0,2,3.0,2.0,4,3.0,42,1.0,0.0,2,1.0,1,0.0,1.0,1
3.0,12,3.0,1.0,2859,4.0,4.0,4,3.0,2.0,4,3.0,38,1.0,1.0,1,0.0,1,1.0,1.0,1
0.0,13,1.0,7.0,882,2.0,2.0,4,3.0,1.0,4,2.0,23,1.0,1.0,2,1.0,1,0.0,1.0,1
2.0,12,3.0,7.0,1881,2.0,0.0,2,0.0,2.0,2,1.0,44,1.0,2.0,1,3.0,1,1.0,1.0,1
3.0,18,1.0,1.0,1530,2.0,0.0,3,3.0,2.0,2,0.0,32,0.0,1.0,2,1.0,1,0.0,1.0,0
2.0,6,1.0,1.0,1323,0.0,3.0,2,1.0,2.0,4,1.0,28,1.0,1.0,2,1.0,2,1.0,1.0,1
3.0,36,3.0,1.0,3079,4.0,0.0,4,3.0,2.0,4,2.0,36,1.0,1.0,1,1.0,1,0.0,1.0,1
0.0,24,3.0,2.0,2760,4.0,3.0,4,3.0,2.0,4,3.0,36,0.0,0.0,1,1.0,1,1.0,1.0,1
0.0,36,2.0,1.0,2862,0.0,3.0,4,3.0,2.0,3,3.0,30,1.0,0.0,1,1.0,1,0.0,1.0,1
3.0,12,3.0,1.0,2133,4.0,3.0,4,0.0,2.0,4,3.0,52,1.0,0.0,1,0.0,1,1.0,1.0,1
3.0,20,1.0,1.0,3485,4.0,2.0,2,1.0,2.0,4,2.0,44,1.0,1.0,2,1.0,1,1.0,1.0,1
1.0,36,1.0,5.0,6229,2.0,2.0,4,0.0,0.0,4,3.0,23,1.0,2.0,2,3.0,1,1.0,1.0,0
2.0,36,3.0,7.0,4473,2.0,3.0,4,3.0,2.0,2,1.0,31,1.0,1.0,1,1.0,1,0.0,1.0,1
3.0,12,1.0,4.0,2012,4.0,1.0,4,0.0,2.0,2,1.0,61,1.0,1.0,1,1.0,1,0.0,1.0,1
2.0,24,3.0,5.0,3749,2.0,2.0,2,0.0,2.0,4,1.0,26,1.0,1.0,1,1.0,1,0.0,1.0,1
3.0,30,1.0,7.0,2831,2.0,0.0,4,0.0,2.0,2,1.0,33,1.0,1.0,1,1.0,1,1.0,1.0,1
0.0,21,1.0,5.0,2745,3.0,1.0,3,3.0,2.0,2,1.0,32,1.0,1.0,2,1.0,1,1.0,1.0,1
1.0,12,3.0,5.0,1262,4.0,3.0,2,1.0,2.0,4,0.0,49,1.0,1.0,1,3.0,1,1.0,1.0,1
1.0,24,0.0,5.0,6872,2.0,2.0,2,1.0,2.0,1,0.0,55,0.0,1.0,1,1.0,1,1.0,1.0,0
0.0,9,3.0,5.0,918,2.0,0.0,4,0.0,2.0,1,0.0,30,1.0,1.0,1,1.0,1,0.0,1.0,0
2.0,12,0.0,0.0,609,2.0,2.0,4,0.0,2.0,1,2.0,26,1.0,1.0,1,2.0,1,0.0,1.0,0
3.0,4,3.0,5.0,601,2.0,2.0,1,0.0,2.0,3,2.0,23,1.0,2.0,1,3.0,2,0.0,1.0,1
1.0,24,3.0,5.0,3234,2.0,2.0,4,0.0,2.0,4,2.0,23,1.0,2.0,1,3.0,1,1.0,1.0,0
3.0,30,1.0,7.0,6742,4.0,1.0,2,3.0,2.0,3,0.0,36,1.0,1.0,2,1.0,1,0.0,1.0,1
1.0,24,3.0,7.0,1603,2.0,3.0,4,0.0,2.0,4,1.0,55,1.0,1.0,1,1.0,1,0.0,1.0,1
0.0,36,1.0,1.0,2820,2.0,2.0,4,1.0,2.0,4,1.0,27,1.0,1.0,2,1.0,1,0.0,1.0,0
0.0,12,1.0,2.0,1804,0.0,2.0,3,3.0,2.0,4,0.0,44,1.0,1.0,1,1.0,1,0.0,1.0,1
0.0,18,3.0,0.0,1913,3.0,2.0,3,2.0,2.0,3,2.0,36,0.0,1.0,1,1.0,1,1.0,1.0,1
1.0,6,1.0,1.0,3676,2.0,0.0,1,3.0,2.0,3,2.0,37,1.0,2.0,3,1.0,2,0.0,1.0,1
0.0,12,3.0,1.0,1295,2.0,2.0,3,0.0,2.0,1,1.0,25,1.0,2.0,1,1.0,1,0.0,1.0,0
1.0,12,3.0,4.0,1200,4.0,0.0,4,0.0,2.0,4,0.0,23,0.0,2.0,1,1.0,1,1.0,1.0,1
3.0,12,3.0,1.0,1101,2.0,0.0,3,2.0,2.0,2,2.0,27,1.0,1.0,2,1.0,1,1.0,1.0,1
3.0,12,3.0,2.0,4675,4.0,2.0,1,0.0,2.0,4,1.0,20,1.0,2.0,1,1.0,1,0.0,1.0,1
0.0,36,2.0,1.0,2225,2.0,3.0,4,3.0,2.0,4,3.0,57,0.0,0.0,2,1.0,1,1.0,1.0,0
1.0,30,3.0,5.0,6350,4.0,3.0,4,3.0,2.0,4,0.0,31,1.0,1.0,1,1.0,1,0.0,1.0,0
3.0,12,3.0,2.0,1413,3.0,1.0,3,3.0,2.0,2,0.0,55,1.0,1.0,1,1.0,1,0.0,0.0,1
2.0,10,3.0,5.0,1275,2.0,2.0,4,0.0,2.0,2,0.0,23,1.0,1.0,1,1.0,1,0.0,1.0,1
0.0,24,3.0,7.0,2896,0.0,2.0,2,3.0,2.0,1,1.0,29,1.0,1.0,1,1.0,1,0.0,1.0,1
3.0,21,3.0,5.0,2241,2.0,3.0,4,3.0,2.0,2,2.0,50,1.0,1.0,2,1.0,1,0.0,1.0,1
1.0,18,3.0,7.0,2389,2.0,2.0,4,0.0,2.0,1,1.0,27,2.0,1.0,1,1.0,1,0.0,1.0,1
3.0,36,3.0,2.0,8133,2.0,0.0,1,0.0,2.0,2,0.0,30,0.0,1.0,1,1.0,1,0.0,1.0,1
2.0,18,3.0,5.0,2864,2.0,0.0,2,3.0,2.0,1,2.0,34,1.0,1.0,1,3.0,2,0.0,1.0,0
0.0,12,3.0,1.0,6078,2.0,1.0,2,3.0,2.0,2,1.0,32,1.0,1.0,1,1.0,1,0.0,1.0,1
0.0,6,3.0,7.0,368,4.0,3.0,4,3.0,2.0,4,0.0,38,1.0,1.0,1,1.0,1,0.0,1.0,1
1.0,12,1.0,7.0,385,2.0,1.0,4,0.0,2.0,3,2.0,58,1.0,1.0,4,3.0,1,1.0,1.0,1
0.0,10,0.0,7.0,1048,2.0,0.0,4,3.0,2.0,4,2.0,23,2.0,1.0,1,3.0,1,0.0,1.0,1
1.0,24,1.0,2.0,6419,2.0,3.0,2,0.0,2.0,4,3.0,44,1.0,0.0,2,0.0,2,1.0,1.0,1
1.0,24,2.0,7.0,1024,2.0,2.0,4,2.0,2.0,4,2.0,48,2.0,1.0,1,1.0,1,0.0,1.0,0
1.0,24,3.0,1.0,2303,2.0,3.0,4,3.0,0.0,1,2.0,45,1.0,1.0,1,1.0,1,0.0,1.0,0
0.0,9,3.0,7.0,458,2.0,0.0,4,3.0,2.0,3,2.0,24,1.0,1.0,1,1.0,1,0.0,1.0,1
1.0,12,1.0,5.0,2246,2.0,3.0,3,3.0,2.0,3,0.0,60,1.0,1.0,2,1.0,1,0.0,1.0,0
1.0,12,3.0,7.0,727,0.0,2.0,4,2.0,2.0,3,3.0,33,1.0,1.0,1,3.0,1,1.0,1.0,0
3.0,18,3.0,7.0,1453,2.0,2.0,3,0.0,2.0,1,2.0,26,1.0,1.0,1,1.0,1,0.0,1.0,1
3.0,12,3.0,7.0,2171,2.0,2.0,2,0.0,2.0,2,1.0,29,0.0,1.0,1,1.0,1,0.0,1.0,1
3.0,9,3.0,7.0,2697,2.0,0.0,1,3.0,2.0,2,2.0,32,1.0,1.0,1,1.0,2,0.0,1.0,1
0.0,12,3.0,1.0,1007,3.0,0.0,4,2.0,2.0,1,2.0,22,1.0,1.0,1,1.0,1,0.0,1.0,1
3.0,12,1.0,4.0,701,2.0,0.0,4,3.0,2.0,2,1.0,32,1.0,1.0,2,1.0,1,0.0,1.0,1
1.0,12,0.0,7.0,626,2.0,0.0,4,0.0,2.0,4,2.0,24,0.0,1.0,1,3.0,1,0.0,1.0,0
1.0,45,3.0,7.0,1845,2.0,0.0,4,3.0,2.0,4,3.0,23,1.0,0.0,1,1.0,1,1.0,1.0,0
0.0,60,3.0,1.0,14027,2.0,1.0,4,3.0,2.0,2,3.0,27,1.0,1.0,1,0.0,1,1.0,1.0,0
3.0,30,1.0,7.0,5771,2.0,1.0,4,0.0,2.0,2,1.0,25,1.0,1.0,2,1.0,1,0.0,1.0,1
3.0,24,3.0,1.0,1525,3.0,1.0,4,0.0,2.0,3,1.0,34,1.0,1.0,1,1.0,2,1.0,1.0,1
3.0,22,3.0,1.0,1283,4.0,1.0,4,0.0,2.0,4,0.0,25,1.0,2.0,1,1.0,1,0.0,1.0,1
3.0,6,3.0,7.0,518,2.0,0.0,3,0.0,2.0,1,2.0,29,1.0,1.0,1,1.0,1,0.0,1.0,1
1.0,48,4.0,5.0,7119,2.0,0.0,3,3.0,2.0,4,3.0,53,1.0,0.0,2,1.0,2,0.0,1.0,0
1.0,24,3.0,5.0,3021,2.0,0.0,2,1.0,2.0,2,2.0,24,1.0,2.0,1,3.0,1,0.0,1.0,1
3.0,48,1.0,2.0,2751,4.0,3.0,4,3.0,2.0,3,1.0,38,1.0,1.0,2,1.0,2,1.0,1.0,1
3.0,6,3.0,8.0,660,1.0,1.0,2,2.0,2.0,4,2.0,23,1.0,2.0,1,3.0,1,0.0,1.0,1
3.0,24,1.0,1.0,2463,0.0,1.0,4,2.0,2.0,3,0.0,27,1.0,1.0,2,1.0,1,1.0,1.0,1
1.0,18,3.0,1.0,2249,0.0,1.0,4,3.0,2.0,3,1.0,30,1.0,1.0,1,0.0,2,1.0,1.0,1
0.0,48,4.0,0.0,14421,2.0,0.0,2,3.0,2.0,2,1.0,25,1.0,1.0,1,1.0,1,1.0,1.0,0
1.0,18,1.0,1.0,3966,2.0,3.0,1,0.0,2.0,4,2.0,33,0.0,2.0,3,1.0,1,1.0,1.0,0
3.0,30,1.0,7.0,3077,4.0,3.0,3,3.0,2.0,2,1.0,40,1.0,1.0,2,1.0,2,1.0,1.0,1
0.0,9,3.0,5.0,959,2.0,0.0,1,0.0,2.0,2,1.0,29,1.0,1.0,1,1.0,1,0.0,0.0,0
2.0,9,3.0,7.0,745,2.0,0.0,3,0.0,2.0,2,2.0,28,1.0,1.0,1,3.0,1,0.0,1.0,0
3.0,24,1.0,7.0,2684,2.0,0.0,4,3.0,2.0,2,2.0,35,1.0,1.0,2,3.0,1,0.0,1.0,1
3.0,12,3.0,4.0,1393,2.0,3.0,4,3.0,2.0,4,0.0,47,0.0,1.0,3,1.0,2,1.0,1.0,1
1.0,18,1.0,7.0,1880,2.0,1.0,4,2.0,2.0,1,0.0,32,1.0,1.0,2,0.0,1,1.0,1.0,1
0.0,9,3.0,4.0,1199,2.0,1.0,4,0.0,2.0,4,0.0,67,1.0,1.0,2,0.0,1,1.0,1.0,1
0.0,24,3.0,5.0,3069,0.0,3.0,4,3.0,2.0,4,3.0,30,1.0,0.0,1,1.0,1,0.0,1.0,1
3.0,24,3.0,5.0,3972,2.0,1.0,2,0.0,2.0,4,0.0,25,1.0,2.0,1,1.0,1,1.0,1.0,1
1.0,6,3.0,1.0,14896,2.0,3.0,1,3.0,2.0,4,3.0,68,0.0,1.0,1,0.0,1,1.0,1.0,0
1.0,36,3.0,7.0,2302,2.0,0.0,4,1.0,2.0,4,1.0,31,1.0,2.0,1,1.0,1,0.0,1.0,0
1.0,8,1.0,1.0,731,2.0,3.0,4,3.0,2.0,4,2.0,47,1.0,1.0,2,3.0,1,0.0,1.0,1
1.0,15,1.0,5.0,1433,2.0,0.0,4,0.0,2.0,3,0.0,25,1.0,2.0,2,1.0,1,0.0,1.0,1
3.0,6,3.0,3.0,1338,1.0,0.0,1,1.0,2.0,4,2.0,62,1.0,1.0,1,1.0,1,0.0,1.0,1
0.0,18,1.0,5.0,1295,2.0,2.0,4,0.0,2.0,1,0.0,27,1.0,1.0,2,1.0,1,0.0,1.0,1
1.0,6,1.0,5.0,1872,2.0,4.0,4,3.0,2.0,4,3.0,36,1.0,0.0,3,0.0,1,1.0,1.0,1
0.0,18,1.0,1.0,884,2.0,3.0,4,3.0,2.0,4,1.0,36,0.0,1.0,1,1.0,2,1.0,1.0,0
3.0,24,2.0,1.0,2538,2.0,3.0,4,3.0,2.0,4,1.0,47,1.0,1.0,2,3.0,2,0.0,1.0,0
3.0,24,3.0,7.0,3105,4.0,2.0,4,3.0,2.0,2,1.0,25,1.0,1.0,2,1.0,1,0.0,1.0,1
3.0,48,1.0,0.0,7629,4.0,3.0,4,1.0,2.0,2,1.0,46,0.0,1.0,2,0.0,2,0.0,1.0,1
1.0,12,1.0,1.0,2171,2.0,0.0,4,3.0,2.0,4,0.0,38,0.0,1.0,2,3.0,1,0.0,0.0,1
0.0,18,3.0,2.0,2779,2.0,0.0,1,2.0,2.0,3,1.0,21,1.0,2.0,1,1.0,1,1.0,1.0,1
1.0,9,1.0,7.0,1138,2.0,0.0,4,3.0,2.0,4,2.0,25,1.0,1.0,2,3.0,1,0.0,1.0,1
1.0,12,3.0,5.0,1657,2.0,0.0,2,3.0,2.0,2,2.0,27,1.0,1.0,1,1.0,1,0.0,1.0,1
0.0,21,3.0,0.0,2767,0.0,3.0,4,1.0,2.0,2,1.0,61,0.0,2.0,2,3.0,1,0.0,1.0,0
0.0,18,1.0,5.0,1928,2.0,2.0,2,3.0,2.0,2,2.0,31,1.0,1.0,2,3.0,1,0.0,1.0,0
0.0,36,3.0,8.0,2384,2.0,2.0,4,3.0,2.0,1,3.0,33,1.0,2.0,1,3.0,1,0.0,1.0,0
3.0,9,1.0,4.0,1244,4.0,3.0,4,0.0,2.0,4,0.0,41,1.0,2.0,2,3.0,1,0.0,1.0,1
3.0,12,1.0,5.0,3331,2.0,3.0,2,3.0,2.0,4,0.0,42,2.0,1.0,1,1.0,1,0.0,1.0,1
3.0,24,1.0,4.0,1597,2.0,3.0,4,3.0,2.0,4,3.0,54,1.0,0.0,2,1.0,2,0.0,1.0,1
3.0,24,2.0,0.0,3863,2.0,0.0,1,3.0,2.0,2,3.0,32,1.0,0.0,1,1.0,1,0.0,1.0,1
1.0,12,3.0,7.0,709,2.0,3.0,4,3.0,2.0,4,2.0,57,2.0,1.0,1,3.0,1,0.0,1.0,0
0.0,15,3.0,7.0,802,2.0,3.0,4,3.0,2.0,3,1.0,37,1.0,1.0,1,1.0,2,0.0,1.0,0
3.0,12,3.0,5.0,1736,2.0,1.0,3,0.0,2.0,4,2.0,31,1.0,1.0,1,3.0,1,0.0,1.0,1
1.0,6,3.0,1.0,662,2.0,2.0,3,3.0,2.0,4,2.0,41,1.0,1.0,1,3.0,2,1.0,1.0,1
3.0,6,0.0,1.0,783,4.0,0.0,1,3.0,1.0,2,2.0,26,2.0,1.0,1,3.0,2,0.0,1.0,1
1.0,21,3.0,7.0,1835,2.0,0.0,3,0.0,2.0,2,2.0,25,1.0,1.0,2,1.0,1,1.0,1.0,0
0.0,6,1.0,9.0,932,4.0,1.0,1,0.0,2.0,3,0.0,39,1.0,1.0,2,3.0,1,0.0,1.0,1
1.0,6,3.0,5.0,1374,2.0,0.0,1,3.0,2.0,2,2.0,36,0.0,1.0,1,3.0,1,1.0,1.0,1
1.0,8,1.0,6.0,1164,2.0,3.0,3,3.0,2.0,4,3.0,51,0.0,0.0,2,0.0,2,1.0,1.0,1
1.0,48,1.0,2.0,6143,2.0,3.0,4,0.0,2.0,4,3.0,58,2.0,0.0,2,3.0,1,0.0,1.0,0
3.0,6,4.0,1.0,1204,0.0,0.0,4,3.0,2.0,1,3.0,35,0.0,2.0,1,1.0,1,0.0,0.0,1
0.0,6,0.0,4.0,433,3.0,2.0,4,0.0,2.0,2,0.0,24,0.0,2.0,1,1.0,2,0.0,1.0,0
3.0,12,3.0,5.0,1574,2.0,0.0,4,3.0,2.0,2,2.0,50,1.0,1.0,1,1.0,1,0.0,1.0,1
0.0,36,1.0,2.0,5800,2.0,0.0,3,3.0,2.0,4,1.0,34,1.0,1.0,2,1.0,1,1.0,1.0,1
1.0,24,0.0,0.0,3161,2.0,0.0,4,3.0,2.0,2,0.0,31,1.0,2.0,1,1.0,1,1.0,1.0,0
0.0,8,3.0,0.0,907,2.0,2.0,3,2.0,2.0,2,2.0,26,1.0,1.0,1,1.0,1,1.0,1.0,1
3.0,12,0.0,9.0,3447,1.0,0.0,4,0.0,2.0,3,2.0,35,1.0,1.0,1,3.0,2,0.0,1.0,1
1.0,36,3.0,5.0,2712,2.0,3.0,2,3.0,2.0,2,0.0,41,0.0,1.0,1,1.0,2,0.0,1.0,0
1.0,24,3.0,7.0,1938,2.0,2.0,4,1.0,2.0,3,0.0,32,1.0,1.0,1,1.0,1,0.0,1.0,0
3.0,24,1.0,7.0,1851,2.0,1.0,4,2.0,1.0,2,1.0,33,1.0,1.0,2,1.0,1,1.0,1.0,1
0.0,24,3.0,1.0,3512,0.0,1.0,2,3.0,2.0,3,1.0,38,0.0,1.0,2,1.0,1,1.0,1.0,1
0.0,18,2.0,0.0,2427,4.0,3.0,4,3.0,2.0,2,0.0,42,1.0,1.0,2,1.0,1,0.0,1.0,1
1.0,18,1.0,8.0,1190,2.0,4.0,2,0.0,2.0,4,3.0,55,1.0,0.0,3,2.0,2,0.0,1.0,0
3.0,10,3.0,1.0,1546,2.0,0.0,3,3.0,2.0,2,2.0,31,1.0,1.0,1,3.0,2,0.0,0.0,1
0.0,12,3.0,5.0,3017,2.0,2.0,3,0.0,2.0,1,2.0,34,1.0,2.0,1,0.0,1,0.0,1.0,1
0.0,9,3.0,1.0,276,2.0,0.0,4,2.0,2.0,4,2.0,22,1.0,2.0,1,3.0,1,0.0,1.0,1
3.0,12,1.0,1.0,926,2.0,4.0,1,0.0,2.0,2,0.0,38,1.0,1.0,1,2.0,1,0.0,1.0,1
0.0,9,3.0,0.0,1391,2.0,0.0,2,2.0,2.0,1,2.0,27,0.0,1.0,1,1.0,1,1.0,1.0,1
0.0,24,3.0,5.0,4057,2.0,1.0,3,1.0,2.0,3,1.0,43,1.0,1.0,1,1.0,1,1.0,1.0,0
0.0,6,0.0,1.0,931,0.0,2.0,1,0.0,2.0,1,0.0,32,2.0,1.0,1,3.0,1,0.0,1.0,0
3.0,10,3.0,2.0,2901,4.0,2.0,1,0.0,2.0,4,2.0,31,1.0,2.0,1,1.0,1,0.0,1.0,1
1.0,12,3.0,4.0,684,2.0,0.0,4,3.0,2.0,4,1.0,40,1.0,2.0,1,3.0,2,0.0,1.0,0
1.0,48,3.0,4.0,7476,2.0,1.0,4,3.0,2.0,1,3.0,50,1.0,0.0,1,0.0,1,1.0,1.0,1
3.0,15,3.0,5.0,2221,1.0,0.0,2,0.0,2.0,4,1.0,20,1.0,2.0,1,1.0,1,0.0,1.0,1
1.0,12,1.0,1.0,4843,2.0,3.0,3,3.0,0.0,4,0.0,43,1.0,2.0,2,1.0,1,1.0,1.0,0
3.0,18,3.0,5.0,2515,2.0,0.0,3,3.0,2.0,4,2.0,43,1.0,1.0,1,1.0,1,1.0,1.0,1
1.0,12,3.0,1.0,3651,3.0,0.0,1,3.0,2.0,3,0.0,31,1.0,1.0,1,1.0,2,0.0,1.0,1
2.0,4,3.0,1.0,1494,4.0,2.0,1,3.0,2.0,2,2.0,29,1.0,1.0,1,3.0,2,0.0,0.0,1
0.0,48,3.0,6.0,5381,4.0,4.0,3,3.0,2.0,4,3.0,40,0.0,0.0,1,2.0,1,1.0,1.0,1
2.0,12,3.0,7.0,3399,4.0,3.0,2,3.0,2.0,3,1.0,37,1.0,1.0,1,0.0,1,0.0,1.0,1
1.0,15,1.0,5.0,1478,2.0,3.0,4,3.0,2.0,4,1.0,44,1.0,1.0,2,1.0,2,1.0,1.0,1
0.0,6,2.0,0.0,1449,0.0,3.0,1,1.0,2.0,2,1.0,31,0.0,1.0,2,1.0,2,0.0,1.0,1
0.0,24,1.0,7.0,1743,2.0,3.0,4,3.0,2.0,2,0.0,48,1.0,1.0,2,3.0,1,0.0,1.0,1
3.0,12,3.0,7.0,3077,2.0,0.0,2,3.0,2.0,4,1.0,52,1.0,1.0,1,1.0,1,1.0,1.0,1
3.0,6,3.0,5.0,1766,2.0,0.0,1,2.0,2.0,2,0.0,21,1.0,2.0,1,1.0,1,0.0,1.0,1
0.0,9,3.0,5.0,2030,4.0,1.0,2,3.0,2.0,1,1.0,24,1.0,1.0,1,1.0,1,1.0,1.0,1
3.0,11,1.0,7.0,1154,0.0,4.0,4,0.0,2.0,4,2.0,57,1.0,1.0,3,3.0,1,0.0,1.0,1
1.0,20,1.0,5.0,4272,2.0,3.0,1,0.0,2.0,4,0.0,24,1.0,1.0,2,1.0,1,0.0,1.0,1
0.0,72,3.0,7.0,5595,0.0,0.0,2,2.0,2.0,2,1.0,24,1.0,1.0,1,1.0,1,0.0,1.0,0
1.0,12,1.0,1.0,2122,2.0,0.0,3,3.0,2.0,2,2.0,39,1.0,2.0,2,3.0,2,0.0,0.0,1
3.0,24,1.0,0.0,4139,0.0,0.0,3,3.0,2.0,3,0.0,27,1.0,1.0,2,3.0,1,1.0,1.0,1
3.0,7,2.0,7.0,846,4.0,3.0,3,3.0,2.0,4,3.0,36,1.0,0.0,1,1.0,1,0.0,1.0,1
3.0,15,1.0,4.0,1532,0.0,0.0,4,0.0,2.0,3,1.0,31,1.0,1.0,1,1.0,1,0.0,1.0,1
0.0,21,3.0,5.0,3976,4.0,1.0,2,3.0,2.0,3,1.0,35,1.0,1.0,1,1.0,1,1.0,1.0,1
0.0,12,3.0,7.0,766,1.0,0.0,4,3.0,2.0,3,2.0,66,1.0,1.0,1,3.0,1,0.0,1.0,0
0.0,24,3.0,1.0,1246,2.0,2.0,4,3.0,2.0,2,2.0,23,2.0,1.0,1,3.0,1,0.0,1.0,0
3.0,12,3.0,0.0,1542,2.0,1.0,2,3.0,2.0,4,1.0,36,1.0,1.0,1,1.0,1,1.0,1.0,1
3.0,24,3.0,5.0,929,4.0,1.0,4,3.0,2.0,2,1.0,31,2.0,1.0,1,1.0,1,1.0,1.0,1
3.0,15,3.0,2.0,3029,2.0,1.0,2,3.0,2.0,2,1.0,33,1.0,1.0,1,1.0,1,0.0,1.0,1
3.0,18,3.0,5.0,1533,2.0,2.0,4,2.0,0.0,1,0.0,43,1.0,1.0,1,3.0,2,0.0,1.0,0
0.0,48,2.0,0.0,6681,4.0,0.0,4,3.0,2.0,4,3.0,38,1.0,0.0,1,1.0,2,1.0,1.0,1
0.0,12,3.0,1.0,888,2.0,3.0,4,3.0,2.0,4,1.0,41,0.0,1.0,1,3.0,2,0.0,1.0,0
0.0,18,2.0,5.0,4297,2.0,3.0,4,1.0,2.0,3,3.0,40,1.0,1.0,1,0.0,1,1.0,1.0,0
2.0,30,2.0,0.0,1908,2.0,3.0,4,3.0,2.0,4,2.0,66,1.0,1.0,1,0.0,1,1.0,1.0,0
3.0,24,3.0,7.0,3235,1.0,3.0,3,1.0,2.0,2,1.0,26,1.0,1.0,1,0.0,1,1.0,1.0,1
0.0,60,3.0,1.0,7408,0.0,2.0,4,0.0,2.0,2,0.0,24,1.0,1.0,1,0.0,1,0.0,1.0,0
1.0,24,3.0,0.0,6568,2.0,0.0,2,2.0,2.0,2,1.0,21,2.0,1.0,1,3.0,1,0.0,1.0,1
1.0,24,0.0,2.0,3632,2.0,0.0,1,0.0,1.0,4,1.0,22,0.0,2.0,1,1.0,1,0.0,0.0,1
3.0,54,4.0,2.0,9436,4.0,0.0,2,3.0,2.0,2,0.0,39,1.0,1.0,1,3.0,2,0.0,1.0,1
