Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,__target__
1970,4.0,3.0,69084.0,1,0,452.0,43,1181,107,199,39,30,30,2,7,3,13,8,0.0,0.0,0.0,0.0,0.0,0.0,0
1978,0.0,3.0,12393.0,0,0,122.0,38,5,6,15,11,7,13,1,2,0,3,9,0.0,0.0,0.0,0.0,0.0,0.0,0
1970,3.0,2.0,78579.0,0,0,139.0,35,816,66,549,216,66,99,1,5,6,4,3,0.0,0.0,0.0,0.0,0.0,0.0,1
1973,0.0,3.0,46094.0,1,1,643.0,62,12,2,20,3,2,5,1,1,0,3,7,0.0,0.0,0.0,0.0,0.0,0.0,0
1962,2.0,5.0,75072.0,0,1,170.0,83,583,34,309,0,22,125,2,5,4,8,3,0.0,0.0,0.0,0.0,0.0,0.0,0
1975,4.0,3.0,60631.0,1,1,236.0,88,565,6,65,0,6,19,5,9,2,8,7,0.0,1.0,0.0,0.0,0.0,0.0,0
1960,3.0,3.0,89058.0,0,0,125.0,18,454,194,106,31,22,43,1,5,4,4,2,0.0,0.0,0.0,0.0,0.0,0.0,0
1976,0.0,5.0,26907.0,1,1,368.0,10,9,1,7,0,3,2,2,1,0,3,7,0.0,0.0,0.0,0.0,0.0,0.0,0
1975,4.0,3.0,69283.0,0,1,647.0,41,674,62,134,0,26,8,4,7,3,13,5,0.0,0.0,0.0,0.0,0.0,0.0,0
1985,2.0,5.0,29103.0,1,0,28.0,38,16,0,17,6,3,6,2,1,0,3,9,0.0,0.0,0.0,0.0,0.0,0.0,0
1950,4.0,2.0,42873.0,1,1,168.0,11,209,0,40,3,2,15,4,6,1,4,8,0.0,0.0,0.0,0.0,0.0,0.0,0
1951,2.0,4.0,51381.5,2,1,494.0,96,48,5,48,6,10,7,3,2,1,4,6,0.0,0.0,0.0,0.0,0.0,0.0,0
1984,0.0,5.0,32414.0,0,0,322.0,11,20,6,5,0,9,12,1,1,0,3,7,1.0,0.0,0.0,0.0,0.0,0.0,0
1957,2.0,3.0,73803.0,0,1,2.0,61,833,80,363,52,26,174,2,9,5,6,6,1.0,0.0,0.0,0.0,0.0,0.0,1
1949,3.0,2.0,35416.0,0,0,302.0,62,248,3,81,4,3,51,3,7,1,5,8,0.0,0.0,0.0,0.0,0.0,0.0,0
1984,4.0,4.0,16269.0,1,0,378.0,75,19,3,18,3,1,0,3,3,0,3,8,0.0,0.0,0.0,0.0,0.0,0.0,0
1971,2.0,6.0,30372.0,1,1,142.0,33,15,0,12,7,3,7,3,2,0,3,7,0.0,0.0,0.0,0.0,0.0,0.0,0
1972,4.0,3.0,62010.0,0,1,81.0,93,371,22,39,6,0,92,4,6,2,7,5,0.0,0.0,0.0,0.0,0.0,0.0,0
1970,0.0,2.0,65706.0,0,0,316.0,77,918,10,129,13,0,129,1,11,3,12,7,0.0,1.0,1.0,0.0,1.0,0.0,1
1982,3.0,5.0,18492.0,1,0,638.0,75,2,2,2,2,1,1,1,1,0,2,8,0.0,0.0,0.0,0.0,0.0,0.0,0
1952,2.0,6.0,40049.0,0,1,421.0,23,13,6,7,0,3,3,1,1,0,3,6,0.0,0.0,0.0,0.0,0.0,0.0,0
1963,2.0,2.0,68118.0,0,1,423.0,51,595,23,123,10,23,154,2,8,9,4,6,0.0,0.0,0.0,0.0,0.0,0.0,0
1984,3.0,3.0,42207.0,1,0,233.0,71,116,11,72,3,17,46,4,4,1,5,6,1.0,0.0,0.0,0.0,0.0,0.0,1
1949,3.0,3.0,81698.0,0,0,441.0,4,179,28,520,111,123,47,1,3,8,13,1,0.0,0.0,0.0,0.0,0.0,0.0,1
1951,3.0,5.0,47352.0,0,1,242.0,70,172,12,112,8,0,15,4,6,1,5,7,0.0,0.0,0.0,0.0,0.0,0.0,0
1970,4.0,3.0,67536.0,0,1,282.0,45,1253,0,447,23,71,35,3,11,5,11,8,0.0,0.0,0.0,1.0,0.0,0.0,0
1946,2.0,5.0,82657.0,0,0,404.0,71,966,168,672,246,105,126,1,7,5,10,4,0.0,1.0,0.0,1.0,0.0,0.0,0
1981,2.0,2.0,56981.0,0,0,515.0,91,908,48,217,32,12,24,1,2,3,13,6,0.0,1.0,0.0,0.0,0.0,0.0,0
1950,2.0,3.0,59462.0,0,1,153.0,29,724,17,143,0,8,196,2,9,2,12,7,0.0,0.0,0.0,0.0,0.0,0.0,0
1957,2.0,4.0,36864.0,0,1,14.0,53,204,5,39,17,0,89,3,5,2,4,8,0.0,0.0,0.0,0.0,0.0,0.0,1
1949,3.0,3.0,76995.0,0,1,229.0,91,1012,80,498,0,16,176,2,11,4,9,5,0.0,0.0,0.0,1.0,0.0,0.0,0
1952,0.0,4.0,64831.0,1,1,299.0,51,480,86,249,75,86,144,8,6,3,5,6,0.0,0.0,0.0,0.0,0.0,0.0,0
1974,0.0,3.0,45894.0,0,2,546.0,15,27,2,7,0,2,13,1,1,0,3,5,0.0,0.0,0.0,0.0,0.0,0.0,0
1959,2.0,5.0,71232.0,0,1,460.0,91,653,17,170,34,26,17,2,11,2,10,7,0.0,0.0,0.0,0.0,0.0,0.0,0
1961,4.0,4.0,84865.0,0,0,269.0,1,1248,16,349,43,16,16,1,2,4,9,4,0.0,1.0,1.0,1.0,1.0,0.0,1
1987,2.0,5.0,67430.0,0,0,37.0,6,595,97,291,127,133,121,1,11,5,12,6,0.0,0.0,0.0,0.0,0.0,0.0,0
1979,0.0,4.0,88194.0,0,1,564.0,19,688,14,309,201,24,38,1,11,10,10,5,1.0,0.0,0.0,1.0,0.0,0.0,1
1957,3.0,3.0,66726.0,1,1,504.0,61,349,7,35,0,0,47,3,8,2,4,7,0.0,1.0,0.0,0.0,0.0,0.0,0
1964,2.0,3.0,75236.0,0,1,457.0,27,438,66,400,12,38,114,1,8,3,13,4,0.0,0.0,0.0,0.0,0.0,0.0,0
1949,3.0,3.0,48150.0,0,1,297.0,24,173,2,39,3,2,47,3,5,1,4,7,0.0,0.0,0.0,0.0,0.0,0.0,0
1962,2.0,5.0,76081.0,0,0,626.0,85,292,30,415,63,33,200,1,4,5,4,2,0.0,0.0,0.0,1.0,0.0,0.0,0
