frequency,attack-angle,chord-length,free-stream-velocity,suction-side-displacement-thickness,__target__
1250,6.0,0.0508,39.6,0.0282593,126.743
2500,3.0,0.1016,55.5,0.0368233,117.054
4000,19.0,0.1524,31.7,0.00525474,116.181
10000,0.0,0.0254,55.5,0.00041229,134.563
1600,19.0,0.1524,55.5,0.00433288,130.567
500,22.0,0.2286,31.7,0.0132672,128.169
800,8.0,0.0254,71.3,0.016104,124.276
3150,0.0,0.3048,31.7,0.00331266,119.135
4000,16.0,0.0508,39.6,0.00152689,131.807
630,23.0,0.0508,39.6,0.00566229,126.045
1600,3.0,0.1016,71.3,0.0337792,124.748
1600,26.0,0.1524,31.7,0.0252785,117.119
500,7.0,0.1016,39.6,0.0528487,115.304
2500,10.0,0.2286,39.6,0.00346574,121.397
2500,23.0,0.0508,71.3,0.00529514,134.226
5000,0.0,0.1524,71.3,0.0015988,126.457
800,0.0,0.2286,55.5,0.00229336,127.53
1250,21.0,0.1524,39.6,0.00909175,122.428
250,2.0,0.0508,39.6,0.0150478,126.43
6300,0.0,0.1524,71.3,0.0015988,125.427
6300,5.0,0.0254,39.6,0.0130253,123.177
1600,18.0,0.2286,39.6,0.00614329,123.081
800,14.0,0.1016,39.6,0.00245138,129.991
400,9.0,0.0508,71.3,0.0341183,123.865
4000,12.0,0.0254,39.6,0.0229028,119.646
2500,0.0,0.2286,55.5,0.00229336,126.54
6300,11.0,0.1524,71.3,0.00243851,121.944
4000,15.0,0.3048,39.6,0.00579636,115.863
1600,19.0,0.1524,39.6,0.00485029,126.267
2000,22.0,0.2286,55.5,0.0111706,120.354
2500,23.0,0.0508,31.7,0.00580776,125.576
5000,19.0,0.1524,71.3,0.00401199,120.061
400,10.0,0.2286,31.7,0.00372371,123.417
315,2.0,0.0508,39.6,0.0150478,128.99
2000,25.0,0.0254,71.3,0.00420654,134.976
4000,26.0,0.1524,39.6,0.0233328,112.265
3150,10.0,0.2286,55.5,0.00313525,123.742
5000,0.0,0.0254,31.7,0.000439472,138.607
1000,15.0,0.3048,39.6,0.00579636,128.723
5000,5.0,0.0254,39.6,0.0130253,125.107
800,7.0,0.1016,39.6,0.0528487,118.964
3150,13.0,0.3048,71.3,0.00425727,121.514
500,25.0,0.0254,55.5,0.0043284,123.082
3150,26.0,0.1524,71.3,0.0193001,116.849
2000,23.0,0.0508,71.3,0.00529514,134.476
3150,26.0,0.1524,31.7,0.0252785,112.209
2000,0.0,0.1016,31.7,0.00150092,133.153
200,6.0,0.0508,39.6,0.0282593,121.783
2500,0.0,0.0254,31.7,0.000439472,132.897
10000,10.0,0.2286,71.3,0.00293031,113.086
315,7.0,0.1016,39.6,0.0528487,122.754
2000,0.0,0.1524,55.5,0.00172668,129.673
3150,13.0,0.3048,39.6,0.00495741,118.922
800,10.0,0.2286,55.5,0.00313525,128.492
630,8.0,0.0254,39.6,0.0172206,124.514
630,25.0,0.0254,71.3,0.00420654,125.726
4000,23.0,0.0508,71.3,0.00529514,126.926
1250,25.0,0.0254,39.6,0.00449821,130.964
1000,11.0,0.1524,39.6,0.00294804,130.589
2500,17.0,0.0254,39.6,0.000907475,131.236
1000,8.0,0.0254,39.6,0.0172206,138.274
3150,0.0,0.2286,31.7,0.0027238,123.445
8000,0.0,0.3048,55.5,0.00283081,116.476
6300,6.0,0.0508,71.3,0.0264269,115.215
2000,11.0,0.1524,71.3,0.00243851,130.114
12500,0.0,0.0254,31.7,0.000439472,128.977
10000,0.0,0.1016,39.6,0.00146332,119.561
2000,20.0,0.1016,55.5,0.0052139,129.653
6300,1.0,0.3048,71.3,0.00336729,118.122
200,8.0,0.0254,71.3,0.016104,112.506
4000,9.0,0.0508,39.6,0.036484,108.684
3150,13.0,0.3048,31.7,0.00529514,118.108
4000,0.0,0.1016,39.6,0.00146332,127.801
400,23.0,0.0508,31.7,0.00580776,120.076
630,5.0,0.0254,39.6,0.0130253,128.867
800,5.0,0.0254,71.3,0.0121808,130.348
2000,24.0,0.1016,71.3,0.0103088,124.233
5000,0.0,0.1524,55.5,0.00172668,125.203
20000,0.0,0.0254,55.5,0.00041229,121.933
2000,19.0,0.1524,39.6,0.00485029,124.647
5000,0.0,0.0508,39.6,0.000791822,134.308
2000,23.0,0.0508,39.6,0.00566229,129.965
1600,1.0,0.3048,71.3,0.00336729,126.632
10000,17.0,0.0254,39.6,0.000907475,126.066
1000,0.0,0.3048,39.6,0.00310138,127.899
2000,15.0,0.2286,31.7,0.00509068,122.089
400,13.0,0.3048,71.3,0.00425727,127.564
400,26.0,0.1524,55.5,0.0208438,131.605
250,9.0,0.0508,39.6,0.036484,127.224
3150,23.0,0.0508,55.5,0.00544854,128.402
1600,0.0,0.3048,71.3,0.00266337,127.591
2000,0.0,0.0254,55.5,0.00041229,127.623
630,10.0,0.2286,71.3,0.00293031,127.356
1000,24.0,0.1016,71.3,0.0103088,135.433
4000,17.0,0.0254,71.3,0.000848633,134.928
2000,0.0,0.3048,39.6,0.00310138,123.689
800,0.0,0.1016,55.5,0.00131983,127.92
16000,0.0,0.3048,71.3,0.00266337,108.721
4000,10.0,0.2286,55.5,0.00313525,122.232
2500,20.0,0.1016,55.5,0.0052139,124.273
3150,0.0,0.2286,71.3,0.00214345,127.834
3150,15.0,0.2286,31.7,0.00509068,120.229
5000,18.0,0.2286,39.6,0.00614329,115.311
3150,0.0,0.0254,55.5,0.00041229,130.503
250,0.0,0.3048,31.7,0.00331266,118.595
500,15.0,0.2286,31.7,0.00509068,128.939
500,8.0,0.0254,31.7,0.0176631,127.676
2500,22.0,0.2286,55.5,0.0111706,118.994
4000,0.0,0.0508,71.3,0.000740478,134.43
2000,5.0,0.0254,39.6,0.0130253,129.567
3150,0.0,0.2286,39.6,0.00253511,124.625
2000,0.0,0.1016,39.6,0.00146332,133.251
800,6.0,0.0508,39.6,0.0282593,128.423
4000,25.0,0.0254,31.7,0.00461377,126.736
1600,0.0,0.3048,55.5,0.00283081,126.986
1600,13.0,0.3048,55.5,0.00452492,124.439
2500,14.0,0.1016,31.7,0.00251435,130.392
2000,22.0,0.2286,39.6,0.0123481,117.809
8000,0.0,0.3048,71.3,0.00266337,117.151
2500,15.0,0.2286,39.6,0.00473801,119.649
2000,14.0,0.1016,55.5,0.002211,133.649
5000,8.0,0.0254,31.7,0.0176631,117.996
5000,15.0,0.3048,39.6,0.00579636,113.733
3150,14.0,0.1016,55.5,0.002211,130.629
800,0.0,0.3048,39.6,0.00310138,129.099
2000,25.0,0.0254,55.5,0.0043284,134.052
800,13.0,0.3048,31.7,0.00529514,128.708
8000,16.0,0.0508,71.3,0.00142788,125.268
800,0.0,0.1016,39.6,0.00146332,128.401
6300,3.0,0.1016,55.5,0.0368233,110.124
1000,10.0,0.2286,55.5,0.00313525,129.002
3150,26.0,0.1524,55.5,0.0208438,115.085
8000,0.0,0.0254,55.5,0.00041229,136.163
800,14.0,0.1016,31.7,0.00251435,131.362
12500,11.0,0.1524,39.6,0.00294804,108.649
10000,5.0,0.0254,71.3,0.0121808,114.418
400,5.0,0.0254,71.3,0.0121808,125.048
5000,19.0,0.1524,39.6,0.00485029,117.037
250,8.0,0.0254,55.5,0.0165706,110.491
1600,1.0,0.3048,39.6,0.00392107,122.211
800,20.0,0.1016,55.5,0.0052139,135.953
800,3.0,0.1016,55.5,0.0368233,125.114
630,15.0,0.2286,39.6,0.00473801,129.579
1600,22.0,0.2286,39.6,0.0123481,121.059
12500,1.0,0.3048,39.6,0.00392107,106.111
315,3.0,0.1016,55.5,0.0368233,135.674
630,14.0,0.1016,31.7,0.00251435,128.952
500,21.0,0.1524,71.3,0.00752039,132.043
1000,2.0,0.0508,71.3,0.014072,136.941
1250,26.0,0.1524,31.7,0.0252785,118.619
8000,14.0,0.1016,71.3,0.00202822,121.234
3150,0.0,0.0508,55.5,0.00076193,134.826
5000,14.0,0.1016,71.3,0.00202822,127.054
4000,22.0,0.2286,71.3,0.0104404,119.208
1600,8.0,0.0254,71.3,0.016104,126.406
1000,14.0,0.1016,55.5,0.002211,131.129
500,15.0,0.3048,39.6,0.00579636,130.173
315,15.0,0.2286,39.6,0.00473801,122.229
1000,0.0,0.1016,39.6,0.00146332,130.781
10000,0.0,0.3048,31.7,0.00331266,108.265
800,15.0,0.3048,71.3,0.00497773,131.755
1000,3.0,0.1016,39.6,0.0408268,122.435
8000,0.0,0.2286,71.3,0.00214345,118.024
630,13.0,0.3048,39.6,0.00495741,129.292
1250,0.0,0.1524,55.5,0.00172668,129.953
1250,10.0,0.2286,55.5,0.00313525,128.762
315,8.0,0.0254,39.6,0.0172206,115.144
4000,14.0,0.1016,55.5,0.002211,127.229
800,0.0,0.0508,55.5,0.00076193,124.336
12500,0.0,0.2286,71.3,0.00214345,117.624
4000,25.0,0.0254,71.3,0.00420654,134.236
2500,14.0,0.1016,55.5,0.002211,132.889
800,19.0,0.1524,31.7,0.00525474,131.491
10000,14.0,0.1016,71.3,0.00202822,116.694
6300,11.0,0.1524,39.6,0.00294804,119.209
4000,15.0,0.2286,31.7,0.00509068,118.859
1000,0.0,0.3048,55.5,0.00283081,126.966
20000,17.0,0.0254,71.3,0.000848633,119.708
3150,0.0,0.0254,31.7,0.000439472,135.227
800,0.0,0.2286,31.7,0.0027238,130.725
8000,17.0,0.0254,55.5,0.000873218,132.184
1000,0.0,0.1016,71.3,0.00121072,128.825
315,15.0,0.3048,71.3,0.00497773,128.175
8000,0.0,0.1524,71.3,0.0015988,122.527
3150,14.0,0.1016,39.6,0.00245138,128.401
315,8.0,0.0254,31.7,0.0176631,118.416
6300,0.0,0.2286,55.5,0.00229336,118.41
1250,8.0,0.0254,39.6,0.0172206,131.364
2000,0.0,0.2286,39.6,0.00253511,125.305
1250,14.0,0.1016,71.3,0.00202822,132.304
4000,15.0,0.2286,55.5,0.0042862,120.654
2000,26.0,0.1524,71.3,0.0193001,120.779
2500,0.0,0.0508,31.7,0.000812164,134.87
10000,18.0,0.2286,71.3,0.0051942,111.35
3150,16.0,0.0508,39.6,0.00152689,133.587
5000,17.0,0.0254,39.6,0.000907475,135.426
3150,0.0,0.1524,39.6,0.00193287,125.603
1000,13.0,0.3048,31.7,0.00529514,126.838
400,18.0,0.2286,39.6,0.00614329,131.221
400,18.0,0.2286,71.3,0.0051942,127.7
2500,8.0,0.0254,55.5,0.0165706,124.931
3150,25.0,0.0254,71.3,0.00420654,136.166
10000,0.0,0.1016,71.3,0.00121072,123.305
3150,18.0,0.2286,71.3,0.0051942,123.12
1000,11.0,0.1524,71.3,0.00243851,128.774
250,8.0,0.0254,39.6,0.0172206,114.714
1600,13.0,0.3048,31.7,0.00529514,122.088
200,3.0,0.1016,31.7,0.0418756,124.987
1000,25.0,0.0254,71.3,0.00420654,129.556
1600,20.0,0.1016,55.5,0.0052139,133.653
630,15.0,0.3048,71.3,0.00497773,131.615
6300,15.0,0.2286,39.6,0.00473801,114.249
5000,11.0,0.1524,71.3,0.00243851,124.364
630,3.0,0.1016,31.7,0.0418756,119.287
630,12.0,0.0254,39.6,0.0229028,137.026
2500,13.0,0.3048,31.7,0.00529514,119.598
3150,6.0,0.0508,31.7,0.0289853,118.045
3150,9.0,0.0508,39.6,0.036484,113.004
2000,10.0,0.2286,71.3,0.00293031,126.896
1000,9.0,0.0508,71.3,0.0341183,121.885
200,8.0,0.0254,39.6,0.0172206,114.044
800,0.0,0.3048,55.5,0.00283081,128.086
4000,0.0,0.0254,39.6,0.000428464,135.346
3150,0.0,0.1016,39.6,0.00146332,130.961
630,6.0,0.0508,31.7,0.0289853,124.685
1000,7.0,0.1016,71.3,0.0437259,124.438
2500,0.0,0.1524,39.6,0.00193287,126.863
3150,19.0,0.1524,31.7,0.00525474,118.291
1250,5.0,0.0254,39.6,0.0130253,130.777
800,26.0,0.1524,71.3,0.0193001,128.879
5000,18.0,0.2286,71.3,0.0051942,118.05
5000,0.0,0.3048,31.7,0.00331266,115.645
4000,7.0,0.1016,39.6,0.0528487,106.604
2000,0.0,0.0508,31.7,0.000812164,133.01
1600,6.0,0.0508,55.5,0.0271925,128.2
10000,15.0,0.2286,71.3,0.00400603,113.108
315,0.0,0.2286,55.5,0.00229336,119.54
800,23.0,0.0508,31.7,0.00580776,128.246
630,17.0,0.0254,39.6,0.000907475,118.696
1250,13.0,0.3048,31.7,0.00529514,124.838
400,10.0,0.2286,71.3,0.00293031,125.116
200,0.0,0.3048,31.7,0.00331266,117.195
1000,1.0,0.3048,71.3,0.00336729,125.992
1600,3.0,0.1016,55.5,0.0368233,121.824
1600,16.0,0.0508,39.6,0.00152689,130.197
3150,0.0,0.1524,31.7,0.00209405,124.207
1250,15.0,0.3048,39.6,0.00579636,126.343
315,12.0,0.0254,71.3,0.0214178,115.857
2500,14.0,0.1016,71.3,0.00202822,133.894
315,4.0,0.1524,71.3,0.0483159,128.484
2000,0.0,0.1524,39.6,0.00193287,129.633
2500,8.0,0.0254,39.6,0.0172206,124.154
800,24.0,0.1016,39.6,0.0124596,130.94
200,22.0,0.2286,55.5,0.0111706,135.234
1000,5.0,0.0254,71.3,0.0121808,131.698
5000,0.0,0.2286,55.5,0.00229336,122.41
5000,0.0,0.0254,39.6,0.000428464,136.536
3150,12.0,0.0254,39.6,0.0229028,120.856
12500,0.0,0.3048,55.5,0.00283081,111.076
1600,4.0,0.1524,71.3,0.0483159,120.534
630,7.0,0.1016,71.3,0.0437259,122.288
1000,23.0,0.0508,55.5,0.00544854,130.722
4000,0.0,0.1524,71.3,0.0015988,128.857
4000,1.0,0.3048,39.6,0.00392107,117.741
6300,0.0,0.0508,71.3,0.000740478,133.04
800,22.0,0.2286,39.6,0.0123481,126.299
1250,1.0,0.3048,39.6,0.00392107,125.211
3150,8.0,0.0254,71.3,0.016104,126.536
250,18.0,0.2286,39.6,0.00614329,127.011
1250,23.0,0.0508,31.7,0.00580776,130.156
3150,0.0,0.1524,55.5,0.00172668,127.753
800,21.0,0.1524,39.6,0.00909175,132.358
4000,23.0,0.0508,39.6,0.00566229,118.955
1250,3.0,0.1016,39.6,0.0408268,121.165
1250,22.0,0.2286,31.7,0.0132672,120.509
10000,21.0,0.1524,39.6,0.00909175,110.868
250,26.0,0.1524,31.7,0.0252785,128.559
2000,21.0,0.1524,71.3,0.00752039,128.643
1600,0.0,0.1016,71.3,0.00121072,131.725
500,0.0,0.2286,55.5,0.00229336,123.78
500,0.0,0.2286,39.6,0.00253511,126.195
1250,0.0,0.0254,31.7,0.000439472,127.947
630,18.0,0.2286,71.3,0.0051942,131.8
800,15.0,0.2286,71.3,0.00400603,130.688
5000,8.0,0.0254,39.6,0.0172206,119.854
1250,0.0,0.1524,39.6,0.00193287,131.023
3150,25.0,0.0254,39.6,0.00449821,129.934
6300,15.0,0.2286,71.3,0.00400603,118.618
1250,6.0,0.0508,55.5,0.0271925,130.0
5000,0.0,0.1524,31.7,0.00209405,122.397
6300,15.0,0.2286,31.7,0.00509068,112.699
1250,0.0,0.0508,71.3,0.000740478,128.56
4000,23.0,0.0508,31.7,0.00580776,118.106
1000,0.0,0.0508,31.7,0.000812164,126.78
800,0.0,0.1524,39.6,0.00193287,127.903
800,0.0,0.0508,71.3,0.000740478,130.96
2000,8.0,0.0254,71.3,0.016104,126.826
630,0.0,0.1016,39.6,0.00146332,125.401
500,17.0,0.0254,31.7,0.000930789,116.128
1600,17.0,0.0254,55.5,0.000873218,121.474
4000,23.0,0.0508,55.5,0.00544854,122.612
6300,0.0,0.2286,31.7,0.0027238,116.815
630,17.0,0.0254,31.7,0.000930789,120.078
500,19.0,0.1524,55.5,0.00433288,129.367
2000,0.0,0.1524,31.7,0.00209405,128.907
3150,4.0,0.1524,39.6,0.0584113,106.26
400,6.0,0.0508,55.5,0.0271925,126.5
4000,7.0,0.1016,71.3,0.0437259,113.298
2500,26.0,0.1524,39.6,0.0233328,116.295
2500,16.0,0.0508,71.3,0.00142788,131.978
500,3.0,0.1016,39.6,0.0408268,122.205
2000,16.0,0.0508,39.6,0.00152689,132.587
250,22.0,0.2286,31.7,0.0132672,130.089
400,20.0,0.1016,31.7,0.00592927,128.296
3150,21.0,0.1524,71.3,0.00752039,116.783
200,3.0,0.1016,55.5,0.0368233,132.304
1600,10.0,0.2286,31.7,0.00372371,125.797
1250,4.0,0.1524,39.6,0.0584113,112.16
1600,9.0,0.0508,71.3,0.0341183,120.575
10000,14.0,0.1016,39.6,0.00245138,115.321
2000,0.0,0.0508,39.6,0.000791822,132.918
6300,0.0,0.0254,71.3,0.000400682,134.987
2000,17.0,0.0254,55.5,0.000873218,125.054
2000,10.0,0.2286,31.7,0.00372371,123.037
2000,19.0,0.1524,31.7,0.00525474,122.771
400,19.0,0.1524,55.5,0.00433288,126.807
800,2.0,0.0508,39.6,0.0150478,133.79
4000,13.0,0.3048,55.5,0.00452492,118.689
10000,11.0,0.1524,39.6,0.00294804,112.589
250,7.0,0.1016,39.6,0.0528487,124.644
5000,19.0,0.1524,31.7,0.00525474,115.691
4000,26.0,0.1524,71.3,0.0193001,115.079
1600,0.0,0.1016,31.7,0.00150092,133.553
2500,0.0,0.1016,55.5,0.00131983,133.04
1250,25.0,0.0254,55.5,0.0043284,132.202
400,8.0,0.0254,31.7,0.0176631,120.766
630,11.0,0.1524,71.3,0.00243851,127.404
4000,12.0,0.0254,71.3,0.0214178,123.917
12500,0.0,0.1524,55.5,0.00172668,117.093
1000,19.0,0.1524,31.7,0.00525474,128.241
1250,0.0,0.3048,39.6,0.00310138,125.499
500,26.0,0.1524,55.5,0.0208438,127.815
4000,22.0,0.2286,31.7,0.0132672,112.639
800,0.0,0.3048,31.7,0.00331266,129.235
500,20.0,0.1016,55.5,0.0052139,129.343
800,24.0,0.1016,71.3,0.0103088,137.813
12500,17.0,0.0254,71.3,0.000848633,127.688
1600,24.0,0.1016,39.6,0.0124596,123.82
630,0.0,0.1524,31.7,0.00209405,125.997
6300,13.0,0.3048,39.6,0.00495741,114.042
1000,6.0,0.0508,39.6,0.0282593,127.893
315,15.0,0.2286,31.7,0.00509068,123.609
10000,0.0,0.2286,71.3,0.00214345,118.134
200,26.0,0.1524,55.5,0.0208438,131.955
1600,13.0,0.3048,71.3,0.00425727,126.514
315,20.0,0.1016,31.7,0.00592927,126.266
8000,14.0,0.1016,31.7,0.00251435,117.432
1600,26.0,0.1524,71.3,0.0193001,121.789
250,6.0,0.0508,71.3,0.0264269,124.835
2500,25.0,0.0254,39.6,0.00449821,131.234
8000,0.0,0.0508,55.5,0.00076193,130.156
400,24.0,0.1016,39.6,0.0124596,135.54
8000,0.0,0.1016,39.6,0.00146332,122.341
1250,9.0,0.0508,71.3,0.0341183,121.485
1600,6.0,0.0508,31.7,0.0289853,121.485
6300,22.0,0.2286,71.3,0.0104404,115.818
3150,0.0,0.3048,39.6,0.00310138,120.319
12500,0.0,0.0254,55.5,0.00041229,131.453
4000,19.0,0.1524,39.6,0.00485029,117.137
315,26.0,0.1524,39.6,0.0233328,128.595
4000,24.0,0.1016,71.3,0.0103088,120.243
400,23.0,0.0508,39.6,0.00566229,120.015
1600,15.0,0.3048,71.3,0.00497773,126.645
5000,24.0,0.1016,39.6,0.0124596,113.08
