carat,cut,color,clarity,depth,table,x,y,z,__target__
0.78,2.0,0.0,3.0,61.4,57.0,5.91,5.94,3.64,3454
1.01,4.0,3.0,4.0,58.8,58.0,6.52,6.61,3.86,6777
0.9,4.0,4.0,7.0,61.8,60.0,6.11,6.15,3.79,4617
1.23,2.0,6.0,5.0,61.2,57.0,6.93,6.88,4.23,6015
0.9,3.0,3.0,5.0,62.0,60.0,6.19,6.14,3.82,4137
0.31,4.0,5.0,5.0,62.3,57.0,4.32,4.35,2.7,435
0.91,1.0,2.0,2.0,63.7,58.0,6.09,6.02,3.86,3924
0.56,2.0,2.0,5.0,60.8,56.0,5.33,5.3,3.23,1778
0.91,3.0,1.0,0.0,59.6,59.0,6.29,6.32,3.76,2464
0.3,4.0,1.0,7.0,62.4,57.0,4.28,4.31,2.68,759
2.18,3.0,6.0,5.0,60.1,58.0,8.46,8.41,5.07,15465
1.06,3.0,5.0,3.0,61.5,57.0,6.57,6.49,4.02,2968
0.3,2.0,2.0,6.0,62.1,55.0,4.31,4.32,2.68,868
0.32,2.0,1.0,2.0,62.2,54.0,4.38,4.4,2.73,516
0.68,3.0,2.0,7.0,61.7,57.0,5.67,5.64,3.49,2854
0.53,2.0,3.0,4.0,62.7,55.0,5.18,5.16,3.24,1813
0.51,2.0,3.0,4.0,62.7,56.0,5.08,5.1,3.19,1656
0.64,2.0,2.0,7.0,60.9,56.0,5.57,5.59,3.4,3217
1.05,2.0,6.0,3.0,61.3,56.0,6.56,6.59,4.03,4364
0.33,4.0,4.0,5.0,62.8,59.0,4.38,4.44,2.77,521
1.07,3.0,3.0,3.0,62.1,59.0,6.54,6.48,4.04,4584
2.02,3.0,1.0,3.0,59.9,58.0,8.18,8.14,4.89,13677
0.53,2.0,2.0,3.0,63.0,54.0,5.24,5.19,3.29,1279
0.39,3.0,1.0,4.0,59.6,60.0,4.72,4.75,2.82,1026
2.1,3.0,5.0,5.0,60.7,61.0,8.28,8.27,5.02,14394
0.7,3.0,2.0,4.0,61.7,60.0,5.67,5.64,3.49,2669
1.51,4.0,3.0,2.0,61.5,54.0,7.35,7.42,4.54,10947
1.51,3.0,1.0,3.0,60.6,59.0,7.47,7.41,4.51,10570
0.4,3.0,0.0,3.0,61.9,58.0,4.73,4.71,2.92,855
0.3,2.0,3.0,6.0,61.4,56.0,4.32,4.34,2.66,737
0.5,2.0,1.0,4.0,61.9,54.1,5.09,5.15,3.17,1759
0.33,1.0,3.0,1.0,57.9,60.0,4.57,4.55,2.64,1052
1.14,3.0,6.0,3.0,60.4,59.0,6.8,6.74,4.09,3861
0.41,2.0,1.0,4.0,62.7,57.0,4.72,4.76,2.97,1079
0.28,3.0,1.0,7.0,60.1,59.0,4.22,4.26,2.55,646
0.78,2.0,2.0,3.0,59.7,57.0,6.01,5.98,3.58,2431
1.7,3.0,5.0,5.0,62.2,58.0,7.65,7.6,4.74,11888
0.6,2.0,3.0,1.0,62.0,55.0,5.39,5.44,3.36,2570
1.09,2.0,1.0,2.0,61.8,55.0,6.65,6.58,4.09,6849
0.81,2.0,1.0,3.0,61.4,57.0,6.0,5.97,3.68,2673
0.5,4.0,3.0,4.0,61.9,59.0,5.06,5.08,3.14,1603
0.9,2.0,6.0,2.0,62.6,54.0,6.16,6.23,3.88,3102
1.01,4.0,1.0,2.0,62.8,57.0,6.35,6.39,4.0,5411
0.23,4.0,1.0,6.0,61.1,60.0,3.95,4.01,2.43,530
0.41,3.0,1.0,3.0,61.7,58.0,4.8,4.76,2.95,953
0.42,2.0,3.0,7.0,62.4,55.0,4.82,4.79,3.0,1103
1.03,0.0,3.0,2.0,64.7,63.0,6.36,6.31,4.1,4424
0.5,1.0,3.0,7.0,63.8,56.0,5.03,5.06,3.22,1715
0.35,2.0,1.0,5.0,63.5,54.0,4.48,4.43,2.83,722
1.01,4.0,3.0,2.0,63.3,57.0,6.37,6.35,4.02,4185
0.54,1.0,2.0,4.0,63.7,55.0,5.16,5.11,3.27,2090
1.09,2.0,2.0,3.0,62.0,56.0,6.62,6.58,4.09,5306
0.31,1.0,0.0,3.0,63.9,57.0,4.28,4.33,2.75,462
1.55,3.0,0.0,5.0,61.5,58.0,7.48,7.51,4.61,15991
0.31,2.0,0.0,2.0,61.7,55.0,4.37,4.41,2.71,565
0.41,2.0,1.0,5.0,62.1,56.0,4.74,4.76,2.95,935
0.42,4.0,4.0,7.0,62.9,56.0,4.75,4.79,3.0,921
0.25,2.0,3.0,4.0,62.3,54.0,4.05,4.11,2.54,438
1.12,3.0,5.0,2.0,60.8,57.0,6.76,6.7,4.09,4704
0.33,2.0,1.0,5.0,62.3,57.0,4.37,4.43,2.74,723
0.44,1.0,0.0,6.0,59.2,57.0,4.96,5.0,2.95,2250
0.7,4.0,3.0,5.0,63.4,58.0,5.63,5.57,3.55,2338
1.0,1.0,0.0,2.0,65.1,54.0,6.23,6.27,4.07,4786
1.01,3.0,4.0,5.0,61.5,59.0,6.48,6.49,3.99,5303
1.7,2.0,4.0,0.0,62.6,54.0,7.63,7.58,4.77,7197
1.0,1.0,5.0,3.0,63.9,60.0,6.26,6.3,4.01,3465
0.7,2.0,3.0,7.0,61.6,57.0,5.74,5.71,3.53,3725
0.58,2.0,2.0,7.0,62.2,56.0,5.32,5.35,3.32,2509
1.11,2.0,4.0,2.0,61.6,56.0,6.69,6.65,4.11,5456
1.74,4.0,3.0,5.0,62.9,57.0,7.64,7.68,4.82,16169
1.02,2.0,2.0,7.0,62.3,58.0,6.42,6.45,4.01,9598
1.6,2.0,5.0,2.0,62.0,55.0,7.53,7.59,4.69,9376
0.24,2.0,2.0,5.0,62.2,57.0,3.96,4.01,2.48,419
0.42,1.0,5.0,6.0,59.2,61.0,4.88,4.91,2.9,867
0.3,2.0,4.0,4.0,62.5,56.0,4.27,4.24,2.66,675
0.37,2.0,3.0,1.0,62.4,56.0,4.6,4.64,2.88,1033
0.42,1.0,4.0,2.0,63.2,58.0,4.77,4.79,3.02,700
1.0,1.0,1.0,3.0,63.5,54.0,6.35,6.41,4.05,4400
0.24,4.0,1.0,7.0,62.5,58.0,3.96,4.01,2.49,485
1.02,2.0,6.0,5.0,62.0,56.0,6.42,6.45,3.99,4485
0.4,2.0,3.0,6.0,62.4,54.0,4.73,4.75,2.96,1043
0.32,4.0,2.0,5.0,63.0,57.0,4.33,4.37,2.74,602
0.31,2.0,1.0,1.0,61.9,56.0,4.35,4.37,2.7,1060
0.32,2.0,4.0,5.0,62.1,56.0,4.37,4.42,2.73,505
0.43,2.0,2.0,7.0,61.9,56.0,4.87,4.82,3.0,1250
1.06,3.0,2.0,2.0,61.9,59.0,6.57,6.52,4.05,4155
0.57,4.0,3.0,2.0,61.1,57.0,5.32,5.35,3.26,1433
1.0,3.0,4.0,0.0,60.4,61.0,6.39,6.32,3.84,1932
1.0,3.0,1.0,4.0,60.4,59.0,6.51,6.54,3.94,7744
0.8,0.0,3.0,3.0,67.1,56.0,5.76,5.73,3.85,2400
0.31,4.0,3.0,4.0,63.1,59.0,4.29,4.27,2.7,802
2.03,3.0,4.0,0.0,59.4,59.0,8.31,8.22,4.91,7421
1.11,2.0,4.0,3.0,62.7,57.0,6.59,6.66,4.14,4578
0.25,4.0,3.0,6.0,61.7,56.0,4.07,4.09,2.51,525
1.02,3.0,1.0,2.0,62.8,58.0,6.45,6.39,4.03,5429
1.54,3.0,2.0,2.0,60.9,59.0,7.56,7.46,4.57,11897
0.33,2.0,0.0,5.0,62.1,55.0,4.43,4.46,2.76,781
0.39,3.0,2.0,6.0,62.7,57.0,4.68,4.64,2.92,1290
1.27,2.0,5.0,4.0,62.8,57.0,6.86,6.89,4.32,6396
0.56,3.0,1.0,5.0,61.4,61.0,5.31,5.28,3.25,1915
2.01,2.0,4.0,3.0,60.1,57.0,8.24,8.2,4.94,15562
0.33,2.0,3.0,1.0,61.9,54.0,4.46,4.42,2.75,1052
0.72,3.0,0.0,5.0,61.0,59.0,5.77,5.74,3.51,2721
0.33,2.0,1.0,5.0,62.3,56.0,4.46,4.47,2.78,723
0.81,2.0,5.0,5.0,61.8,56.0,6.02,5.99,3.71,2939
0.81,0.0,5.0,4.0,66.5,53.0,5.76,5.83,3.86,2297
1.31,2.0,3.0,7.0,60.3,56.0,7.09,7.15,4.29,13168
1.58,3.0,2.0,2.0,61.4,61.0,7.48,7.45,4.58,12512
1.23,2.0,4.0,2.0,61.0,56.0,6.96,6.92,4.23,6439
2.01,3.0,6.0,5.0,58.6,61.0,8.18,8.14,4.78,10401
0.41,1.0,1.0,6.0,60.4,61.0,4.76,4.81,2.89,1169
0.52,2.0,2.0,4.0,61.3,56.0,5.19,5.22,3.19,2123
0.55,2.0,4.0,7.0,60.7,55.0,5.32,5.34,3.24,1668
1.05,3.0,1.0,2.0,61.2,58.0,6.57,6.53,4.01,5433
1.06,4.0,3.0,0.0,60.7,63.0,6.59,6.56,3.99,2080
1.0,3.0,4.0,2.0,62.7,60.0,6.3,6.24,3.93,4469
1.0,2.0,5.0,2.0,62.8,56.0,6.33,6.38,3.99,4237
0.34,3.0,2.0,5.0,59.2,60.0,4.56,4.6,2.71,686
1.54,2.0,5.0,3.0,62.0,59.0,7.33,7.38,4.56,8254
1.47,4.0,3.0,5.0,62.7,56.0,7.15,7.18,4.49,11060
0.55,2.0,1.0,2.0,61.4,55.0,5.29,5.26,3.24,1668
1.08,2.0,3.0,5.0,62.3,54.0,6.59,6.61,4.11,7187
1.09,4.0,2.0,4.0,62.9,58.0,6.51,6.55,4.11,7598
0.3,2.0,2.0,1.0,62.1,57.0,4.27,4.3,2.66,886
0.9,2.0,6.0,4.0,62.5,55.0,6.18,6.14,3.85,3175
0.37,1.0,0.0,4.0,62.1,54.0,4.67,4.73,2.92,825
0.35,4.0,4.0,2.0,63.2,57.0,4.51,4.48,2.84,647
0.81,2.0,4.0,2.0,62.3,58.0,5.95,5.96,3.71,2951
0.24,4.0,2.0,7.0,61.8,56.0,4.01,4.04,2.48,608
0.42,2.0,2.0,2.0,61.5,55.0,4.82,4.84,2.97,931
0.35,2.0,2.0,5.0,62.4,57.0,4.51,4.5,2.81,906
0.74,1.0,2.0,3.0,59.3,61.0,5.87,5.97,3.51,2190
0.3,4.0,3.0,7.0,61.3,58.0,4.28,4.34,2.64,684
0.64,4.0,1.0,5.0,63.4,54.0,5.52,5.49,3.49,2114
0.85,1.0,3.0,2.0,64.9,56.0,5.95,5.98,3.87,2945
0.3,3.0,1.0,1.0,60.1,60.0,4.32,4.3,2.59,1097
0.29,4.0,4.0,6.0,62.0,55.0,4.24,4.27,2.64,478
0.41,2.0,1.0,4.0,61.7,57.0,4.76,4.8,2.95,1079
1.51,0.0,4.0,3.0,64.5,59.0,7.21,7.15,4.63,6291
0.6,2.0,3.0,3.0,59.1,56.0,5.58,5.52,3.28,1250
0.3,2.0,2.0,5.0,61.9,55.0,4.31,4.32,2.67,605
1.09,2.0,1.0,7.0,61.6,56.0,6.6,6.64,4.08,10314
2.01,3.0,5.0,2.0,60.1,59.0,8.21,8.15,4.92,14752
1.26,3.0,4.0,2.0,62.2,58.0,6.93,6.87,4.29,6664
0.41,1.0,1.0,2.0,63.9,58.0,4.7,4.72,3.01,755
0.9,4.0,1.0,2.0,61.4,56.0,6.19,6.23,3.81,5387
1.0,3.0,2.0,7.0,60.6,54.0,6.56,6.52,3.96,8924
1.0,4.0,1.0,2.0,62.1,57.0,6.35,6.4,3.96,4864
0.4,2.0,0.0,2.0,62.1,56.0,4.7,4.74,2.93,772
1.14,4.0,4.0,5.0,59.9,57.0,6.78,6.81,4.07,5053
0.38,4.0,2.0,6.0,63.8,58.0,4.58,4.61,2.93,1030
0.7,4.0,4.0,5.0,63.0,55.4,5.67,5.7,3.58,2513
0.36,3.0,3.0,4.0,61.2,60.0,4.59,4.56,2.8,932
0.8,3.0,1.0,2.0,62.9,60.0,5.89,5.87,3.7,3091
0.55,3.0,1.0,5.0,60.5,58.0,5.26,5.32,3.2,1786
0.92,3.0,1.0,3.0,61.8,59.0,6.19,6.11,3.8,3679
0.4,1.0,1.0,2.0,63.3,56.0,4.68,4.74,2.98,687
1.04,3.0,3.0,2.0,60.3,58.0,6.6,6.55,3.96,3780
0.35,2.0,1.0,5.0,62.2,56.0,4.53,4.51,2.81,984
2.11,4.0,5.0,5.0,60.3,60.5,8.22,8.29,4.98,16363
1.5,4.0,4.0,5.0,60.7,61.0,7.34,7.41,4.48,11025
0.9,4.0,1.0,3.0,62.2,54.0,6.13,6.21,3.84,3715
0.41,2.0,1.0,7.0,61.5,55.0,4.79,4.83,2.96,1187
0.5,3.0,1.0,2.0,62.2,58.0,5.03,4.87,3.1,1073
0.57,4.0,3.0,5.0,62.6,55.0,5.26,5.31,3.31,1608
1.0,3.0,4.0,2.0,62.1,56.0,6.48,6.38,3.99,4788
2.75,2.0,0.0,0.0,60.9,57.0,9.04,8.98,5.49,13156
0.58,2.0,4.0,4.0,61.2,55.0,5.39,5.42,3.31,1671
1.0,4.0,1.0,2.0,59.6,60.0,6.58,6.51,3.9,5257
0.31,4.0,4.0,2.0,63.1,57.0,4.34,4.31,2.73,573
0.3,3.0,3.0,7.0,61.3,57.0,4.33,4.29,2.64,878
0.3,4.0,1.0,5.0,61.9,61.0,4.28,4.32,2.66,658
0.51,2.0,4.0,2.0,62.1,54.0,5.13,5.15,3.19,1161
1.02,2.0,4.0,2.0,60.8,58.0,6.47,6.49,3.94,5251
0.26,4.0,1.0,7.0,61.7,60.0,4.11,4.12,2.54,599
0.7,2.0,1.0,2.0,60.1,57.0,5.78,5.83,3.49,2929
0.96,2.0,3.0,2.0,62.6,57.0,6.28,6.24,3.92,4355
0.33,2.0,3.0,4.0,61.4,54.0,4.44,4.48,2.74,666
0.9,1.0,3.0,2.0,64.2,58.0,6.04,6.01,3.87,3250
0.3,2.0,3.0,2.0,62.1,53.0,4.32,4.37,2.7,422
1.04,4.0,3.0,3.0,62.6,58.0,6.42,6.49,4.04,4375
0.7,3.0,2.0,3.0,60.3,58.0,5.79,5.76,3.48,1806
0.33,4.0,1.0,6.0,61.8,54.0,4.47,4.49,2.77,945
1.03,3.0,0.0,3.0,61.3,61.0,6.49,6.46,3.97,4764
0.72,4.0,2.0,4.0,63.4,57.0,5.68,5.7,3.61,3264
1.23,2.0,2.0,4.0,61.3,57.0,6.93,6.86,4.23,8679
1.21,3.0,6.0,6.0,61.3,59.0,6.81,6.86,4.19,5893
1.52,0.0,3.0,5.0,55.2,66.0,7.72,7.67,4.26,10623
0.32,2.0,3.0,1.0,61.8,55.0,4.42,4.45,2.74,918
1.54,3.0,4.0,1.0,62.5,58.0,7.33,7.38,4.6,12196
0.41,2.0,2.0,5.0,62.7,56.0,4.78,4.72,2.98,1107
1.74,3.0,6.0,3.0,59.7,57.0,7.88,7.8,4.68,8690
0.34,3.0,1.0,5.0,58.8,59.0,4.59,4.56,2.69,956
0.92,0.0,2.0,3.0,65.3,58.0,6.08,6.04,3.96,3282
0.52,2.0,2.0,3.0,62.1,55.0,5.14,5.17,3.2,1191
0.98,4.0,3.0,3.0,62.2,57.0,6.33,6.37,3.95,4542
1.22,2.0,5.0,2.0,60.2,57.0,6.99,6.93,4.19,5807
2.0,4.0,6.0,3.0,59.8,60.0,8.09,8.13,4.85,11792
0.38,2.0,1.0,7.0,62.4,56.0,4.69,4.63,2.91,1097
0.55,3.0,3.0,4.0,59.4,62.0,5.36,5.32,3.17,1792
2.01,3.0,4.0,2.0,61.4,56.0,8.19,8.13,5.01,18295
0.7,3.0,3.0,0.0,61.6,56.0,5.8,5.63,3.52,1138
2.01,4.0,4.0,2.0,60.0,58.0,8.16,8.25,4.92,17095
0.74,4.0,4.0,3.0,62.1,58.0,5.82,5.78,3.6,2222
0.79,3.0,1.0,6.0,62.8,60.0,5.89,5.8,3.67,4490
1.7,2.0,5.0,3.0,60.7,59.0,7.69,7.64,4.65,8743
2.11,4.0,3.0,0.0,63.2,57.0,8.13,8.07,5.12,7834
1.72,3.0,3.0,5.0,61.1,58.0,7.69,7.73,4.71,15801
0.4,1.0,1.0,2.0,63.6,57.0,4.69,4.65,2.97,882
0.42,1.0,1.0,2.0,63.6,61.0,4.73,4.7,3.0,945
0.7,0.0,3.0,5.0,57.3,63.0,5.78,5.84,3.33,2273
1.0,4.0,2.0,3.0,61.7,58.0,6.32,6.36,3.91,3789
1.25,3.0,6.0,3.0,62.3,59.0,6.86,6.82,4.26,4410
0.41,2.0,5.0,5.0,61.2,56.0,4.77,4.81,2.93,1056
0.39,2.0,2.0,5.0,59.2,58.0,4.78,4.81,2.84,862
1.51,3.0,4.0,2.0,62.0,58.0,7.38,7.34,4.56,9511
1.02,4.0,3.0,7.0,61.3,59.0,6.46,6.53,3.98,7292
2.0,3.0,4.0,3.0,59.7,61.0,8.2,8.15,4.88,15451
0.41,3.0,0.0,3.0,62.4,60.0,4.71,4.77,2.96,683
1.23,1.0,4.0,2.0,63.9,56.0,6.81,6.77,4.34,5889
0.7,4.0,4.0,5.0,60.0,57.0,5.74,5.8,3.46,2335
1.19,3.0,6.0,3.0,58.4,60.0,6.98,6.92,4.06,4198
1.1,2.0,1.0,3.0,59.4,54.0,6.79,6.74,4.02,4071
0.72,2.0,4.0,2.0,60.3,59.0,5.77,5.83,3.5,2197
0.71,2.0,5.0,7.0,62.0,54.0,5.72,5.76,3.56,2387
0.3,2.0,4.0,6.0,61.3,57.0,4.32,4.36,2.66,665
0.77,1.0,4.0,7.0,64.3,57.9,5.7,5.86,3.71,2734
0.38,1.0,5.0,2.0,63.7,57.0,4.63,4.57,2.93,659
0.7,2.0,2.0,7.0,62.0,55.0,5.71,5.67,3.53,3191
1.0,3.0,4.0,4.0,61.5,57.0,6.44,6.37,3.94,5387
1.52,2.0,1.0,2.0,62.1,56.0,7.35,7.38,4.57,13280
0.41,2.0,0.0,2.0,61.7,54.0,4.78,4.79,2.95,791
0.29,2.0,1.0,5.0,60.1,56.0,4.3,4.34,2.6,619
0.3,3.0,3.0,6.0,62.1,56.0,4.31,4.29,2.67,1013
0.3,0.0,3.0,6.0,58.6,66.0,4.36,4.41,2.57,790
0.5,4.0,2.0,7.0,61.9,59.0,5.07,5.11,3.15,2041
1.52,2.0,4.0,2.0,61.5,58.0,7.4,7.36,4.54,10589
1.02,3.0,1.0,6.0,61.5,59.0,6.46,6.41,3.96,11163
0.33,2.0,3.0,4.0,62.3,57.0,4.42,4.38,2.74,854
0.36,2.0,0.0,5.0,61.1,57.0,4.58,4.62,2.81,852
1.5,3.0,3.0,2.0,62.3,60.0,7.27,7.17,4.5,7535
0.73,4.0,2.0,2.0,61.3,56.0,5.78,5.84,3.56,3023
1.08,2.0,3.0,3.0,61.9,58.0,6.55,6.57,4.06,4675
1.13,3.0,3.0,3.0,60.0,61.0,6.78,6.71,4.05,4518
0.36,3.0,5.0,5.0,62.7,59.0,4.58,4.54,2.86,648
0.72,1.0,1.0,3.0,57.9,56.0,5.93,5.85,3.41,2308
0.24,1.0,2.0,6.0,64.8,57.0,3.9,3.94,2.54,492
0.8,2.0,2.0,4.0,61.2,56.0,5.98,6.01,3.67,3860
1.09,4.0,0.0,3.0,59.2,63.0,6.71,6.67,3.96,4322
0.4,4.0,0.0,5.0,59.3,58.0,4.8,4.85,2.86,850
1.07,2.0,2.0,3.0,62.0,56.0,6.51,6.55,4.09,5077
0.42,2.0,3.0,4.0,62.7,54.0,4.83,4.8,3.02,984
0.41,2.0,1.0,5.0,62.3,54.0,4.74,4.8,2.97,875
0.26,3.0,1.0,5.0,62.1,56.0,4.13,4.11,2.56,580
0.3,2.0,5.0,2.0,61.9,57.0,4.29,4.31,2.66,422
1.5,3.0,2.0,5.0,61.5,58.0,7.34,7.36,4.52,14071
0.71,3.0,4.0,5.0,62.8,56.0,5.75,5.68,3.59,2531
1.0,4.0,0.0,3.0,63.2,57.0,6.24,6.32,3.97,4628
0.9,3.0,3.0,2.0,62.7,58.0,6.13,6.08,3.83,3774
0.85,4.0,1.0,3.0,63.1,58.0,6.02,6.0,3.79,2966
1.52,3.0,6.0,5.0,62.0,59.0,7.28,7.31,4.52,7758
1.21,2.0,4.0,3.0,62.6,56.0,6.84,6.77,4.26,5624
0.26,2.0,0.0,7.0,61.4,56.0,4.15,4.12,2.54,769
1.54,2.0,2.0,4.0,60.5,56.0,7.52,7.49,4.54,17949
0.35,2.0,1.0,1.0,62.2,56.0,4.52,4.51,2.81,1254
0.31,3.0,1.0,2.0,62.7,58.0,4.32,4.35,2.72,471
0.42,2.0,2.0,3.0,61.7,54.0,4.85,4.87,3.0,626
0.41,2.0,3.0,6.0,62.1,55.0,4.79,4.74,2.96,1230
0.31,2.0,3.0,2.0,62.2,55.0,4.38,4.36,2.72,593
0.52,4.0,1.0,5.0,62.5,58.0,5.13,5.18,3.22,1653
1.01,3.0,2.0,3.0,62.6,60.0,6.37,6.35,3.98,4497
0.3,4.0,0.0,4.0,62.2,58.0,4.25,4.27,2.65,742
0.34,3.0,1.0,3.0,62.4,59.0,4.42,4.46,2.77,477
0.71,2.0,2.0,2.0,61.5,56.0,5.69,5.76,3.52,2610
0.5,3.0,1.0,5.0,62.0,58.0,5.07,5.09,3.15,1559
0.3,3.0,1.0,5.0,60.7,59.0,4.3,4.33,2.62,658
1.12,2.0,3.0,5.0,62.2,54.0,6.65,6.62,4.13,6774
1.51,2.0,6.0,5.0,61.5,56.0,7.37,7.4,4.54,8203
0.71,2.0,1.0,4.0,60.4,56.0,5.8,5.85,3.52,3238
0.75,2.0,6.0,4.0,62.9,57.0,5.74,5.81,3.63,2300
1.11,2.0,4.0,3.0,62.6,56.0,6.58,6.65,4.14,4719
1.71,3.0,3.0,4.0,62.3,58.0,7.61,7.65,4.75,17041
1.0,3.0,1.0,3.0,60.6,61.0,6.44,6.39,3.89,4390
1.21,2.0,2.0,3.0,61.8,57.0,6.87,6.82,4.23,6105
1.71,4.0,2.0,2.0,63.3,53.0,7.54,7.59,4.79,13152
0.71,4.0,3.0,7.0,62.8,58.0,5.69,5.75,3.59,3281
0.76,2.0,1.0,5.0,61.3,56.0,5.79,5.83,3.56,3079
0.71,4.0,5.0,5.0,61.4,56.0,5.73,5.79,3.53,2219
2.19,4.0,5.0,2.0,62.6,58.0,8.24,8.33,5.19,14819
1.5,2.0,5.0,5.0,60.0,61.0,7.39,7.42,4.44,9827
1.0,1.0,0.0,2.0,64.8,58.0,6.23,6.27,4.05,5013
1.2,4.0,6.0,3.0,61.8,56.0,6.81,6.85,4.22,4102
0.35,2.0,2.0,4.0,62.4,55.0,4.49,4.52,2.81,665
0.4,0.0,0.0,2.0,65.1,55.0,4.63,4.68,3.03,644
0.4,2.0,3.0,6.0,62.1,53.0,4.75,4.79,2.96,1043
1.64,3.0,2.0,2.0,62.8,59.0,7.53,7.51,4.72,12670
0.54,2.0,4.0,6.0,61.7,57.0,5.24,5.23,3.23,1944
0.74,3.0,1.0,5.0,62.7,58.0,5.77,5.72,3.6,3228
1.24,2.0,6.0,3.0,60.1,57.0,7.02,6.98,4.21,4783
0.32,2.0,2.0,4.0,61.9,55.0,4.41,4.4,2.73,876
0.71,4.0,1.0,2.0,63.1,59.0,5.75,5.62,3.59,2441
2.0,4.0,3.0,2.0,63.0,55.0,7.96,8.1,5.06,17724
0.32,2.0,3.0,6.0,61.7,56.0,4.4,4.42,2.72,814
0.4,2.0,5.0,2.0,61.6,56.0,4.74,4.68,2.9,765
0.91,3.0,4.0,5.0,61.8,60.0,6.22,6.18,3.83,4238
1.5,1.0,1.0,2.0,63.9,54.0,7.26,7.2,4.62,11948
0.31,2.0,0.0,6.0,62.3,54.0,4.36,4.4,2.73,949
0.7,4.0,0.0,7.0,62.3,56.0,5.66,5.7,3.54,3622
