Delivery_person_ID,Delivery_person_Age,Delivery_person_Ratings,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Type_of_order,Type_of_vehicle,__target__
541.0,28,4.8,17.428294,78.404423,17.558294,78.534423,0.0,2.0,24
343.0,20,4.6,13.026286,80.275235,13.156286,80.405235,1.0,2.0,27
781.0,36,5.0,10.035573,76.336958,10.165573,76.466958,1.0,2.0,30
1214.0,25,4.8,21.173493,72.801953,21.233493,72.861953,3.0,3.0,12
1217.0,20,4.9,21.175104,72.804342,21.235104,72.864342,2.0,1.0,10
612.0,37,4.7,22.753659,75.903365,22.823659,75.973365,0.0,3.0,44
941.0,39,4.5,30.892978,75.821847,30.952978,75.881847,0.0,2.0,15
893.0,23,4.3,22.569367,88.433187,22.659367,88.523187,1.0,2.0,35
165.0,22,5.0,0.0,0.0,0.11,0.11,0.0,2.0,43
347.0,32,4.7,13.049645,80.242268,13.109645,80.302268,1.0,3.0,26
378.0,32,4.7,11.021278,76.995017,11.031278,77.005017,3.0,3.0,29
1101.0,25,4.6,18.546947,73.900626,18.556947,73.910626,3.0,2.0,21
650.0,22,4.5,22.761226,75.887522,22.821226,75.947522,1.0,2.0,26
1156.0,25,5.0,23.355164,85.324097,23.375164,85.344097,3.0,2.0,25
343.0,36,4.8,13.026286,80.275235,13.106286,80.355235,1.0,2.0,36
972.0,26,4.6,19.254567,72.848923,19.264567,72.858923,0.0,3.0,20
840.0,26,4.6,22.538999,88.322337,22.608999,88.392336,0.0,2.0,26
192.0,25,4.3,12.98041,77.640489,13.02041,77.680489,0.0,2.0,34
1318.0,21,4.2,22.311358,73.164798,22.391358,73.244798,0.0,2.0,35
1084.0,35,3.6,18.569156,73.774723,18.699156,73.904723,3.0,3.0,42
556.0,21,4.8,17.433809,78.386744,17.453809,78.406744,2.0,2.0,12
1191.0,37,4.7,23.351489,85.324253,23.361489,85.334253,1.0,2.0,15
534.0,25,4.5,0.0,0.0,0.01,0.01,0.0,3.0,15
635.0,30,4.3,22.74806,75.8934,22.83806,75.9834,0.0,2.0,33
373.0,23,4.2,11.024839,77.007003,11.154839,77.137003,3.0,2.0,35
377.0,21,4.8,11.022169,76.999594,11.082169,77.059594,2.0,3.0,13
809.0,34,4.7,10.000706,76.349516,10.060706,76.409516,3.0,2.0,34
1031.0,25,5.0,12.299524,76.64262,12.389524,76.73262,3.0,2.0,39
1289.0,26,5.0,0.0,0.0,0.03,0.03,3.0,2.0,24
1015.0,33,5.0,19.131141,72.813074,19.181141,72.863074,0.0,3.0,26
993.0,36,4.5,19.207222,72.972281,19.277222,73.042281,0.0,2.0,48
848.0,22,4.6,22.514585,88.39331,22.544585,88.42331,1.0,3.0,27
1018.0,27,4.2,19.103249,72.846749,19.153249,72.896749,1.0,2.0,53
613.0,38,4.2,22.753659,75.903365,22.803659,75.953365,2.0,2.0,33
1117.0,21,4.8,18.56245,73.916619,18.61245,73.966619,1.0,2.0,29
347.0,20,4.8,13.049645,80.242268,13.109645,80.302268,0.0,2.0,25
319.0,26,4.6,13.054347,80.257221,13.074347,80.277221,1.0,2.0,19
337.0,34,4.7,13.027018,80.254791,13.077018,80.304791,1.0,3.0,32
683.0,26,5.0,26.766536,75.837333,26.796536,75.867333,2.0,2.0,29
561.0,23,4.5,17.424114,78.347554,17.494114,78.417554,2.0,2.0,18
855.0,26,4.9,22.527893,88.368628,22.567893,88.408628,0.0,2.0,11
1077.0,21,4.8,12.337978,76.616792,12.407978,76.686792,1.0,2.0,35
1179.0,39,4.9,0.0,0.0,0.07,0.07,3.0,2.0,45
259.0,36,4.8,23.232357,77.429989,23.312357,77.509989,3.0,2.0,39
586.0,29,4.6,17.440827,78.393391,17.520827,78.473391,2.0,2.0,29
1226.0,29,4.6,21.173343,72.792731,21.263343,72.882731,3.0,1.0,24
145.0,22,4.8,19.876428,75.364792,19.896428,75.384792,3.0,3.0,10
1086.0,28,4.8,18.55144,73.804855,18.56144,73.814855,0.0,3.0,21
1274.0,20,4.7,0.0,0.0,0.03,0.03,0.0,2.0,17
1281.0,31,4.6,0.0,0.0,0.04,0.04,3.0,2.0,21
1031.0,27,4.9,12.299524,76.64262,12.359524,76.70262,0.0,2.0,26
332.0,36,4.9,13.064181,80.236442,13.094181,80.266442,0.0,3.0,30
358.0,34,4.2,12.975996,80.221898,13.055996,80.301898,3.0,3.0,31
1257.0,29,5.0,21.15276,72.778059,21.16276,72.788059,0.0,3.0,16
1290.0,27,4.9,22.308096,73.167753,22.378096,73.237753,0.0,2.0,49
1246.0,37,4.7,21.160437,72.774209,21.210437,72.824209,2.0,2.0,28
1229.0,28,4.5,21.175975,72.795503,21.205975,72.825503,1.0,1.0,27
646.0,24,4.7,22.744648,75.894377,22.794648,75.944377,0.0,2.0,22
664.0,29,4.7,26.90519,75.810753,26.95519,75.860753,0.0,2.0,23
1047.0,38,4.6,12.323194,76.630583,12.433194,76.740583,2.0,2.0,33
840.0,38,5.0,22.538999,88.322337,22.548999,88.332337,0.0,2.0,25
1164.0,29,4.6,23.353783,85.326967,23.463783,85.436967,1.0,2.0,29
371.0,20,4.9,11.025083,77.015393,11.115083,77.105393,0.0,3.0,10
664.0,37,4.6,26.90519,75.810753,27.03519,75.940753,0.0,3.0,26
1200.0,24,4.3,21.17106,72.789292,21.18106,72.799292,3.0,2.0,26
580.0,26,4.8,17.426228,78.407495,17.476228,78.457495,0.0,2.0,21
360.0,23,4.9,11.003008,76.97544,11.113008,77.08544,3.0,2.0,27
1101.0,25,4.6,18.546947,73.900626,18.616947,73.970626,1.0,2.0,16
915.0,39,4.7,30.905562,75.832841,31.015562,75.942841,2.0,2.0,37
578.0,24,4.9,17.431477,78.40035,17.491477,78.46035,3.0,2.0,11
1213.0,29,4.8,21.173493,72.801953,21.223493,72.851953,2.0,1.0,11
1201.0,20,4.9,21.17106,72.789292,21.25106,72.869292,1.0,3.0,29
686.0,29,4.6,26.910262,75.783013,26.970262,75.843013,1.0,2.0,19
1063.0,35,4.3,12.352058,76.60665,12.432058,76.68665,2.0,3.0,37
716.0,29,4.8,26.913726,75.75282,27.003726,75.842821,1.0,3.0,19
1099.0,30,4.4,18.546258,73.904337,18.596258,73.954337,2.0,3.0,32
1072.0,38,4.8,12.337928,76.617889,12.357928,76.637889,0.0,3.0,28
69.0,29,4.6,25.451517,81.832616,25.561517,81.942616,3.0,2.0,42
1099.0,24,4.8,18.546258,73.904337,18.676258,74.034337,2.0,2.0,26
319.0,24,4.7,13.054347,80.257221,13.134347,80.337221,2.0,2.0,18
25.0,37,4.6,27.160934,78.044095,27.210934,78.094095,0.0,3.0,33
351.0,34,4.2,12.981615,80.231598,13.021615,80.271598,1.0,2.0,37
1134.0,29,4.6,-18.563934,73.915367,18.573935,73.925367,1.0,2.0,17
705.0,35,4.7,26.849596,75.800512,26.859596,75.810512,0.0,3.0,12
203.0,22,4.8,12.978453,77.643685,13.008453,77.673685,2.0,3.0,17
307.0,30,4.6,13.086438,80.220672,13.216439,80.350672,2.0,3.0,23
337.0,22,4.8,13.027018,80.254791,13.047018,80.274791,0.0,3.0,17
395.0,28,4.6,11.000762,76.981876,11.030762,77.011876,3.0,2.0,23
923.0,31,4.9,0.0,0.0,0.03,0.03,1.0,2.0,20
414.0,25,5.0,11.022298,76.998349,11.032298,77.008349,3.0,2.0,12
557.0,33,4.7,17.433809,78.386744,17.463809,78.416744,2.0,2.0,26
988.0,24,4.8,18.994049,72.825203,19.074049,72.905203,0.0,2.0,30
1039.0,29,4.6,12.323994,76.626167,12.403994,76.706167,0.0,3.0,33
1103.0,35,4.2,18.546947,73.900626,18.576947,73.930626,2.0,2.0,42
175.0,28,4.7,19.866969,75.318894,19.996969,75.448894,3.0,1.0,37
917.0,23,4.8,30.905562,75.832841,30.935562,75.862841,2.0,2.0,16
594.0,35,4.7,17.458998,78.500366,17.468998,78.510366,1.0,3.0,18
1002.0,30,4.8,19.176269,72.836721,19.286269,72.946721,2.0,2.0,47
655.0,37,4.0,22.745536,75.893106,22.795536,75.943106,1.0,2.0,31
721.0,38,4.9,26.47775,80.351569,26.60775,80.481569,3.0,1.0,44
680.0,33,4.3,26.911927,75.797282,27.001927,75.887282,2.0,3.0,38
586.0,34,4.9,17.440827,78.393391,17.460827,78.413391,2.0,2.0,22
722.0,34,4.9,26.47775,80.351569,26.61775,80.491569,0.0,2.0,19
42.0,34,4.6,0.0,0.0,0.11,0.11,2.0,2.0,29
718.0,35,4.5,26.956431,75.776649,27.006431,75.826649,2.0,2.0,29
419.0,28,5.0,10.994136,76.963303,11.054136,77.023303,3.0,2.0,22
1108.0,31,4.2,18.536562,73.896485,18.666562,74.026485,3.0,2.0,36
964.0,24,4.7,19.12663,72.829976,19.20663,72.909976,3.0,3.0,27
1043.0,31,4.8,12.325461,76.632278,12.355461,76.662278,2.0,2.0,23
727.0,33,4.9,26.471617,80.313564,26.491617,80.333564,1.0,1.0,19
1193.0,38,4.6,23.351489,85.324253,23.411489,85.384253,3.0,2.0,31
836.0,23,4.2,-9.960846,76.293936,10.050846,76.383936,2.0,2.0,42
1112.0,22,4.6,18.533811,73.899315,18.593811,73.959315,3.0,1.0,11
370.0,38,4.8,11.025083,77.015393,11.075083,77.065393,0.0,3.0,18
1267.0,33,4.5,0.0,0.0,0.02,0.02,1.0,3.0,28
327.0,36,4.8,13.044694,80.26147,13.054694,80.27147,1.0,2.0,24
368.0,32,4.6,11.022477,76.995667,11.052477,77.025667,2.0,2.0,21
978.0,37,4.9,19.055831,72.833984,19.065831,72.843984,3.0,3.0,21
371.0,31,4.8,11.025083,77.015393,11.055083,77.045393,3.0,1.0,27
396.0,24,4.2,11.003669,76.976494,11.043669,77.016494,0.0,2.0,33
1197.0,39,4.3,23.39925,85.390464,23.50925,85.500464,1.0,2.0,39
443.0,28,4.8,30.362686,78.06889,30.392686,78.09889,3.0,2.0,14
603.0,31,4.6,22.695207,75.866059,22.735207,75.906059,0.0,1.0,30
1100.0,34,4.9,18.546258,73.904337,18.576258,73.934337,0.0,2.0,25
204.0,22,5.0,12.906229,77.596791,12.916229,77.606791,2.0,2.0,18
1135.0,29,4.6,18.563934,73.915367,18.583935,73.935367,3.0,2.0,19
552.0,22,4.8,17.411028,78.329645,17.421028,78.339645,3.0,3.0,10
1102.0,26,4.7,18.546947,73.900626,18.676947,74.030626,0.0,3.0,20
211.0,28,4.9,12.934365,77.616155,13.064365,77.746155,1.0,2.0,38
1074.0,35,4.6,12.334022,76.618203,12.444022,76.728203,0.0,2.0,30
1244.0,21,4.7,21.160522,72.771477,21.190522,72.801477,2.0,3.0,25
600.0,30,4.1,22.75004,75.902847,22.76004,75.912847,0.0,2.0,34
1258.0,33,4.7,21.15276,72.778059,21.17276,72.798059,1.0,1.0,25
1296.0,34,4.5,22.310237,73.158921,22.380237,73.228921,1.0,3.0,30
1288.0,21,4.7,0.0,0.0,0.13,0.13,2.0,2.0,26
206.0,34,4.6,12.906229,77.596791,12.996229,77.686791,0.0,2.0,42
368.0,25,4.7,11.022477,76.995667,11.082477,77.055667,1.0,2.0,12
461.0,21,4.9,30.319528,78.040267,30.409528,78.130267,3.0,3.0,16
662.0,26,5.0,26.921411,75.793604,26.981411,75.853604,0.0,3.0,29
1072.0,36,4.7,12.337928,76.617889,12.357928,76.637889,3.0,3.0,28
47.0,33,4.7,0.0,0.0,0.06,0.06,3.0,3.0,28
1065.0,39,3.6,12.316967,76.603067,12.386967,76.673067,3.0,3.0,38
377.0,29,4.6,-11.022169,-76.999594,11.112169,77.089594,3.0,2.0,22
416.0,31,4.7,11.022298,76.998349,11.052298,77.028349,1.0,1.0,30
1053.0,32,5.0,12.284747,76.625861,12.324747,76.665861,0.0,3.0,27
799.0,35,4.8,9.982834,76.283268,10.002834,76.303268,1.0,2.0,25
139.0,23,4.9,19.874449,75.360232,20.004449,75.490232,0.0,1.0,38
1268.0,20,4.6,0.0,0.0,0.09,0.09,1.0,2.0,24
546.0,33,4.1,17.41233,78.449654,17.45233,78.489654,2.0,3.0,39
944.0,38,4.1,30.899584,75.809346,30.959584,75.869346,0.0,2.0,23
1072.0,29,4.3,12.337928,76.617889,12.417928,76.697889,3.0,2.0,38
586.0,36,4.2,17.440827,78.393391,17.460827,78.413391,1.0,2.0,32
371.0,33,4.8,11.025083,77.015393,11.085083,77.075393,2.0,3.0,25
1120.0,36,4.5,18.516216,73.842527,18.596216,73.922527,1.0,2.0,27
1266.0,39,4.6,0.0,0.0,0.07,0.07,0.0,2.0,46
487.0,33,4.8,15.585658,73.743606,15.665658,73.823606,2.0,1.0,25
602.0,31,4.7,22.75004,75.902847,22.78004,75.932847,3.0,1.0,19
1199.0,28,4.9,23.39925,85.390464,23.48925,85.480464,3.0,2.0,18
951.0,24,4.4,30.890184,75.829615,30.900184,75.839615,1.0,2.0,27
398.0,26,5.0,11.003669,76.976494,11.033669,77.006494,0.0,3.0,20
1184.0,25,4.9,23.369746,85.33982,23.459746,85.42982,2.0,3.0,12
1314.0,27,4.8,22.311844,73.165081,22.421844,73.275081,1.0,2.0,33
1102.0,31,5.0,18.546947,73.900626,18.596947,73.950626,1.0,3.0,28
645.0,20,5.0,22.744648,75.894377,22.854648,76.004377,3.0,2.0,44
969.0,21,4.5,19.22384,72.841347,19.23384,72.851347,0.0,2.0,18
425.0,35,4.7,0.0,0.0,0.09,0.09,1.0,2.0,44
207.0,35,4.9,12.934179,77.615797,12.944179,77.625797,2.0,2.0,20
1307.0,34,4.6,0.0,0.0,0.06,0.06,3.0,2.0,25
1073.0,21,4.8,12.337928,76.617889,12.397928,76.677889,3.0,2.0,14
668.0,23,4.6,26.914142,75.805704,27.004142,75.895704,1.0,2.0,30
656.0,32,4.5,22.745536,75.893106,22.775536,75.923106,1.0,2.0,27
1257.0,28,4.9,21.15276,72.778059,21.16276,72.788059,2.0,2.0,19
1239.0,24,4.8,21.157729,72.768726,21.197729,72.808726,1.0,1.0,23
589.0,35,4.1,17.451976,78.385883,17.471976,78.405883,1.0,2.0,24
669.0,25,4.8,26.913483,75.803139,26.923483,75.813139,0.0,2.0,17
561.0,33,5.0,17.424114,78.347554,17.464114,78.387554,0.0,3.0,25
993.0,31,4.7,19.207222,72.972281,19.277222,73.042281,3.0,2.0,23
998.0,37,4.8,19.178321,72.834715,19.238321,72.894715,3.0,3.0,29
597.0,29,4.9,17.483216,78.552111,17.553216,78.622111,3.0,2.0,39
668.0,33,4.8,26.914142,75.805704,27.054142,75.945704,2.0,2.0,25
1054.0,27,4.9,12.284747,76.625861,12.334747,76.675861,3.0,3.0,15
693.0,39,4.7,26.902908,75.792934,26.942908,75.832934,3.0,2.0,39
1162.0,34,3.8,23.359407,85.325055,23.489407,85.455055,0.0,3.0,34
1086.0,27,4.6,18.55144,73.804855,18.62144,73.874855,3.0,2.0,15
330.0,26,4.8,13.064181,80.236442,13.134181,80.306442,1.0,2.0,18
1003.0,27,4.8,19.176269,72.836721,19.196269,72.856721,3.0,3.0,19
1236.0,22,4.8,21.170096,72.789122,21.180096,72.799122,2.0,1.0,19
992.0,30,5.0,18.994237,72.825553,19.084237,72.915553,3.0,2.0,25
118.0,34,4.9,25.454697,81.834492,25.474697,81.854492,1.0,2.0,26
1030.0,31,4.5,12.299524,76.64262,12.379524,76.72262,1.0,3.0,38
474.0,29,4.3,30.372202,78.077151,30.412202,78.117151,1.0,2.0,33
108.0,38,3.6,25.45235,81.841889,25.56235,81.951889,1.0,2.0,31
1193.0,30,4.9,23.351489,85.324253,23.441489,85.414253,1.0,2.0,37
364.0,38,4.6,11.016298,76.972076,11.146298,77.102076,0.0,3.0,24
1291.0,35,4.1,22.308096,73.167753,22.388096,73.247753,0.0,2.0,44
652.0,32,4.6,22.753839,75.897429,22.803839,75.947429,0.0,2.0,30
1290.0,27,5.0,22.308096,73.167753,22.418096,73.277753,3.0,3.0,23
223.0,29,4.5,12.975377,77.696664,13.055377,77.776664,3.0,3.0,13
693.0,35,4.6,26.902908,75.792934,27.012908,75.902934,3.0,2.0,47
978.0,28,4.9,19.055831,72.833984,19.095831,72.873984,3.0,2.0,27
1191.0,27,4.7,23.351489,85.324253,23.391489,85.364253,3.0,2.0,21
1128.0,26,4.8,18.530963,73.828972,18.640963,73.938972,1.0,3.0,35
1042.0,26,4.8,12.325461,76.632278,12.345461,76.652278,2.0,3.0,15
1306.0,21,4.9,0.0,0.0,0.02,0.02,1.0,2.0,18
1231.0,22,4.6,21.157735,72.768778,21.287735,72.898778,3.0,2.0,38
406.0,31,4.4,11.010375,76.95295,11.060375,77.00295,1.0,1.0,33
1054.0,21,4.9,12.284747,76.625861,12.414747,76.755861,1.0,2.0,16
1066.0,27,4.9,12.316967,76.603067,12.396967,76.683067,0.0,3.0,13
690.0,25,4.5,26.90294,75.793007,26.97294,75.863007,3.0,3.0,16
1270.0,26,4.9,22.32,73.17,22.4,73.25,3.0,3.0,36
186.0,37,4.9,12.970221,77.645396,13.010221,77.685396,1.0,2.0,38
351.0,34,4.3,12.981615,80.231598,13.051615,80.301598,2.0,2.0,38
607.0,33,4.5,22.651847,75.881991,22.671847,75.901991,1.0,2.0,25
333.0,32,4.6,12.972793,80.249982,13.012793,80.289982,3.0,3.0,30
1080.0,38,4.7,18.539299,73.897902,18.579299,73.937902,2.0,2.0,28
1035.0,33,4.7,12.323978,76.627961,12.433978,76.737961,3.0,2.0,30
19.0,30,4.2,0.0,0.0,0.13,0.13,1.0,3.0,31
143.0,31,4.6,19.875908,75.358888,19.965908,75.448888,0.0,2.0,18
976.0,38,4.7,18.927584,72.832585,19.057584,72.962585,0.0,2.0,35
575.0,24,4.1,17.429585,78.392621,17.459585,78.422621,0.0,2.0,49
356.0,29,4.9,12.986047,80.218114,13.016047,80.248114,3.0,3.0,18
1064.0,32,4.8,12.352058,76.60665,12.442058,76.69665,1.0,3.0,45
1048.0,23,4.7,12.323194,76.630583,12.373194,76.680583,0.0,3.0,11
1279.0,27,4.9,22.31279,73.170283,22.39279,73.250283,3.0,2.0,12
1170.0,36,4.9,23.359194,85.325447,23.429194,85.395447,0.0,3.0,23
23.0,29,4.6,27.160934,78.044095,27.250934,78.134095,1.0,2.0,24
321.0,29,4.9,13.081878,80.248519,13.121878,80.288519,3.0,3.0,13
374.0,20,4.7,11.024839,77.007003,11.114839,77.097003,1.0,3.0,29
1067.0,31,4.7,12.316967,76.603067,12.406967,76.693067,3.0,3.0,27
130.0,36,5.0,19.874733,75.353942,19.954733,75.433942,2.0,2.0,43
676.0,33,4.1,26.905287,75.794592,26.925287,75.814592,0.0,2.0,21
486.0,38,4.9,15.585658,73.743606,15.595658,73.753606,3.0,3.0,15
390.0,23,4.9,11.001753,76.986241,11.011753,76.996241,2.0,2.0,19
853.0,33,4.5,22.538731,88.364878,22.558731,88.384878,2.0,2.0,15
1171.0,34,4.6,23.359194,85.325447,23.489194,85.455447,0.0,2.0,33
949.0,21,4.9,30.893384,75.821202,30.973384,75.901202,3.0,2.0,20
626.0,21,4.6,22.725748,75.898497,22.815748,75.988497,1.0,3.0,26
322.0,33,4.2,13.081878,80.248519,13.161878,80.328519,0.0,3.0,44
669.0,38,4.9,26.913483,75.803139,27.023483,75.913139,0.0,3.0,22
417.0,38,4.8,10.994136,76.963303,11.064136,77.033303,3.0,3.0,25
1243.0,36,3.6,21.160522,72.771477,21.240522,72.851477,1.0,3.0,39
627.0,36,4.4,22.725835,75.887648,22.765835,75.927648,0.0,2.0,33
1234.0,21,4.1,21.183434,72.814492,21.263434,72.894492,3.0,2.0,34
705.0,26,4.2,26.849596,75.800512,26.959596,75.910512,3.0,3.0,44
1123.0,22,4.5,18.636215,73.751081,18.716215,73.831081,0.0,1.0,19
1054.0,28,4.8,12.284747,76.625861,12.364747,76.705861,0.0,3.0,22
1056.0,32,4.9,12.310972,76.659264,12.320972,76.669264,1.0,2.0,21
1096.0,25,5.0,18.543626,73.905101,18.563626,73.925101,1.0,3.0,11
38.0,32,4.6,27.159795,78.04299,27.299795,78.18299,0.0,2.0,45
1082.0,38,4.9,18.539299,73.897902,18.569299,73.927902,3.0,3.0,22
712.0,27,4.9,26.913987,75.752891,26.963987,75.802891,0.0,2.0,17
1273.0,29,4.4,0.0,0.0,0.02,0.02,1.0,2.0,23
1162.0,31,4.7,23.359407,85.325055,23.439407,85.405055,1.0,2.0,46
938.0,37,3.6,30.893234,75.82172,30.983234,75.91172,3.0,3.0,38
1128.0,29,4.6,18.530963,73.828972,18.570963,73.868972,3.0,2.0,29
532.0,20,5.0,15.49395,73.827423,15.57395,73.907423,2.0,2.0,36
1130.0,37,5.0,18.530963,73.828972,18.560963,73.858972,2.0,2.0,35
573.0,20,4.9,17.429585,78.392621,17.539585,78.502621,2.0,3.0,12
1014.0,33,4.7,19.131141,72.813074,19.17114,72.853074,0.0,3.0,27
685.0,37,4.5,26.910262,75.783013,26.960262,75.833013,3.0,3.0,28
328.0,30,4.8,13.044694,80.26147,13.064694,80.28147,3.0,3.0,25
1252.0,26,4.1,21.149834,72.778666,21.229834,72.858666,3.0,1.0,39
305.0,21,4.7,13.005801,80.250744,13.035801,80.280744,2.0,2.0,17
683.0,21,4.8,26.766536,75.837333,26.796536,75.867333,1.0,2.0,21
343.0,37,4.6,13.026286,80.275235,13.156286,80.405235,1.0,3.0,30
703.0,24,4.3,26.891191,75.802083,26.911191,75.822083,1.0,2.0,44
647.0,30,3.7,22.744648,75.894377,22.834648,75.984377,1.0,2.0,38
1058.0,31,4.6,12.310972,76.659264,12.400972,76.749264,2.0,2.0,26
560.0,28,4.6,17.455894,78.375467,17.485894,78.405467,1.0,2.0,25
1173.0,28,4.6,0.0,0.0,0.07,0.07,1.0,3.0,40
1117.0,29,4.3,18.56245,73.916619,18.61245,73.966619,3.0,2.0,20
973.0,34,4.3,19.254567,72.848923,19.384567,72.978923,1.0,2.0,40
542.0,22,4.6,17.428294,78.404423,17.458294,78.434423,3.0,3.0,15
321.0,30,4.4,13.081878,80.248519,13.151878,80.318519,3.0,2.0,32
352.0,29,4.7,12.981615,80.231598,13.111615,80.361598,2.0,3.0,28
594.0,24,4.6,17.458998,78.500366,17.528998,78.570366,2.0,2.0,18
1197.0,21,4.6,23.39925,85.390464,23.43925,85.430464,3.0,2.0,28
1084.0,27,4.8,18.569156,73.774723,18.589156,73.794723,3.0,2.0,13
340.0,37,4.7,13.026279,80.174568,13.106279,80.254568,2.0,2.0,26
667.0,38,4.8,26.914142,75.805704,26.934142,75.825704,2.0,2.0,20
967.0,25,4.6,19.221315,72.862381,19.271315,72.912381,0.0,3.0,16
680.0,39,5.0,26.911927,75.797282,27.051927,75.937282,0.0,1.0,32
166.0,38,4.2,0.0,0.0,0.08,0.08,2.0,1.0,43
1209.0,35,4.5,21.186884,72.793616,21.296884,72.903616,3.0,2.0,24
1080.0,21,4.8,18.539299,73.897902,18.609299,73.967902,2.0,2.0,13
316.0,20,5.0,13.058616,80.264151,13.108616,80.314151,3.0,1.0,29
