net_profit_to_total_assets,total_liabilities_to_total_assets,working_capital_to_total_assets,current_assets_to_short_term_liabilities,liquidity_days_ratio,retained_earnings_to_total_assets,ebit_to_total_assets,book_value_equity_to_total_liabilities,sales_to_total_assets,equity_to_total_assets,extended_profit_to_total_assets,gross_profit_to_short_term_liabilities,gross_profit_plus_depreciation_to_sales,gross_profit_plus_interest_to_total_assets,liabilities_days_ratio,gross_profit_plus_depreciation_to_total_liabilities,total_assets_to_total_liabilities,gross_profit_to_total_assets,gross_profit_to_sales,inventory_days_ratio,sales_growth_ratio,operating_profit_to_total_assets,net_profit_to_sales,three_year_gross_profit_to_total_assets,equity_minus_share_capital_to_total_assets,net_profit_plus_depreciation_to_total_liabilities,operating_profit_to_financial_expenses,working_capital_to_fixed_assets,log_total_assets,net_liabilities_to_sales,gross_profit_plus_interest_to_sales,current_liabilities_days_ratio,operating_expenses_to_short_term_liabilities,operating_expenses_to_total_liabilities,sales_profit_to_total_assets,total_sales_to_total_assets,current_assets_minus_inventories_to_long_term_liabilities,constant_capital_to_total_assets,sales_profit_to_sales,liquid_assets_to_short_term_liabilities,liabilities_to_adjusted_operating_profit,operating_profit_to_sales,receivables_plus_inventory_turnover_days,receivables_days_ratio,net_profit_to_inventory,current_assets_minus_inventory_to_short_term_liabilities,inventory_days_cost_ratio,ebitda_to_total_assets,ebitda_to_sales,current_assets_to_total_liabilities,short_term_liabilities_to_total_assets,short_term_liabilities_days_cost_ratio,equity_to_fixed_assets,constant_capital_to_fixed_assets,working_capital_absolute,gross_margin,adjusted_liquidity_ratio,total_costs_to_total_sales,long_term_liabilities_to_equity,inventory_turnover_ratio,receivables_turnover_ratio,short_term_liabilities_days_ratio,sales_to_short_term_liabilities,sales_to_fixed_assets,__target__
0.18159,0.0,1.0,1.6517,41.034,-0.50524,0.18159,1.1493,5.2157,1.0,0.21347,0.16796,0.035938,0.18159,0.0,0.23644500000000002,2.2088,0.18159,0.034816,29.277,1.4162,0.10697,0.034816,-0.5817,1.0,0.21088,3.3545,0.5269,1.7183,-0.003448,0.034816,0.0,4.4726,1.7066,0.10697,5.2157,3.6564,1.0,0.020509,0.17816,0.0,0.020509,68.723,39.446,0.43405,1.0698,29.89,0.10111,0.019386,1.287,0.0,0.0,1.28,1.428,52.278,0.020505,0.18159,0.96588,0.0,12.467,9.2532,0.0,4.93,4.0983,0
0.18451,0.24395,0.7462,4.0588,44.666,0.0,0.22668,3.0992,1.1483,0.75605,0.24022,0.92921,0.20068,0.22668,386.4,0.94462,4.0992,0.22668,0.19741,17.986,0.90134,0.17866,0.16069,0.41788,0.74295,0.77177,13.2,75.736,3.5819,0.030801,0.2092,91.689,3.9808,3.9808,0.17715,1.1483,3.6564,0.75605,0.15427,3.1899,0.044577,0.15559,67.38,49.394,3.2609,3.8269,21.267,0.1749,0.15232,4.0588,0.24395,0.2512,76.736,76.736,2849.3,0.15427,0.24405,0.81287,0.0,20.293,7.3896,77.544,4.707,116.54,0
0.7773,0.14925,0.73689,5.9776,113.42,-6.1e-05,0.96071,5.7002,3.2689,0.85075,0.9631,6.4894,0.30181,0.96071,55.217,6.6103,6.7002,0.96071,0.29389,0.0,1.3547,0.92496,0.23779,1.7801,0.78766,5.3815,385.61,6.4041,3.3462,-0.035126,0.2939,22.849,15.975,15.845,0.90397,3.2689,3.6564,0.85075,0.27654,1.7838,0.005232,0.28296,69.325,69.325,0.255145,5.9776,0.0,0.89907,0.27504,5.9292,0.14804,0.0626,7.3936,7.3936,1635.2,0.27654,0.91367,0.71133,0.0,9.0395,5.2651,16.53,22.081,28.409,0
0.082709,0.65006,0.061915,1.2328,-18.413,0.19763,0.082709,0.40796,1.0596,0.2652,0.082709,0.31105,0.14111,0.082709,1410.8,0.25872,1.5383,0.082709,0.069395,34.061,1.3369,0.09213,0.069395,0.19763,0.2652,0.25872,0.81907,0.09211,4.6106,0.54216,0.069395,86.286,4.2301,0.14173,0.09213,1.2349,0.56383,0.64936,0.077299,0.029091,0.12033,0.077299,98.023,63.962,0.74364,0.81456,36.092,0.006654,0.005583,0.50429,0.2659,0.2364,0.39454,0.96604,2525.5,0.056259,0.31188,0.94374,1.4485,10.716,5.7065,81.431,4.4823,1.7731,0
0.097174,0.21013,0.19972,2.2155,2.6225,0.14354,0.12856,3.216,1.1394,0.67578,0.12856,0.78237,0.18672,0.12856,402.9,0.90593,4.7589,0.12856,0.1261,67.394,1.2708,0.14397,0.095312,0.20052,0.67578,0.75657,1.6089,0.31405,4.3642,0.18343,0.1261,67.026,5.4457,0.68512,0.14397,1.0517,3.8372,0.72159,0.14121,0.17359,0.033574,0.14121,120.12,52.724,0.14121,1.0698,76.787,0.082161,0.080586,1.7325,0.16432,0.18363,1.0626,1.1347,4620.2,0.12232,0.14379,0.87768,0.067792,5.4159,6.9229,58.827,6.2046,1.6032,0
-0.006727,0.71556,0.10917,1.1527,0.026617,0.13542,-0.006572,0.38606,0.99929,0.27625,-0.006572,-0.009192,0.002503,-0.006572,13971.0,0.026126,1.3975,-0.006572,-0.00088,5.2414,1.2248,0.00851,-0.000901,0.16108,0.27625,0.025908,0.011385,0.62048,4.677,0.095457,-0.00088,34.909,10.456,0.011893,0.00851,7.4913,1050.0,0.27693,0.001139,0.005484,0.69651,0.001139,40.077,34.836,-0.062716,1.0027,5.2377,-0.016756,-0.002243,1.1516,0.71488,0.095641,1.5701,1.5739,5189.2,-0.000707,-0.024351,1.0007,0.002471,69.638,10.478,34.934,10.448,42.452,0
-0.012325,0.74715,-0.057263,0.78347,-91.762,0.0,-0.012325,0.33831,0.79078,0.25277,-0.003809,-0.046603,0.1438,-0.012325,2398.2,0.15219,1.3384,-0.012325,-0.015585,59.43,0.57829,-0.003927,-0.015585,0.00814,0.2283,0.15219,-0.46121,-0.072227,3.3895,0.94302,-0.004817,113.79,3.2362,1.1455,-0.057386,0.85191,3.6564,0.25277,-0.072568,0.005382,0.20396,-0.004967,94.979,35.549,-0.095721,0.49224,55.401,-0.12996,-0.16435,0.27732,0.26446,0.31176,0.31882,0.31882,-140.41,-0.072718,-0.048759,1.0046,0.0,6.1417,10.267,122.07,2.9902,0.99743,1
0.017836,0.74875,0.019066,1.0433,-14.657,-0.004057,0.024996,0.33556,1.7812,0.25125,0.044072,0.056796,0.035994,0.024996,4262.7,0.085626,1.3356,0.024996,0.014033,13.783,1.1276,0.035313,0.010013,0.20437,0.21543,0.076063,1.8512,0.035255,4.064,0.41965,0.024743,91.342,3.996,2.3488,0.022524,1.7812,2.8722,0.3877,0.012645,0.05245,0.33533,0.019825,89.363,75.581,0.26518,0.8905,13.959,-0.003804,-0.002135,0.61326,0.44011,0.25025,0.46457,0.71687,220.93,0.012645,0.070989,0.98619,0.54308,26.482,4.8293,90.187,4.0472,3.2935,0
0.094598,0.57662,0.41805,1.8095,-20.903,0.22687,0.12132,0.73424,1.0549,0.42338,0.12132,0.23491,0.052137,0.12132,1574.1,0.23187,1.7342,0.12132,0.047308,79.313,1.2248,0.116,0.036889,0.29333,0.42338,0.18553,0.47721,6.381,4.6592,0.20438,0.047308,77.544,4.707,0.20118,0.116,2.5744,6.2679,0.48357,0.045235,0.10406,0.14766,0.045235,125.36,46.046,0.16976,0.73048,83.671,0.10362,0.040406,1.6206,0.51643,0.21245,6.4624,7.381,19072.0,0.052082,0.22344,0.94792,0.14216,4.602,7.9269,73.506,4.9656,39.143,0
-0.12289,0.63483,-0.35792,0.40491,-268.26,-0.38842,-0.12289,0.51951,0.95834,0.3298,-0.12289,-0.20433,-0.082501,-0.12289,-4735.3,-0.077081,1.5752,-0.12289,-0.20719,28.257,1.3336,-0.048973,-0.20719,-0.38842,0.3298,-0.077081,-0.79128,-0.47315,5.1292,0.89344,-0.20719,354.71,1.029,-0.077143,-0.048973,0.62168,5.9206,0.36318,-0.082568,0.17816,0.83531,-0.082568,83.925,55.668,-2.6763,0.32856,27.08,-0.12293,-0.20726,0.38362,0.60146,0.9718,0.43597,0.4801,-48193.0,-0.043466,-0.37263,1.0435,0.10121,12.917,6.5568,370.13,0.98615,0.78408,0
-0.057958,0.83988,-0.32804,0.59053,-129.27,-0.028931,-0.056574,0.19064,1.8117,0.16012,-0.027968,-0.070617,-0.013342,-0.056574,-12683.0,-0.028778,1.1906,-0.056574,-0.031228,67.454,1.2388,-0.028308,-0.031992,0.0184,0.15189,-0.030426,-0.98958,-0.62258,4.0849,0.46334,-0.024853,155.33,2.3498,2.2414,-0.070883,1.8117,3.7734,0.19677,-0.039126,0.002477,6.8351,-0.015625,94.916,27.462,-0.17311,0.17262,64.914,-0.060712,-0.033512,0.56329,0.80114,0.42556,0.30388,0.37344,-3988.6,-0.039126,-0.36197,1.0305,0.22888,5.4111,13.291,161.41,2.2613,3.4383,0
-0.1024,0.031115,0.22295,8.3489,56.116,0.36966,-0.12504,29.769,1.1429,0.92623,-0.12504,-4.1214,-0.17828,-0.12504,-121.72,-2.9988,32.139,-0.12504,-0.23891,105.94,0.93677,0.063254,-0.19565,0.45875,0.92623,-2.2712,1.3814,0.29858,4.8882,0.050155,-0.23891,24.183,15.093,2.0329,0.063254,0.55124,130.6,0.92701,0.12086,0.31231,0.01077,0.12086,170.04,64.096,-0.67406,3.3417,121.09,0.031525,0.060235,8.1406,0.030338,0.066254,1.2404,1.2415,17233.0,0.12507,-0.11055,0.87493,0.000838,3.4452,5.6946,21.158,17.251,0.7009,0
-0.32543,3.0059,-1.1407,0.33209,-310.77,-0.32543,-0.32543,-0.66732,0.75303,-2.0059,-0.32543,-0.19054,-0.30948,-0.32543,-3371.3,-0.10827,0.33268,-0.32543,-0.30948,19.889,1.1175,-0.31869,-0.30948,-0.32543,-2.0059,-0.10827,0.97606,-2.6356,3.7589,2.8579,-0.30948,446.42,0.81761,-0.10602,-0.31869,1.0936,0.39284,-0.70791,-0.30308,0.004752,-0.31008,-0.30308,194.06,174.17,-5.6795,0.29854,14.977,-0.31869,-0.30308,0.18869,1.7079,1.2231,-4.6344,-1.6356,-6547.7,-0.32797,0.16224,1.328,-0.64708,18.352,2.0956,592.84,0.61568,2.4295,1
0.085095,0.068062,0.91154,14.393,247.32,0.0,0.10552,13.692,0.97577,0.93194,0.10623,1.5504,0.11802,0.10552,215.72,1.692,14.692,0.10552,0.10814,112.4,0.90882,0.084952,0.087208,0.27827,0.92865,1.3919,120.62,44.68,4.1817,-0.43592,0.10814,27.881,13.091,13.091,0.084737,0.97577,3.6564,0.93194,0.086841,7.3309,0.023985,0.087061,179.79,67.387,0.28319,9.9778,123.09,0.075312,0.077182,14.393,0.068062,0.076386,45.68,45.68,13850.0,0.086841,0.091309,0.89436,0.0,3.2473,5.4164,25.46,14.336,47.828,0
-0.09266,0.6846,-0.12397,0.76691,-288.14,-0.27626,-0.099359,0.46071,1.018,0.3154,-0.033362,-0.18682,-0.043629,-0.099359,-5626.0,-0.064877,1.4607,-0.099359,-0.097602,117.53,1.0354,-0.033411,-0.091021,-0.40992,0.006729,-0.055091,-0.50624,-0.20936,5.0134,0.67249,-0.097602,296.01,1.3174,1.0234,0.36222,1.018,0.52418,0.46816,0.35582,0.0548,1.0597,-0.03282,135.79,18.261,-0.28268,0.15056,170.77,-0.088355,-0.086792,0.59578,0.53184,0.7591,0.53266,0.79064,0.76691,0.35582,-0.29378,0.71239,0.48434,3.1056,19.988,190.69,1.9141,1.7192,0
-0.11643,0.84466,-0.093854,0.88889,-209.05,-0.19079,-0.11643,0.18391,1.1345,0.15534,-0.020561,-0.13785,-0.054742,-0.11643,-4964.3,-0.073525,1.1839,-0.11643,-0.10263,177.25,1.2346,-0.026519,-0.10263,0.16319,0.01178,-0.073525,-0.27661,-0.37663,3.445,0.73429,-0.10263,264.52,1.3799,1.3799,-0.031029,1.1345,3.6564,0.15534,-0.027351,0.014305,1.0124,-0.023376,237.67,60.418,-0.21134,0.23663,172.54,-0.080849,-0.071266,0.88889,0.84466,0.72472,0.62337,0.62337,-261.51,-0.027351,-0.74954,1.1015,0.0,2.0592,6.0412,271.76,1.3431,4.5526,0
-0.073221,1.6733,-0.65563,0.604,-240.53,-1.0258,-0.070306,-0.40238,1.4003,-0.67329,0.071033,-0.042465,-0.050207,-0.070306,-8687.1,-0.042017,0.59762,-0.070306,-0.050207,141.97,0.73068,0.023079,-0.052289,-0.059099,-1.0991,-0.043758,0.16329,0.5269,2.4848,1.1641,-0.046067,335.81,1.0869,1.0755,-0.39923,1.4003,3.6564,-0.67329,-0.2851,0.027362,2.4167,0.016482,248.85,106.88,-0.13443,0.27502,110.47,0.023079,0.016482,0.59762,1.6556,0.92003,1.28,1.428,-200.19,-0.2851,0.10875,1.0375,0.0,2.5709,3.4152,431.55,0.84579,4.0983,0
0.04811,0.68119,0.12405,1.1835,-20.622,0.29426,0.060802,0.42928,1.029,0.29242,0.060802,0.089925,0.0288,0.060802,2626.0,0.13899,1.468,0.060802,0.018495,33.582,0.96725,0.094007,0.014634,0.35186,0.29242,0.12036,0.29424,0.62086,4.4635,0.2067,0.018495,77.245,4.7253,0.138,0.094007,3.323,98.462,0.29747,0.028595,0.006419,0.17512,0.028595,88.36,54.778,0.15906,0.73613,34.555,0.060127,0.01829,1.1747,0.67613,0.21163,1.4635,1.4888,3607.1,0.028167,0.16452,0.97183,0.017287,10.869,6.6632,75.069,4.8622,16.453,0
-0.050258,0.2441,0.32693,6.9358,254.83,-0.009245,-0.047061,3.0966,0.39632,0.7559,-0.044194,-0.85445,-0.051499,-0.047061,-4365.4,-0.083612,4.0966,-0.047061,-0.11875,1.6914,3.4612,-0.069325,-0.12681,-0.043041,0.73029,-0.09671,-24.178,0.52901,4.4304,-0.15531,-0.11825,42.588,8.5742,1.9346,-0.075729,0.39632,524.45,0.75662,-0.19108,5.7278,-0.19067,-0.17492,61.274,59.583,-27.366,6.9024,1.4195,-0.095976,-0.24217,1.5649,0.055078,0.11663,1.2231,1.2243,6.9358,-0.19108,-0.066488,1.1099,0.000959,215.79,6.1259,50.725,7.1956,0.6413,0
-0.14514,0.98001,-0.13721,0.82704,-33.798,-0.41373,-0.14514,-0.034106,0.95479,-0.033424,-0.14514,-0.18296,-0.039005,-0.14514,-3131.0,-0.11658,1.0204,-0.14514,-0.049554,18.107,1.1304,-0.12679,-0.049554,-0.41373,-0.033424,-0.11658,-0.41332,-0.39898,4.5963,0.32919,-0.049554,94.39,3.8669,-0.12938,-0.12679,2.9632,2.7359,0.15328,-0.043289,0.023231,-0.33598,-0.043289,79.465,61.358,-0.99893,0.64389,17.288,-0.15769,-0.053838,0.66948,0.79331,0.2586,-0.097193,0.44571,-5415.5,-0.047353,4.3424,1.0474,-5.5858,20.158,5.9487,98.86,3.6921,8.517,0
-0.012555,0.68012,-0.15531,0.67418,-99.524,-0.044064,-0.03256,0.24882,1.0376,0.16923,-0.03256,-0.068305,0.018958,-0.03256,12113.0,0.030134,1.4703,-0.03256,-0.030118,37.871,1.1181,0.034482,-0.011613,-0.060974,0.16923,0.059548,0.33094,-0.22887,4.6244,0.58814,-0.030118,166.99,2.1858,0.0507,0.034482,1.1116,1.0284,0.37266,0.031896,0.10529,0.25544,0.031896,91.56,53.689,-0.11193,0.43888,39.294,-0.018573,-0.01718,0.47253,0.47669,0.4575,0.24937,0.54914,-6541.2,0.03621,-0.074191,0.96379,1.2021,9.6381,6.7984,160.94,2.2679,1.5931,0
