s12,s13,s14,s15,s16,s21,s23,s24,s25,s26,s31,s32,s34,s35,s36,s41,s42,s43,s45,s46,s51,s52,s53,s54,s56,s61,s62,s63,s64,s65,__target__
-0.002441,0.000547,-0.00074,-0.002091,-0.001276,0.002045,0.000411,-0.002337,-0.001599,-0.000443,-0.002093,-0.003602,-0.001524,-0.000205,0.002722,0.000513,0.0,0.000565,0.002023,0.002706,-0.001576,-0.000938,0.0023,-0.002319,-0.002065,-0.000796,0.000187,0.001514,0.001758,-0.001574,0
-0.001753,-0.000906,-0.002645,0.000769,-0.000221,-0.00013,-0.000783,-0.000321,-0.000293,-0.000122,-0.002538,-0.005138,-0.001389,-0.000512,0.002351,0.000154,0.000281,0.000252,0.001712,0.002233,-0.001157,-0.000809,0.002084,-0.001951,-0.002213,-0.000994,0.000443,0.001171,0.002191,-0.00148,1
-0.001831,-0.000888,-0.00143,-0.001557,-0.000146,0.001063,0.001654,-0.002347,-0.00028,-3.1e-05,-0.002776,-0.005083,-0.000999,-0.000601,0.002427,0.000123,0.000385,0.000376,0.001736,0.002085,-0.00121,-0.000588,0.002277,-0.002126,-0.002342,-0.001086,0.000552,0.00117,0.002036,-0.001567,1
-0.003656,8.9e-05,-0.004682,0.001765,9.3e-05,0.00053,-0.001616,0.000112,-0.000835,0.00015,-0.0061,-0.005988,-8.8e-05,-0.000856,0.004421,-0.000499,-0.000751,-0.000165,0.003725,0.002542,-0.002152,-0.000859,0.00343,-0.003913,-0.004175,-0.001037,0.001081,0.001815,0.002482,-0.00423,0
-0.001792,-0.000649,-0.000916,-0.002068,0.000843,0.00206,0.001621,-0.002644,-5e-06,-8.4e-05,-0.002281,-0.00422,-0.000506,-0.000515,0.002431,0.000415,8.3e-05,0.000361,0.001486,0.002018,-0.001236,-0.000926,0.002343,-0.00244,-0.002293,-0.001235,0.000863,0.001387,0.00209,-0.001789,0
-0.001836,-0.000758,-0.001135,-0.001327,0.000849,0.002338,0.00124,-0.002759,-0.000251,0.000322,-0.002153,-0.004372,-0.000348,-0.000542,0.002604,0.000591,0.000106,0.000188,0.001367,0.002165,-0.001175,-0.000434,0.002398,-0.001632,-0.002244,-0.001067,0.000478,0.001288,0.001987,-0.002136,0
-0.004627,-0.000837,-0.005397,0.001665,-0.00115,-0.001215,-0.001674,-0.00048,-0.002272,-0.000193,-0.004842,-0.005691,-0.001749,-0.000701,0.004085,-0.001415,0.000749,0.000928,0.004161,0.002873,-0.001654,-0.000852,0.002165,-0.00318,-0.004297,-0.000745,0.002365,0.001696,0.002992,-0.003639,1
-0.002633,-0.000192,-0.00187,-0.002239,-0.000742,0.000262,0.001362,-0.002225,-0.000908,-0.000411,-0.002385,-0.003874,-0.000901,-0.000845,0.002656,-0.000321,8.4e-05,0.000962,0.002347,0.002056,-0.001289,-0.000745,0.00171,-0.001894,-0.002128,-0.000787,0.000714,0.000831,0.002259,-0.001644,1
-0.002166,0.000369,-0.003086,0.000689,-0.000276,3.9e-05,-0.001129,0.000355,-0.00095,0.000605,-0.002658,-0.003893,0.000291,-0.000205,0.002458,0.00021,-0.000316,0.000311,0.001912,0.002093,-0.001366,-0.000689,0.002242,-0.001924,-0.002053,-0.001589,0.000643,0.000723,0.001716,-0.00207,0
-0.001879,9.6e-05,-0.00272,0.000728,-9.5e-05,0.000983,-0.001223,-0.000282,-0.001648,4e-06,-0.001739,-0.003452,-0.001587,-0.000407,0.002341,0.000433,0.000147,0.000599,0.001914,0.002556,-0.00138,-0.0009,0.002278,-0.002256,-0.002177,-0.000956,0.000328,0.00151,0.001508,-0.001928,0
-0.004337,0.000958,-0.004967,0.00162,9.2e-05,0.001627,-0.001961,0.000297,-0.002249,-0.000352,-0.005994,-0.005038,-0.002501,-0.000178,0.00348,-0.000272,-0.000326,0.000584,0.004034,0.002416,-0.002091,-0.001284,0.002368,-0.004455,-0.004548,-0.000986,0.001071,0.00208,0.002276,-0.004338,0
-0.001848,-0.000493,-0.000793,-0.002039,0.000162,0.001799,0.001167,-0.002162,-0.000805,-0.000612,-0.002411,-0.004881,-0.000709,-0.000479,0.002086,-0.000423,0.000404,0.000274,0.002228,0.002294,-0.001248,-0.000651,0.002205,-0.001995,-0.002255,-0.000877,0.000441,0.001176,0.001929,-0.001485,1
-0.003804,0.001096,-0.004815,0.001582,0.000487,0.001623,-0.001953,0.000125,-0.002374,-0.000274,-0.005435,-0.005132,-0.002529,0.000421,0.003548,-0.000438,-0.000424,0.000932,0.003824,0.002589,-0.002078,-0.001367,0.002236,-0.004488,-0.004359,-0.00073,0.001505,0.002441,0.00229,-0.003943,0
-0.002259,-0.00049,-0.00196,-0.001284,-0.000539,0.001545,0.001183,-0.002094,-0.000745,-1.8e-05,-0.002766,-0.004761,-0.001474,-0.000541,0.002265,-7.9e-05,0.000195,0.000554,0.001461,0.00195,-0.001458,-0.000603,0.001619,-0.001995,-0.002129,-0.001052,0.000502,0.001359,0.001985,-0.00146,1
-0.003057,0.000146,-0.001089,-0.002312,-0.000882,0.001063,0.000792,-0.002462,-0.00072,0.000159,-0.003174,-0.004046,-0.00019,-0.000369,0.002358,0.000284,-0.000538,0.000279,0.002112,0.001804,-0.001355,-0.000769,0.002444,-0.002511,-0.002281,-0.001168,0.000312,0.001017,0.001741,-0.002122,1
-0.002086,-0.000501,-0.000478,-0.002386,0.000465,0.002,0.00152,-0.001968,-0.000958,-0.000567,-0.002614,-0.004901,-0.000806,-0.000524,0.002125,-0.000366,0.000182,0.00023,0.001897,0.002182,-0.001332,-0.000766,0.002446,-0.002251,-0.002226,-0.000919,0.000863,0.001339,0.002177,-0.00148,0
-0.002009,-0.000691,-0.001426,-0.00159,-0.000474,0.0021,0.001076,-0.001895,-0.000747,-0.000246,-0.002948,-0.005087,-0.001398,-0.000519,0.002191,-6.8e-05,8e-05,0.000345,0.001684,0.001989,-0.001351,-0.000652,0.001843,-0.001992,-0.002201,-0.000954,0.000511,0.001347,0.002098,-0.001443,1
-0.002403,3.1e-05,-0.001873,-0.001948,-0.000619,0.000221,0.001575,-0.002247,-0.000992,-0.000564,-0.002158,-0.004183,-0.00069,-0.000699,0.002475,-0.000281,0.000397,0.000791,0.00245,0.002148,-0.001187,-0.000654,0.001961,-0.001927,-0.00219,-0.000839,0.0009,0.001075,0.002225,-0.001735,1
-0.002519,-0.000551,-0.00151,-0.001345,0.000713,0.00197,0.001362,-0.002368,-0.000292,0.00011,-0.002167,-0.004669,-0.000391,-0.000577,0.002344,0.000366,0.000212,0.000766,0.001529,0.002258,-0.001366,-0.000686,0.002118,-0.002241,-0.002338,-0.001368,0.000522,0.001323,0.001852,-0.001882,1
-0.002285,-0.000648,-0.003041,0.000333,-0.001074,-0.000815,-0.00084,-0.00026,-0.000891,-0.000453,-0.002154,-0.00396,-0.000966,-0.000775,0.002673,-0.000336,0.000229,0.000945,0.002383,0.002051,-0.001268,-0.000724,0.001716,-0.001876,-0.00216,-0.000743,0.000858,0.000873,0.002286,-0.001648,1
-0.002104,-0.000537,-0.003081,0.000519,-0.000472,-0.000899,-0.000555,-0.000336,-0.001079,-0.000653,-0.002369,-0.004538,-0.000624,-0.000554,0.002282,-0.000245,0.00056,0.000646,0.002227,0.002437,-0.00108,-0.000626,0.002122,-0.001912,-0.002223,-0.000965,0.000637,0.00119,0.002224,-0.001629,0
-0.002406,-0.002391,-0.004801,0.00094,-0.000456,-0.000288,-0.001516,-0.000469,-0.000677,-0.000641,-0.006094,-0.007233,-0.002484,-0.000123,0.003881,-0.000728,0.00039,0.000298,0.00314,0.002357,-0.001959,-0.000999,0.002965,-0.004001,-0.004383,-0.000881,0.00202,0.002067,0.003568,-0.003129,0
-0.002447,0.000286,-0.003193,0.000886,-0.000357,-2.9e-05,-0.001083,0.000389,-0.000904,0.000458,-0.003182,-0.004181,0.000306,-0.000186,0.0025,0.000173,-0.000501,0.000368,0.001928,0.002122,-0.001398,-0.000559,0.002349,-0.002047,-0.002187,-0.001386,0.000572,0.000806,0.001749,-0.002139,1
-0.001976,-0.000813,-0.002597,0.00084,-0.000149,5.8e-05,-0.000917,-0.000197,-0.000424,-0.000121,-0.002848,-0.004947,-0.001508,-0.000453,0.002264,-2.5e-05,0.000276,0.000227,0.001718,0.001972,-0.001348,-0.000735,0.002086,-0.001944,-0.002225,-0.000925,0.000522,0.001176,0.002089,-0.001419,1
-0.002229,-0.00078,-0.002883,0.000852,0.000409,0.000385,-0.000956,-0.000197,-0.000124,0.000102,-0.002534,-0.004864,4.3e-05,-0.000565,0.002516,9.8e-05,-0.000179,-3.7e-05,0.001928,0.002079,-0.001239,-0.000333,0.002332,-0.001833,-0.00221,-0.000989,0.000457,0.001253,0.0017,-0.002152,1
-0.002756,-0.000644,-0.000823,-0.001677,0.000688,0.002518,0.000973,-0.002594,-0.000127,0.000234,-0.002382,-0.00419,0.000192,-0.00037,0.002681,0.000192,-0.000352,-5.7e-05,0.001779,0.002081,-0.001376,-0.000831,0.00249,-0.002105,-0.002317,-0.001176,0.000578,0.001219,0.00179,-0.002035,1
-0.002815,-0.000688,-0.001421,-0.001077,0.000996,0.002663,0.000852,-0.002568,-0.000194,0.000237,-0.002603,-0.004142,0.000185,-0.000229,0.002621,4.7e-05,-0.000192,0.000293,0.001645,0.002178,-0.00142,-0.000577,0.002028,-0.001773,-0.002258,-0.001239,0.000575,0.001188,0.001759,-0.00228,1
-0.001366,-0.000686,-0.000808,-0.002216,0.00102,0.002133,0.001222,-0.002819,0.000135,0.000217,-0.001903,-0.004369,-0.000411,-0.000433,0.002529,0.00046,0.000105,0.000143,0.001632,0.001903,-0.001286,-0.00078,0.002454,-0.002127,-0.002441,-0.00096,0.00084,0.001371,0.001874,-0.001802,1
-0.002799,-0.000625,-0.001269,-0.001749,-0.001324,0.000951,0.000456,-0.002417,-0.000787,-0.000153,-0.003192,-0.004602,-0.000175,-0.000568,0.002361,0.000227,-0.000288,-8e-05,0.002269,0.002136,-0.001199,-0.00053,0.002287,-0.002073,-0.002172,-0.001052,5.5e-05,0.001069,0.001504,-0.002174,1
-0.002493,4.3e-05,-0.002899,0.000891,-0.000761,-0.00016,-0.000999,0.000228,-0.000795,4.7e-05,-0.003629,-0.004528,-0.000107,-0.000503,0.002343,0.000187,-0.000313,0.000208,0.002136,0.002096,-0.001267,-0.000483,0.002194,-0.002185,-0.002218,-0.001114,0.000208,0.001038,0.001644,-0.002335,1
-0.001968,-0.00056,-0.001128,-0.001669,-0.000515,0.001867,0.001223,-0.001973,-0.000486,-4.4e-05,-0.002655,-0.005175,-0.001529,-0.000498,0.002238,-7.3e-05,0.000313,0.000394,0.001791,0.001913,-0.001394,-0.000724,0.001916,-0.001939,-0.002223,-0.000824,0.000501,0.001273,0.002113,-0.001435,1
-0.002179,-0.000657,-0.003178,0.000303,-0.000994,-0.000939,-0.000894,-0.000252,-0.001072,-0.000469,-0.002202,-0.00399,-0.000894,-0.000621,0.002696,-0.000268,0.000304,0.000782,0.002372,0.002137,-0.001214,-0.000796,0.001825,-0.0019,-0.002195,-0.000803,0.000867,0.000966,0.002258,-0.001709,1
-0.002463,0.000608,-0.002801,0.000881,-0.000256,0.000644,-0.001127,0.000218,-0.001365,-0.000217,-0.002995,-0.003754,-0.001218,-0.000457,0.002051,0.000201,-7.6e-05,0.000476,0.002429,0.001961,-0.001217,-0.000797,0.001784,-0.002622,-0.002276,-0.001077,0.000168,0.0011,0.001617,-0.00238,1
-0.002488,0.000139,-0.002892,0.000889,-0.000749,0.000118,-0.001179,0.000218,-0.001091,-0.000252,-0.002898,-0.004301,-0.000623,-0.000384,0.001882,0.00035,-0.00026,0.000482,0.00216,0.002023,-0.001263,-0.000641,0.002019,-0.002275,-0.002234,-0.001341,0.000176,0.000965,0.00177,-0.00237,1
-0.002026,5.8e-05,-0.002208,0.001012,-0.00051,0.000342,-0.001191,-0.000229,-0.00119,-0.000766,-0.002141,-0.003502,-0.00108,-0.000377,0.002791,0.000551,-2.8e-05,0.000352,0.002153,0.002663,-0.001649,-0.000695,0.00233,-0.002265,-0.002036,-0.000725,0.000318,0.001582,0.001769,-0.001788,0
-0.003741,-0.000383,-0.004865,0.00191,-0.001162,0.00032,-0.001897,0.000269,-0.001458,-0.000344,-0.006403,-0.006604,-0.001199,-0.000945,0.003549,-9.9e-05,-0.000625,0.000285,0.004201,0.00232,-0.001994,-0.001228,0.003136,-0.004327,-0.004298,-0.000871,0.000886,0.002419,0.002068,-0.003992,0
-0.001768,-0.000504,-0.001033,-0.001825,-0.000358,0.002057,0.001129,-0.001872,-0.000625,-0.000153,-0.002918,-0.005143,-0.001481,-0.000444,0.002268,-9.8e-05,0.00032,0.000336,0.001764,0.002043,-0.001285,-0.00072,0.002057,-0.002046,-0.002205,-0.000846,0.000568,0.001218,0.002157,-0.001427,1
-0.002548,-0.000445,-0.004494,0.001508,0.002096,0.001253,-0.001696,-0.000704,1.6e-05,0.000112,-0.005636,-0.005428,-0.000564,-0.00062,0.004409,-0.000574,-0.000296,5.8e-05,0.00316,0.002531,-0.002144,-0.000764,0.003358,-0.003527,-0.00423,-0.000802,0.001583,0.001951,0.002511,-0.003907,0
-0.00307,-0.000435,-0.001597,-0.001882,-0.001067,0.000753,0.000446,-0.002426,-0.000776,-1e-06,-0.002875,-0.004824,-4.7e-05,-0.000422,0.002254,0.000366,-0.000359,0.000201,0.002073,0.002346,-0.001303,-0.000546,0.002199,-0.002194,-0.00217,-0.001205,0.000181,0.000908,0.001745,-0.002317,1
-0.002377,-3.4e-05,-0.001708,-0.001892,-0.000646,0.000339,0.00157,-0.002405,-0.001004,-0.00058,-0.00239,-0.004165,-0.000644,-0.000566,0.002432,-0.000317,0.000341,0.000689,0.002474,0.002133,-0.00121,-0.000691,0.001959,-0.001838,-0.002293,-0.000841,0.000868,0.001013,0.002151,-0.001815,1
-0.002097,-0.000695,-0.001739,-0.001063,-0.000356,0.001115,0.001535,-0.002149,-0.000554,3.1e-05,-0.002096,-0.005119,-0.001188,-0.000576,0.002261,-1.7e-05,0.000288,0.000666,0.001473,0.002076,-0.001261,-0.000601,0.001763,-0.002048,-0.002193,-0.00107,0.000404,0.001198,0.001964,-0.001428,1
-0.001831,-0.000438,-0.000744,-0.001738,0.000927,0.002821,0.000995,-0.002958,7.9e-05,0.000119,-0.002228,-0.004138,-0.000188,-0.000413,0.002669,0.000398,6e-06,-5.4e-05,0.001759,0.002,-0.001281,-0.000731,0.002464,-0.002129,-0.002337,-0.001107,0.000673,0.001293,0.001757,-0.002022,1
-0.001967,-0.000943,-0.002679,0.001013,-0.000247,-0.000335,-0.000731,-0.000346,-0.000253,-0.000131,-0.002841,-0.005002,-0.001277,-0.000516,0.002379,8.1e-05,0.000328,0.000206,0.00183,0.002074,-0.001191,-0.000702,0.002014,-0.002028,-0.002339,-0.001048,0.000556,0.0013,0.002118,-0.001472,1
-0.002007,-0.000781,-0.002816,0.001303,0.000713,-0.000107,-0.000552,-0.000329,-0.000135,0.000246,-0.002513,-0.004505,-0.000412,-0.000546,0.002433,0.000385,0.000216,0.000434,0.001652,0.002135,-0.001364,-0.000611,0.002142,-0.00217,-0.002416,-0.001115,0.000701,0.001362,0.001934,-0.00198,1
-0.002243,-0.00047,-0.002791,0.001375,0.001093,0.000887,-0.000831,8e-06,-0.000285,0.000177,-0.002626,-0.004046,5e-06,-0.000427,0.002569,0.000196,9e-06,0.000347,0.001609,0.002334,-0.001337,-0.000654,0.002234,-0.002094,-0.002218,-0.001242,0.000651,0.001214,0.001779,-0.002205,1
-0.002035,-0.000793,-0.000875,-0.002046,-0.000195,0.002264,0.001411,-0.00194,-0.0004,-0.000202,-0.002584,-0.005102,-0.001394,-0.000427,0.002109,-6e-06,7.5e-05,0.000141,0.001682,0.001772,-0.00122,-0.000767,0.002155,-0.001908,-0.002194,-0.000975,0.000549,0.001417,0.002246,-0.001285,0
-0.002609,-0.000193,-0.000795,-0.002149,-0.001072,0.001247,0.000882,-0.002393,-0.000604,-7e-06,-0.003383,-0.004444,-0.000309,-0.000502,0.00231,0.000332,-0.000444,1.7e-05,0.002227,0.001877,-0.001289,-0.000792,0.002569,-0.002265,-0.002016,-0.001186,0.000259,0.001296,0.001832,-0.00192,0
-0.001986,-0.00065,-0.000893,-0.002037,0.000558,0.001615,0.001561,-0.002563,-0.000219,-0.000192,-0.00243,-0.004656,-0.000706,-0.000495,0.002401,0.000204,0.00011,0.000644,0.001582,0.001977,-0.001181,-0.00068,0.002247,-0.00257,-0.002368,-0.001217,0.000876,0.001418,0.001906,-0.001667,1
-0.002649,-0.001005,-0.004188,0.001869,0.001152,0.000368,-0.001144,-0.000522,-4.4e-05,-0.000329,-0.00549,-0.006262,-0.000876,-0.000696,0.004235,-0.000432,0.000288,0.000629,0.003167,0.002582,-0.002203,-0.000882,0.003186,-0.004859,-0.004804,-0.000799,0.00213,0.001781,0.002381,-0.003876,1
-0.002882,-0.000595,-0.001967,-0.001856,8.4e-05,0.001414,0.000983,-0.002464,-0.001212,-0.000176,-0.002048,-0.003971,-0.001058,-0.000734,0.002559,-0.000372,0.000153,0.000353,0.002079,0.002432,-0.000784,-0.001003,0.001921,-0.00171,-0.002103,-0.000979,0.000924,0.00121,0.001986,-0.001644,0
-0.00452,0.000575,-0.004963,0.002135,-0.000773,0.000171,-0.002016,0.000521,-0.001619,0.000108,-0.006635,-0.005103,-0.000849,-0.000328,0.003728,-0.000274,-0.000921,0.000405,0.003741,0.002202,-0.002075,-0.000956,0.00309,-0.004274,-0.004386,-0.001028,0.000912,0.00164,0.002291,-0.004581,0
-0.002573,-0.000402,-0.001855,-0.002321,-0.000775,0.000195,0.001485,-0.002351,-0.000985,-0.000483,-0.002185,-0.004091,-0.000807,-0.00064,0.002663,-0.000238,9.4e-05,0.000858,0.002306,0.002052,-0.001292,-0.000778,0.001891,-0.001974,-0.00208,-0.000792,0.000802,0.001006,0.002345,-0.001744,1
-0.001674,-0.000553,-0.000829,-0.002001,-9e-06,0.002056,0.001229,-0.001886,-0.000974,-0.000469,-0.002388,-0.00514,-0.000789,-0.000501,0.00211,-0.000339,0.000484,0.000367,0.002005,0.002601,-0.001087,-0.00084,0.00237,-0.002027,-0.002216,-0.000885,0.00045,0.001235,0.002069,-0.001453,0
-0.001804,-0.000574,-0.002549,0.000636,7e-06,0.000602,-0.00103,-0.000196,-0.000569,-0.00015,-0.002719,-0.005083,-0.001386,-0.000582,0.002183,-9.1e-05,0.00032,0.000286,0.001849,0.002237,-0.001282,-0.000841,0.002029,-0.001915,-0.002174,-0.000825,0.000452,0.001264,0.002066,-0.001389,1
-0.001692,-0.000366,-0.000832,-0.00217,0.000228,0.002138,0.001059,-0.00226,-0.000883,-0.000504,-0.002432,-0.005098,-0.000873,-0.000525,0.002067,-0.000389,0.000411,0.000513,0.002121,0.002387,-0.001313,-0.000707,0.002307,-0.002176,-0.002233,-0.00083,0.000513,0.001334,0.001972,-0.001602,1
-0.004324,0.000911,-0.004817,0.001493,-0.000222,0.001094,-0.001848,0.000412,-0.00204,-0.000254,-0.006089,-0.005654,-0.002373,-9e-06,0.003436,-8e-06,-0.000574,0.000816,0.004087,0.002171,-0.00204,-0.001373,0.002291,-0.004741,-0.004329,-0.000882,0.00102,0.00239,0.002156,-0.004137,0
-0.002294,0.000346,-0.001722,-0.001936,-0.000627,0.002822,0.000244,-0.002506,-0.001649,-0.000166,-0.001998,-0.003661,-0.001495,-0.000302,0.002032,-2.6e-05,-1.4e-05,0.000675,0.001936,0.002196,-0.001281,-0.000676,0.001924,-0.002381,-0.002303,-0.001189,0.000278,0.001337,0.001539,-0.002103,1
-0.002983,-0.000406,-0.001319,-0.002542,-0.001024,0.001284,0.000776,-0.00248,-0.000892,2.3e-05,-0.003369,-0.004074,-0.000504,-0.000373,0.00197,0.000429,-0.00024,0.000138,0.002244,0.001762,-0.001138,-0.000834,0.002346,-0.002241,-0.002168,-0.001155,0.000206,0.001236,0.001765,-0.002253,0
-0.00234,-0.001263,-0.001314,-0.00138,0.001,0.002591,0.000836,-0.002734,-0.000276,3.3e-05,-0.002586,-0.003935,-0.000244,-0.000388,0.002579,0.000314,-8e-05,-8.3e-05,0.001664,0.002034,-0.00127,-0.000653,0.002445,-0.001994,-0.002349,-0.00111,0.00061,0.001278,0.001697,-0.002081,0
-0.002031,-0.000829,-0.002874,0.001338,0.000318,-0.000225,-0.000371,-0.000354,-0.000127,-0.000161,-0.002762,-0.00481,-0.000554,-0.000506,0.002489,0.000195,0.000166,0.000585,0.0016,0.002322,-0.001208,-0.000515,0.002125,-0.002403,-0.002414,-0.00124,0.000549,0.001263,0.001923,-0.001856,1
-0.002552,0.000406,-0.002887,0.00094,-0.000535,0.000329,-0.001165,0.000271,-0.001202,-0.000195,-0.003183,-0.003951,-0.000901,-0.00038,0.001897,0.000282,-0.000299,0.000338,0.002263,0.0021,-0.001207,-0.000736,0.002014,-0.002707,-0.002288,-0.001191,1.3e-05,0.001093,0.001568,-0.002339,1
-0.002786,-0.000378,-0.000782,-0.001731,0.000868,0.002408,0.001198,-0.002354,-0.000217,0.00024,-0.002591,-0.004067,0.000175,-0.00025,0.002647,0.000156,-0.000538,0.000198,0.00169,0.002038,-0.001291,-0.000985,0.00242,-0.002095,-0.00216,-0.001369,0.000671,0.001145,0.001896,-0.001963,0
-0.002657,0.00025,-0.004448,0.00253,-0.000432,0.000158,-0.001189,0.000909,-0.001042,-0.000702,-0.006448,-0.006157,-0.00049,-0.001082,0.004428,-0.000832,-0.000436,-0.00032,0.003702,0.002318,-0.001958,-0.001641,0.003472,-0.00377,-0.004232,-0.001112,0.000999,0.002369,0.002726,-0.003949,0
-0.002175,-0.000629,-0.002747,0.00074,-0.000451,0.000472,-0.001038,-2.3e-05,-0.000907,-0.000337,-0.002663,-0.004142,-0.000574,-0.000935,0.002171,0.000492,0.000128,-9.6e-05,0.00247,0.002189,-0.001162,-0.000748,0.002416,-0.002231,-0.002077,-0.000917,0.000145,0.001356,0.00159,-0.001813,0
-0.002663,-4.2e-05,-0.004789,0.00103,-0.001227,0.000192,-0.001849,-0.000363,0.000921,-0.000634,-0.005978,-0.006874,-0.002135,-0.000406,0.004155,-0.000836,0.000844,-0.000222,0.003779,0.002445,-0.001422,-0.001658,0.002851,-0.004377,-0.004395,-0.001011,0.001723,0.002045,0.002944,-0.00361,0
-0.002426,-0.000519,-0.001597,-0.00152,0.00025,0.001357,0.001623,-0.002508,-0.00041,-2.9e-05,-0.002735,-0.004579,-0.00074,-0.00062,0.002415,6.6e-05,0.000376,0.000646,0.001526,0.001987,-0.001364,-0.000533,0.001876,-0.002405,-0.002257,-0.001246,0.00057,0.001377,0.001969,-0.001721,1
-0.001834,-0.000642,-0.001502,-0.00195,3.2e-05,0.00204,0.001173,-0.001768,-0.000467,-0.000543,-0.002577,-0.004598,-0.001023,-0.000247,0.002608,-0.000299,0.000171,0.000515,0.001533,0.002352,-0.001102,-0.000423,0.002223,-0.002076,-0.001548,-0.00125,0.00059,0.001376,0.001947,-0.001669,0
