credit_score,country,gender,age,tenure,balance,products_number,credit_card,active_member,estimated_salary,__target__
692,1.0,0.0,43,2,69014.49,2,0.0,0.0,164621.43,0
521,0.0,1.0,38,5,110641.18,1,0.0,1.0,136507.69,1
759,2.0,0.0,35,7,147936.42,1,1.0,1.0,106785.7,0
715,1.0,1.0,42,2,88120.97,2,1.0,1.0,21333.22,0
711,0.0,0.0,39,3,152462.79,1,1.0,0.0,90305.97,0
554,0.0,0.0,44,6,92436.86,1,1.0,0.0,126033.9,0
651,1.0,1.0,35,8,110067.71,1,1.0,0.0,127678.95,1
495,2.0,0.0,45,3,89158.94,3,1.0,0.0,135169.76,1
805,0.0,1.0,39,2,0.0,1,0.0,0.0,166650.32,0
829,2.0,0.0,26,8,101440.36,2,1.0,1.0,19324.5,0
583,0.0,0.0,40,4,55776.39,2,1.0,0.0,26920.43,0
686,0.0,0.0,43,0,0.0,1,1.0,1.0,170072.9,0
505,1.0,1.0,40,6,47869.69,2,1.0,1.0,155061.97,0
528,0.0,1.0,30,2,128262.72,2,1.0,0.0,50771.16,0
677,2.0,0.0,34,4,0.0,2,1.0,1.0,6175.53,0
660,1.0,0.0,37,2,133200.09,1,0.0,0.0,71433.88,0
785,1.0,0.0,36,2,99806.85,1,0.0,1.0,36976.52,0
607,2.0,0.0,27,5,100912.19,1,0.0,0.0,7631.27,0
603,2.0,0.0,39,5,162390.52,2,1.0,0.0,54702.66,0
480,0.0,0.0,28,6,0.0,2,0.0,0.0,48131.92,0
656,1.0,1.0,68,7,153545.11,1,1.0,1.0,186574.68,0
631,1.0,1.0,48,1,106396.48,1,1.0,1.0,150661.42,1
604,2.0,0.0,35,7,147285.52,1,1.0,1.0,57807.05,0
622,0.0,1.0,32,5,179305.09,1,1.0,1.0,149043.78,0
601,1.0,0.0,42,9,133636.16,1,0.0,1.0,103315.74,0
674,0.0,1.0,46,2,174701.05,1,1.0,0.0,90189.72,1
531,0.0,1.0,31,3,0.0,1,1.0,1.0,42589.33,0
632,0.0,1.0,32,6,111589.33,1,1.0,1.0,170382.99,0
707,0.0,0.0,46,7,127476.73,2,1.0,1.0,146011.55,0
723,0.0,1.0,25,3,0.0,2,1.0,1.0,134509.47,0
795,1.0,1.0,38,7,125903.22,2,1.0,1.0,127068.92,0
585,2.0,1.0,45,0,0.0,2,0.0,0.0,189683.7,0
627,1.0,0.0,30,6,57809.32,1,1.0,0.0,188258.49,0
546,0.0,0.0,30,5,0.0,2,0.0,1.0,198543.09,0
571,1.0,0.0,66,9,111577.01,1,0.0,1.0,189271.9,0
684,1.0,1.0,42,1,117691.0,1,1.0,1.0,23135.65,1
636,0.0,0.0,45,7,139859.23,1,1.0,1.0,108402.54,0
562,0.0,1.0,48,3,92347.96,1,1.0,1.0,163116.75,0
482,1.0,0.0,48,2,69329.47,1,0.0,0.0,102640.52,1
786,0.0,0.0,62,8,0.0,1,1.0,1.0,165702.64,0
747,0.0,0.0,45,1,114959.12,1,1.0,0.0,189362.39,1
688,2.0,1.0,32,6,124179.3,1,1.0,1.0,138759.15,0
699,0.0,1.0,29,3,125689.29,1,1.0,1.0,151623.71,0
528,0.0,0.0,32,4,85615.66,2,1.0,0.0,156192.43,0
542,0.0,0.0,42,1,0.0,1,1.0,1.0,178256.58,1
773,0.0,0.0,50,4,0.0,2,1.0,0.0,129372.94,0
675,2.0,1.0,33,3,0.0,2,1.0,0.0,45348.08,0
652,0.0,1.0,51,7,0.0,2,0.0,1.0,43496.36,0
638,1.0,1.0,27,4,135096.05,1,1.0,1.0,186523.72,1
607,1.0,1.0,32,9,144272.07,2,1.0,0.0,176580.63,0
594,1.0,0.0,23,4,104753.84,2,1.0,0.0,56756.52,1
755,0.0,1.0,42,2,119919.12,1,1.0,0.0,156868.21,0
555,0.0,1.0,40,10,139930.18,1,1.0,1.0,105720.09,0
710,1.0,1.0,43,2,140080.32,3,1.0,1.0,157908.19,1
823,1.0,0.0,53,4,124954.94,1,0.0,1.0,131259.6,1
694,0.0,1.0,42,3,156864.2,2,0.0,0.0,88890.75,0
584,0.0,1.0,47,5,0.0,2,1.0,0.0,89286.29,0
740,0.0,1.0,33,1,129574.98,1,1.0,1.0,123300.38,0
511,0.0,1.0,33,7,0.0,2,0.0,1.0,158313.87,0
481,0.0,1.0,44,9,175303.06,1,1.0,0.0,65500.53,1
488,0.0,0.0,36,0,0.0,2,1.0,0.0,136675.22,0
718,0.0,1.0,33,7,102874.28,1,0.0,0.0,117841.06,0
523,1.0,1.0,41,0,119276.31,1,0.0,0.0,122284.38,1
698,0.0,1.0,38,2,130015.24,1,1.0,1.0,41595.3,0
555,1.0,0.0,51,9,138214.5,1,1.0,0.0,198715.27,1
750,0.0,0.0,26,1,151510.17,2,1.0,1.0,19921.72,0
779,1.0,1.0,33,1,158456.76,1,1.0,1.0,197000.92,1
529,0.0,1.0,39,6,102025.08,2,1.0,0.0,12351.01,0
618,2.0,1.0,33,4,0.0,2,1.0,1.0,77550.18,0
790,1.0,0.0,34,2,164011.48,1,1.0,0.0,199420.41,0
710,2.0,0.0,27,2,135277.96,1,1.0,0.0,142200.15,0
714,1.0,0.0,49,4,93059.34,1,1.0,0.0,7571.51,1
850,2.0,0.0,54,4,120952.74,1,1.0,0.0,66963.15,0
679,0.0,1.0,41,8,147726.98,3,1.0,0.0,172749.4,1
794,0.0,1.0,56,9,96951.21,1,1.0,1.0,71776.76,0
746,1.0,0.0,33,2,107868.14,2,1.0,1.0,146192.4,0
470,0.0,1.0,35,1,96473.59,1,0.0,0.0,5962.3,0
670,2.0,1.0,35,2,124268.64,2,0.0,1.0,84321.03,0
669,0.0,1.0,37,1,125529.55,1,1.0,1.0,162260.93,0
628,0.0,0.0,31,6,175443.75,1,1.0,0.0,113167.17,1
721,2.0,1.0,33,5,0.0,2,0.0,1.0,117626.9,0
597,1.0,0.0,43,7,119127.46,2,1.0,0.0,55809.92,0
500,2.0,0.0,47,8,128486.11,1,1.0,0.0,179227.12,0
494,0.0,0.0,33,1,137853.0,1,0.0,1.0,90273.85,0
676,0.0,1.0,29,4,140720.93,1,1.0,0.0,36221.18,0
524,1.0,0.0,31,10,67238.98,2,1.0,1.0,161811.23,0
669,0.0,1.0,57,5,0.0,2,1.0,1.0,56875.76,0
598,0.0,1.0,28,8,129991.76,2,0.0,1.0,46041.08,0
577,2.0,0.0,33,6,0.0,2,1.0,0.0,57975.8,0
773,2.0,1.0,41,9,102827.44,1,0.0,1.0,64595.25,0
602,0.0,1.0,31,7,155271.83,1,1.0,1.0,179446.31,0
656,0.0,1.0,39,10,0.0,2,1.0,1.0,98894.64,0
725,0.0,0.0,25,9,0.0,2,1.0,1.0,168607.74,0
699,1.0,1.0,34,4,185173.81,2,1.0,0.0,120834.48,0
584,1.0,0.0,31,6,152622.34,1,1.0,0.0,99298.8,0
628,1.0,0.0,51,9,155903.82,2,1.0,1.0,71159.84,0
520,2.0,0.0,42,6,0.0,2,1.0,1.0,34410.55,0
716,1.0,0.0,30,2,205770.78,2,0.0,0.0,65464.66,0
765,0.0,1.0,43,9,157960.49,2,0.0,0.0,136602.8,0
589,0.0,0.0,39,7,0.0,2,0.0,0.0,95985.64,0
594,0.0,1.0,57,6,0.0,1,1.0,0.0,19376.56,1
521,0.0,1.0,37,2,0.0,2,1.0,1.0,86372.24,0
663,2.0,1.0,64,6,0.0,2,0.0,1.0,15876.52,0
636,0.0,0.0,24,9,0.0,2,0.0,1.0,38830.72,0
597,2.0,1.0,26,5,0.0,2,0.0,1.0,95159.13,0
682,1.0,0.0,29,6,101012.77,1,0.0,0.0,32589.89,1
691,0.0,0.0,33,6,0.0,2,1.0,0.0,164074.89,0
680,1.0,1.0,34,6,146422.22,1,1.0,0.0,67142.97,1
492,0.0,0.0,48,6,127253.98,1,1.0,1.0,92144.09,1
684,2.0,0.0,36,5,174180.39,1,1.0,0.0,119830.08,0
533,0.0,1.0,36,7,85311.7,1,0.0,1.0,156731.91,0
540,2.0,1.0,28,8,0.0,2,0.0,0.0,197588.32,0
783,1.0,0.0,42,2,139707.28,1,1.0,0.0,2150.22,0
411,0.0,1.0,29,0,59697.17,2,1.0,1.0,53483.21,0
526,0.0,1.0,30,9,0.0,2,0.0,0.0,100995.68,0
576,1.0,1.0,44,9,119530.52,1,1.0,0.0,119056.68,1
497,0.0,1.0,47,6,0.0,1,1.0,1.0,90055.08,0
744,0.0,1.0,31,9,120718.28,1,1.0,1.0,58961.49,0
582,1.0,1.0,32,1,88938.62,1,1.0,1.0,10054.53,0
452,0.0,0.0,35,8,0.0,2,1.0,1.0,149614.81,0
485,0.0,0.0,39,2,75339.64,1,1.0,1.0,70665.16,0
850,0.0,0.0,46,2,157866.77,1,1.0,1.0,18986.12,0
649,2.0,1.0,36,8,0.0,2,1.0,0.0,161668.15,0
661,2.0,0.0,28,7,95357.49,1,0.0,0.0,102297.15,0
725,0.0,1.0,26,6,98684.15,1,0.0,0.0,133720.57,0
624,0.0,0.0,71,4,170252.05,3,1.0,1.0,73679.59,1
668,0.0,1.0,46,0,0.0,2,0.0,0.0,29388.02,0
706,2.0,1.0,28,3,0.0,2,0.0,1.0,181543.67,0
553,0.0,1.0,33,4,118082.89,1,0.0,0.0,94440.45,0
571,1.0,1.0,25,6,82506.72,2,1.0,0.0,167705.07,0
477,1.0,0.0,58,8,145984.92,1,1.0,1.0,24564.7,0
696,0.0,0.0,41,8,0.0,2,0.0,0.0,28276.83,0
481,0.0,0.0,39,6,0.0,1,1.0,1.0,24677.54,0
639,0.0,1.0,38,3,0.0,1,1.0,0.0,42862.82,0
810,1.0,1.0,35,3,96814.46,2,1.0,1.0,120511.03,0
516,0.0,0.0,42,8,56228.25,1,1.0,0.0,46857.52,0
662,1.0,1.0,59,2,104568.41,1,1.0,0.0,8059.44,1
690,1.0,1.0,43,2,166522.78,1,0.0,0.0,119644.59,1
500,2.0,1.0,38,7,0.0,2,0.0,0.0,192013.23,0
656,2.0,0.0,40,10,167878.5,1,0.0,1.0,151887.16,0
697,0.0,1.0,35,5,133087.76,1,1.0,0.0,64771.61,0
718,0.0,1.0,37,8,0.0,2,1.0,1.0,142.81,0
501,0.0,0.0,41,3,144260.5,1,1.0,0.0,172114.67,0
844,0.0,0.0,28,4,0.0,2,0.0,1.0,123318.37,0
710,2.0,0.0,75,5,0.0,2,1.0,1.0,9376.89,0
748,0.0,1.0,44,4,112610.77,1,0.0,1.0,2048.55,0
494,0.0,1.0,69,9,93320.8,1,1.0,1.0,24489.44,0
757,0.0,1.0,47,3,130747.1,1,1.0,0.0,143829.54,0
497,1.0,0.0,32,8,111537.23,4,1.0,1.0,9497.99,1
744,1.0,1.0,38,6,73023.17,2,1.0,0.0,78770.86,0
591,0.0,1.0,28,5,0.0,2,1.0,1.0,48606.92,0
638,0.0,0.0,48,10,138333.03,1,1.0,1.0,47679.14,0
581,2.0,1.0,46,2,79385.21,2,0.0,0.0,188492.82,0
604,0.0,1.0,40,1,84315.02,1,0.0,0.0,36209.1,0
571,0.0,0.0,53,2,0.0,2,1.0,0.0,28045.77,0
850,1.0,1.0,38,3,54901.01,1,1.0,1.0,140075.55,0
596,2.0,0.0,54,0,78126.28,1,1.0,1.0,153482.91,1
528,0.0,1.0,31,9,120962.59,1,1.0,0.0,5419.31,0
542,0.0,1.0,39,3,135096.77,1,1.0,1.0,14353.43,1
683,1.0,0.0,39,2,47685.47,2,1.0,1.0,86019.48,0
698,0.0,1.0,48,4,101238.24,2,0.0,1.0,177815.87,1
655,0.0,0.0,34,3,0.0,2,1.0,0.0,159638.77,0
729,1.0,1.0,30,6,63669.42,1,1.0,0.0,145111.37,0
646,0.0,1.0,36,6,124445.52,1,1.0,0.0,88481.32,0
850,0.0,1.0,40,8,102800.65,1,1.0,0.0,60811.56,0
665,1.0,0.0,43,2,116322.27,4,1.0,0.0,35640.12,1
601,1.0,0.0,49,4,96252.98,2,1.0,0.0,104263.82,0
694,0.0,1.0,38,1,0.0,2,0.0,1.0,156858.2,0
732,0.0,0.0,36,9,0.0,1,0.0,0.0,3749.0,1
679,0.0,1.0,30,9,0.0,2,1.0,0.0,157871.55,0
487,2.0,0.0,40,6,136093.74,1,0.0,1.0,193408.43,0
792,1.0,0.0,50,4,146710.76,1,1.0,0.0,16528.4,1
472,0.0,1.0,31,4,58662.92,2,0.0,1.0,73322.0,0
706,1.0,0.0,46,7,111288.18,1,1.0,1.0,149170.25,1
708,2.0,0.0,35,8,122570.69,1,0.0,0.0,199005.88,0
477,1.0,0.0,39,4,182491.57,1,1.0,0.0,185830.72,0
512,0.0,1.0,24,6,0.0,2,1.0,0.0,37654.31,0
737,1.0,1.0,50,4,127552.85,2,1.0,0.0,4225.11,0
572,1.0,0.0,54,9,97382.53,1,1.0,1.0,195771.95,0
747,1.0,1.0,36,8,102603.3,2,1.0,1.0,180693.61,0
691,0.0,0.0,40,0,115465.98,1,1.0,1.0,60622.61,0
692,0.0,1.0,66,4,159732.02,1,1.0,1.0,118188.15,0
850,1.0,1.0,32,9,141827.33,2,1.0,1.0,149458.73,0
531,2.0,1.0,27,8,132576.25,1,0.0,0.0,7222.92,0
487,1.0,0.0,61,5,110368.03,1,0.0,0.0,11384.45,1
709,0.0,1.0,42,9,118546.71,1,0.0,1.0,77142.85,0
745,0.0,0.0,36,9,0.0,1,1.0,0.0,19605.18,1
492,0.0,1.0,39,7,0.0,2,0.0,1.0,71323.23,0
719,0.0,0.0,22,7,114415.84,1,1.0,1.0,177497.4,0
690,0.0,0.0,42,3,92578.14,2,0.0,0.0,70810.6,0
558,1.0,1.0,32,4,108235.91,1,1.0,1.0,143783.28,0
651,1.0,0.0,34,10,148962.46,1,1.0,0.0,66389.43,1
592,1.0,1.0,36,10,123187.51,1,0.0,1.0,146111.35,0
608,1.0,1.0,34,3,106288.54,1,1.0,1.0,36639.25,0
430,1.0,1.0,36,1,138992.48,2,0.0,0.0,122373.42,0
665,0.0,0.0,34,1,96645.54,2,0.0,0.0,171413.66,0
745,0.0,0.0,46,7,0.0,2,1.0,1.0,67769.94,0
528,1.0,0.0,46,9,135555.66,1,1.0,0.0,133146.03,1
528,0.0,1.0,37,6,103772.45,1,1.0,0.0,197111.99,0
491,0.0,1.0,33,5,83134.3,1,1.0,0.0,187946.55,0
674,2.0,1.0,32,2,0.0,2,1.0,0.0,140579.17,0
674,1.0,1.0,43,8,85957.88,2,1.0,0.0,8757.39,0
745,0.0,0.0,32,2,0.0,4,0.0,1.0,179705.13,1
777,0.0,0.0,28,2,134571.5,1,0.0,1.0,118313.38,0
524,0.0,0.0,36,10,0.0,2,1.0,0.0,109614.57,0
657,0.0,0.0,28,7,0.0,2,0.0,1.0,5177.62,0
850,0.0,1.0,49,6,128663.9,1,1.0,0.0,65769.3,1
676,0.0,1.0,38,1,0.0,2,0.0,1.0,35644.79,0
828,0.0,1.0,31,9,0.0,1,0.0,1.0,164257.37,0
734,2.0,0.0,39,6,92126.26,2,0.0,0.0,112973.34,0
678,2.0,1.0,38,3,124483.53,1,1.0,0.0,126253.31,0
651,0.0,1.0,34,4,91562.99,1,1.0,1.0,123954.15,0
710,0.0,1.0,30,6,0.0,2,1.0,1.0,8991.17,0
661,1.0,0.0,64,8,128751.65,2,1.0,0.0,189398.18,1
539,0.0,0.0,47,2,127286.04,2,1.0,1.0,166929.43,1
646,0.0,0.0,46,8,0.0,2,1.0,0.0,133059.15,0
518,1.0,0.0,41,5,110624.99,1,1.0,0.0,89327.67,0
593,1.0,0.0,29,5,101713.84,3,1.0,0.0,134594.99,0
559,0.0,1.0,33,9,111060.05,2,1.0,0.0,110371.84,0
817,1.0,0.0,27,7,129810.6,1,1.0,1.0,59259.44,0
592,0.0,1.0,36,1,126477.42,1,0.0,0.0,179718.17,0
632,0.0,0.0,28,5,118890.81,1,0.0,1.0,145157.97,0
694,1.0,1.0,31,6,109052.59,2,1.0,1.0,19448.93,1
700,0.0,0.0,30,9,0.0,1,1.0,1.0,174971.64,0
629,0.0,0.0,33,6,0.0,2,1.0,1.0,59129.72,0
427,1.0,1.0,42,1,75681.52,1,1.0,1.0,57098.0,0
801,2.0,0.0,46,6,0.0,2,1.0,1.0,170008.74,0
654,0.0,1.0,29,1,0.0,1,1.0,0.0,180345.44,0
596,1.0,1.0,40,5,62389.03,3,1.0,0.0,148623.43,1
578,0.0,0.0,40,7,0.0,2,0.0,0.0,102233.73,0
591,2.0,1.0,36,7,135216.8,1,1.0,1.0,122022.89,0
730,1.0,0.0,37,5,124053.03,1,1.0,0.0,118591.67,0
811,0.0,1.0,31,7,117799.28,1,1.0,1.0,182372.35,0
749,0.0,1.0,41,5,57568.94,1,1.0,1.0,61128.29,0
646,0.0,0.0,46,4,0.0,3,1.0,0.0,93251.42,1
671,1.0,0.0,48,9,116711.06,2,0.0,0.0,76373.38,0
607,1.0,1.0,29,7,102609.0,1,1.0,0.0,163257.44,0
689,2.0,0.0,28,5,95328.6,1,1.0,0.0,6129.61,1
661,2.0,1.0,38,7,143006.7,1,1.0,1.0,15650.89,0
646,1.0,0.0,30,10,100548.67,2,0.0,0.0,136983.77,0
565,2.0,1.0,38,0,122447.76,1,0.0,0.0,67339.34,0
774,0.0,1.0,53,4,113709.28,1,1.0,1.0,153887.93,1
785,0.0,0.0,40,3,0.0,2,1.0,1.0,96832.82,0
703,0.0,0.0,40,7,0.0,2,0.0,1.0,122518.5,0
490,0.0,1.0,34,5,122952.9,2,0.0,0.0,154360.97,0
786,1.0,0.0,33,0,122325.58,1,0.0,0.0,34712.34,1
665,0.0,1.0,33,2,101286.11,1,1.0,1.0,159840.51,0
592,2.0,1.0,45,8,84692.5,1,0.0,1.0,67214.02,0
637,1.0,0.0,39,3,109698.41,1,1.0,1.0,88391.29,1
811,0.0,1.0,40,1,101514.89,1,1.0,1.0,121765.0,0
488,1.0,0.0,28,7,139246.22,2,1.0,0.0,106799.49,0
449,0.0,1.0,52,6,0.0,2,0.0,1.0,123622.0,0
723,1.0,0.0,47,10,90450.0,2,0.0,0.0,103379.31,1
606,1.0,0.0,41,4,132670.53,1,1.0,0.0,156476.36,1
707,0.0,1.0,32,9,0.0,2,0.0,0.0,30807.02,0
573,1.0,1.0,30,8,127406.5,1,1.0,0.0,192950.6,0
676,0.0,1.0,31,3,78990.15,1,1.0,1.0,124777.14,0
605,2.0,1.0,33,5,150092.8,1,0.0,0.0,71862.79,0
568,2.0,0.0,27,1,116320.68,1,0.0,1.0,45563.94,0
729,2.0,0.0,38,10,0.0,2,1.0,0.0,189727.12,0
554,0.0,0.0,35,10,74988.59,2,0.0,1.0,190155.13,0
539,1.0,0.0,34,4,91622.42,1,1.0,1.0,136603.42,0
850,1.0,1.0,36,5,119984.07,1,1.0,0.0,191535.11,1
689,1.0,0.0,40,4,78119.59,4,1.0,0.0,119259.34,1
615,0.0,1.0,41,4,130385.82,1,0.0,1.0,130661.95,0
539,0.0,1.0,39,1,0.0,1,1.0,1.0,28184.7,0
601,2.0,1.0,24,7,0.0,2,0.0,0.0,144660.42,0
678,1.0,1.0,36,3,145747.67,2,0.0,1.0,89566.74,0
850,1.0,0.0,36,0,136980.23,2,1.0,1.0,99019.65,0
517,2.0,1.0,39,3,0.0,2,0.0,1.0,12465.51,0
793,1.0,0.0,34,5,127758.09,1,1.0,0.0,143357.03,0
579,0.0,0.0,33,1,118392.75,1,1.0,1.0,157564.75,0
709,0.0,1.0,39,8,0.0,2,1.0,0.0,56214.09,0
646,1.0,0.0,57,6,90212.0,1,1.0,0.0,13911.27,1
587,1.0,1.0,35,5,121863.61,1,1.0,1.0,23481.69,1
849,0.0,0.0,41,6,0.0,2,1.0,1.0,169203.51,1
660,0.0,1.0,37,2,97324.91,1,1.0,0.0,23291.83,0
627,1.0,0.0,39,5,124586.93,1,1.0,0.0,93132.61,1
547,0.0,0.0,51,1,0.0,2,1.0,1.0,56908.41,0
554,0.0,1.0,39,2,129709.62,1,1.0,0.0,173197.12,0
678,0.0,1.0,54,7,128914.97,1,0.0,0.0,191746.23,1
605,1.0,1.0,28,10,113690.83,1,1.0,0.0,33114.24,0
757,0.0,0.0,44,4,123322.15,1,1.0,0.0,137136.29,0
625,0.0,1.0,34,6,0.0,2,0.0,0.0,197283.2,0
841,1.0,0.0,33,7,154969.79,2,1.0,1.0,99505.75,0
557,2.0,0.0,40,4,0.0,2,0.0,1.0,105433.53,0
520,0.0,1.0,33,4,156297.58,2,1.0,1.0,166102.61,0
688,0.0,1.0,20,8,137624.4,2,1.0,1.0,197582.79,0
833,1.0,1.0,29,1,96462.25,2,0.0,1.0,48986.18,0
730,1.0,1.0,38,0,38848.19,2,0.0,0.0,94003.11,0
704,0.0,1.0,23,6,166594.78,1,1.0,1.0,155823.2,0
643,2.0,1.0,34,6,0.0,2,1.0,1.0,116046.22,0
540,0.0,1.0,48,2,109349.29,1,1.0,0.0,88703.04,1
626,0.0,1.0,44,10,0.0,2,0.0,0.0,164287.86,0
640,1.0,0.0,30,5,32197.64,1,0.0,1.0,141446.01,0
705,0.0,0.0,35,3,0.0,2,0.0,1.0,66331.01,0
584,1.0,0.0,62,9,137727.34,2,0.0,1.0,121102.9,0
577,0.0,1.0,41,6,0.0,1,1.0,1.0,167621.18,0
566,1.0,0.0,40,2,97001.36,2,1.0,0.0,154486.01,0
646,1.0,0.0,35,1,121952.75,2,1.0,1.0,142839.82,0
661,0.0,0.0,34,0,0.0,2,1.0,0.0,185555.63,0
658,0.0,1.0,42,8,102870.93,1,0.0,1.0,103764.55,1
521,2.0,0.0,22,10,0.0,1,1.0,1.0,101311.95,0
616,0.0,0.0,31,8,0.0,1,0.0,1.0,76456.17,0
838,2.0,0.0,67,4,103267.8,1,1.0,1.0,78310.04,0
709,2.0,0.0,45,2,0.0,2,0.0,1.0,162922.65,0
823,0.0,1.0,38,1,0.0,2,1.0,0.0,156603.7,0
727,2.0,0.0,41,10,0.0,2,0.0,1.0,47468.56,0
682,2.0,0.0,50,10,128039.01,1,1.0,1.0,102260.16,0
527,1.0,0.0,41,10,136733.24,1,1.0,1.0,57589.29,0
605,0.0,1.0,39,6,111169.91,1,0.0,0.0,9641.4,0
649,2.0,0.0,38,8,0.0,1,1.0,0.0,103760.53,0
679,0.0,1.0,36,6,147733.64,1,0.0,1.0,172501.38,0
582,1.0,1.0,26,6,114450.32,1,1.0,1.0,14081.64,0
530,2.0,0.0,36,7,0.0,2,1.0,0.0,80619.09,0
775,1.0,1.0,33,3,83501.66,2,1.0,0.0,128841.31,0
603,2.0,0.0,56,5,90778.76,2,1.0,0.0,162223.67,1
495,0.0,0.0,40,1,140197.71,2,1.0,0.0,150720.39,0
668,0.0,0.0,37,7,128645.67,1,1.0,0.0,92149.64,0
737,1.0,0.0,45,2,99169.67,2,1.0,1.0,78650.95,0
659,0.0,1.0,35,6,0.0,2,1.0,1.0,58879.11,0
530,0.0,0.0,48,0,0.0,1,1.0,0.0,85081.09,0
634,0.0,1.0,45,9,0.0,2,0.0,0.0,17622.82,0
486,0.0,1.0,63,9,97009.15,1,1.0,1.0,85101.0,0
836,0.0,0.0,29,9,133681.78,1,1.0,1.0,153747.73,0
510,0.0,1.0,63,8,0.0,2,1.0,1.0,115291.86,0
809,0.0,0.0,24,4,0.0,2,1.0,0.0,193518.76,0
596,0.0,1.0,33,2,139451.67,1,0.0,0.0,63142.12,0
717,0.0,1.0,48,7,123764.95,1,1.0,1.0,169952.82,0
737,2.0,0.0,39,7,130051.66,2,0.0,0.0,55356.39,1
543,2.0,1.0,37,3,0.0,2,1.0,1.0,78915.68,0
761,1.0,1.0,36,8,108239.11,2,0.0,0.0,99444.02,0
545,0.0,1.0,23,2,0.0,2,1.0,0.0,189613.12,0
608,1.0,0.0,38,8,103653.51,2,1.0,1.0,137079.86,0
537,2.0,0.0,33,7,136082.0,1,1.0,0.0,62746.54,0
513,2.0,1.0,88,10,0.0,2,1.0,1.0,52952.24,0
664,0.0,0.0,31,7,104158.84,1,1.0,0.0,134169.85,0
499,1.0,0.0,55,4,126817.65,2,1.0,0.0,123269.71,0
703,0.0,1.0,50,8,160139.59,2,1.0,1.0,79314.1,0
706,2.0,0.0,29,1,209490.21,1,1.0,1.0,133267.69,1
598,2.0,0.0,23,6,0.0,2,1.0,0.0,153229.19,0
743,0.0,0.0,39,8,0.0,1,1.0,0.0,94263.44,0
