Marital_status,Application_mode,Application_order,Course,Daytimeevening_attendance,Previous_qualification,Previous_qualification_grade,Nationality,Mothers_qualification,Fathers_qualification,Mothers_occupation,Fathers_occupation,Admission_grade,Displaced,Educational_special_needs,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,International,Curricular_units_1st_sem_credited,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_evaluations,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_1st_sem_without_evaluations,Curricular_units_2nd_sem_credited,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_evaluations,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Curricular_units_2nd_sem_without_evaluations,Unemployment_rate,Inflation_rate,GDP,__target__
4.0,14.0,1,0.0,0.0,13.0,133.1,14.0,10.0,28.0,29.0,17.0,120.0,0.0,0.0,1.0,0.0,1.0,0.0,40,0.0,0,6,13,0,0.0,0,0,6,6,0,0.0,0,15.5,2.8,-4.06,0
4.0,0.0,1,1.0,0.0,15.0,124.0,14.0,8.0,10.0,29.0,35.0,116.0,0.0,0.0,0.0,1.0,1.0,0.0,19,0.0,0,6,8,6,15.5,0,0,6,10,6,14.1,0,16.2,0.3,-0.92,2
4.0,14.0,1,10.0,1.0,8.0,130.0,14.0,10.0,11.0,29.0,42.0,146.2,0.0,0.0,0.0,1.0,0.0,0.0,28,0.0,10,14,16,11,11.272727272727272,0,6,11,16,10,12.0,0,10.8,1.4,1.74,2
4.0,0.0,5,11.0,0.0,15.0,146.0,14.0,9.0,11.0,24.0,35.0,133.8,1.0,0.0,0.0,1.0,0.0,0.0,19,0.0,0,8,9,8,13.2325,1,0,8,9,8,13.2325,1,9.4,-0.8,-3.12,2
4.0,0.0,1,13.0,0.0,15.0,134.0,14.0,24.0,28.0,29.0,8.0,130.9,0.0,0.0,1.0,1.0,0.0,0.0,18,0.0,0,6,10,6,11.857142857142858,0,0,6,9,5,11.0,0,13.9,-0.3,0.79,2
4.0,3.0,1,0.0,0.0,15.0,132.0,14.0,8.0,11.0,29.0,42.0,122.9,0.0,0.0,0.0,0.0,1.0,0.0,20,0.0,0,6,6,6,11.5,0,0,6,9,2,13.0,0,10.8,1.4,1.74,0
4.0,3.0,2,8.0,0.0,15.0,126.0,14.0,9.0,9.0,29.0,16.0,118.7,1.0,0.0,0.0,1.0,0.0,1.0,18,0.0,0,6,6,6,14.166666666666666,0,0,6,6,6,13.666666666666666,0,12.4,0.5,1.79,2
4.0,0.0,5,11.0,0.0,15.0,144.0,14.0,8.0,9.0,24.0,35.0,136.0,1.0,0.0,0.0,1.0,0.0,1.0,19,0.0,0,7,7,6,14.15,0,0,7,7,6,14.15,0,7.6,2.6,0.32,2
4.0,3.0,1,11.0,0.0,15.0,150.0,14.0,10.0,10.0,10.0,1.0,130.8,0.0,0.0,0.0,1.0,1.0,0.0,24,0.0,0,7,8,7,11.975,0,0,8,8,8,13.75,0,13.9,-0.3,0.79,2
4.0,0.0,2,10.0,1.0,15.0,143.0,14.0,17.0,28.0,1.0,1.0,131.5,0.0,0.0,0.0,1.0,1.0,0.0,19,0.0,0,5,11,4,11.0,0,0,5,8,4,12.25,0,15.5,2.8,-4.06,0
3.0,14.0,1,10.0,1.0,8.0,130.0,14.0,16.0,28.0,22.0,3.0,160.0,0.0,0.0,0.0,1.0,0.0,0.0,30,0.0,0,5,5,5,14.6,0,0,5,5,5,15.4,0,12.7,3.7,-1.7,0
4.0,0.0,2,13.0,0.0,15.0,122.0,14.0,10.0,9.0,1.0,35.0,118.2,1.0,0.0,0.0,1.0,0.0,0.0,19,0.0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,16.2,0.3,-0.92,0
4.0,0.0,2,14.0,1.0,15.0,107.0,14.0,9.0,5.0,27.0,39.0,103.5,1.0,0.0,0.0,1.0,0.0,0.0,22,0.0,0,6,7,5,13.4,0,0,6,9,5,12.2,0,7.6,2.6,0.32,2
4.0,16.0,1,1.0,0.0,16.0,150.0,14.0,24.0,10.0,1.0,3.0,150.0,0.0,0.0,0.0,1.0,1.0,1.0,21,0.0,0,6,8,6,13.0,0,0,6,10,6,12.625,0,15.5,2.8,-4.06,2
4.0,8.0,1,1.0,0.0,8.0,140.0,14.0,16.0,10.0,26.0,3.0,140.0,0.0,0.0,0.0,0.0,1.0,0.0,35,0.0,0,6,10,5,15.2,0,1,6,9,1,11.0,0,15.5,2.8,-4.06,0
4.0,0.0,1,2.0,0.0,15.0,133.1,14.0,9.0,9.0,29.0,16.0,128.2,1.0,0.0,0.0,1.0,1.0,1.0,19,0.0,6,12,12,12,13.333333333333334,0,4,11,15,10,12.818181818181818,0,8.9,1.4,3.51,1
4.0,0.0,3,8.0,0.0,15.0,135.0,14.0,8.0,9.0,18.0,16.0,133.3,1.0,0.0,0.0,1.0,0.0,1.0,18,0.0,0,6,6,6,14.833333333333334,0,0,6,6,6,14.166666666666666,0,8.9,1.4,3.51,2
4.0,5.0,1,5.0,0.0,15.0,100.0,14.0,10.0,11.0,29.0,42.0,108.0,1.0,0.0,0.0,1.0,1.0,0.0,34,0.0,7,12,12,7,11.428571428571429,0,4,12,12,7,11.857142857142858,0,7.6,2.6,0.32,1
4.0,14.0,1,5.0,0.0,15.0,139.3,14.0,8.0,9.0,18.0,28.0,117.5,0.0,0.0,0.0,1.0,1.0,0.0,28,0.0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,12.4,0.5,1.79,0
4.0,17.0,1,7.0,0.0,15.0,140.0,14.0,9.0,10.0,16.0,26.0,120.0,0.0,0.0,1.0,0.0,1.0,0.0,31,0.0,0,4,4,0,0.0,0,0,5,5,0,0.0,0,12.7,3.7,-1.7,0
4.0,14.0,1,7.0,0.0,15.0,130.0,14.0,9.0,11.0,29.0,42.0,134.0,0.0,0.0,0.0,1.0,1.0,1.0,24,0.0,0,5,8,5,11.833333333333334,0,0,5,8,4,14.0,0,12.7,3.7,-1.7,1
4.0,8.0,1,10.0,1.0,8.0,130.0,14.0,10.0,11.0,29.0,42.0,130.0,0.0,0.0,0.0,1.0,1.0,0.0,31,0.0,9,9,9,9,14.22222222222222,0,5,5,5,5,12.8,0,12.7,3.7,-1.7,0
4.0,3.0,1,5.0,0.0,15.0,119.0,14.0,10.0,9.0,29.0,16.0,124.6,1.0,0.0,0.0,1.0,0.0,0.0,20,0.0,0,6,6,6,12.5,0,0,6,6,6,12.666666666666666,0,7.6,2.6,0.32,2
4.0,0.0,1,15.0,0.0,15.0,123.0,14.0,24.0,11.0,29.0,42.0,132.1,0.0,0.0,0.0,1.0,0.0,1.0,21,0.0,0,6,9,5,11.0,0,0,6,8,5,12.0,0,15.5,2.8,-4.06,2
4.0,0.0,1,8.0,0.0,15.0,134.0,14.0,24.0,9.0,1.0,28.0,122.8,0.0,0.0,0.0,1.0,1.0,0.0,18,0.0,0,6,6,6,12.0,0,0,6,6,6,12.5,0,12.7,3.7,-1.7,2
4.0,0.0,1,11.0,0.0,15.0,136.0,14.0,9.0,10.0,1.0,35.0,136.0,0.0,0.0,0.0,1.0,0.0,1.0,19,0.0,0,7,7,7,14.014285714285714,0,0,8,8,8,15.35,0,13.9,-0.3,0.79,2
4.0,3.0,4,11.0,0.0,15.0,129.0,14.0,8.0,11.0,29.0,28.0,120.0,1.0,0.0,0.0,1.0,0.0,0.0,19,0.0,0,8,8,7,12.454285714285716,0,0,8,8,7,12.454285714285716,0,10.8,1.4,1.74,2
4.0,5.0,1,5.0,0.0,15.0,133.0,14.0,24.0,19.0,29.0,37.0,128.8,0.0,0.0,0.0,1.0,1.0,0.0,19,0.0,6,12,12,12,13.166666666666666,0,6,12,12,12,13.0,0,10.8,1.4,1.74,2
4.0,15.0,1,10.0,1.0,15.0,140.0,14.0,8.0,9.0,3.0,44.0,135.0,0.0,0.0,1.0,1.0,0.0,0.0,23,0.0,6,11,18,8,12.375,0,3,9,15,5,12.6,0,8.9,1.4,3.51,1
4.0,16.0,1,1.0,0.0,16.0,140.0,14.0,24.0,9.0,29.0,8.0,140.0,0.0,0.0,0.0,1.0,1.0,0.0,21,0.0,0,6,13,4,11.75,0,0,6,15,4,10.5,0,15.5,2.8,-4.06,1
3.0,8.0,1,14.0,1.0,8.0,124.4,14.0,10.0,33.0,27.0,39.0,130.0,0.0,0.0,0.0,1.0,0.0,0.0,30,0.0,8,10,11,9,12.666666666666666,0,3,7,7,7,12.428571428571429,1,7.6,2.6,0.32,2
4.0,0.0,1,15.0,0.0,15.0,133.1,14.0,10.0,11.0,22.0,32.0,97.0,0.0,0.0,0.0,1.0,1.0,0.0,27,0.0,0,6,6,6,10.666666666666666,0,0,6,8,4,11.25,0,10.8,1.4,1.74,1
4.0,3.0,1,16.0,0.0,15.0,128.0,14.0,8.0,11.0,29.0,42.0,116.5,1.0,0.0,0.0,1.0,1.0,0.0,18,0.0,0,5,6,5,12.0,0,0,5,8,5,12.142857142857142,0,10.8,1.4,1.74,2
1.0,14.0,1,9.0,0.0,15.0,133.1,14.0,24.0,10.0,1.0,35.0,114.0,0.0,0.0,0.0,0.0,1.0,0.0,29,0.0,0,5,5,1,13.0,0,0,5,5,0,0.0,0,8.9,1.4,3.51,0
4.0,2.0,3,16.0,0.0,15.0,130.0,14.0,10.0,11.0,29.0,37.0,119.5,1.0,0.0,0.0,1.0,0.0,1.0,18,0.0,0,6,14,6,14.333333333333334,0,0,6,9,6,12.0,0,15.5,2.8,-4.06,2
4.0,0.0,1,15.0,0.0,15.0,133.1,14.0,20.0,10.0,1.0,28.0,98.0,0.0,0.0,0.0,1.0,1.0,0.0,26,0.0,0,6,6,0,0.0,0,0,6,12,0,0.0,0,10.8,1.4,1.74,0
4.0,0.0,1,11.0,0.0,15.0,129.0,14.0,8.0,9.0,18.0,28.0,120.8,1.0,0.0,0.0,1.0,0.0,1.0,20,0.0,0,8,8,7,12.744285714285716,0,0,8,8,7,12.744285714285716,0,10.8,1.4,1.74,2
4.0,3.0,2,11.0,0.0,15.0,122.0,14.0,10.0,11.0,29.0,42.0,131.0,1.0,0.0,0.0,1.0,0.0,0.0,18,0.0,0,7,7,6,12.516666666666666,1,0,7,7,6,12.516666666666666,1,7.6,2.6,0.32,0
0.0,14.0,1,10.0,1.0,15.0,120.0,14.0,10.0,11.0,29.0,42.0,110.0,0.0,0.0,0.0,1.0,0.0,0.0,37,0.0,0,5,14,2,10.0,0,0,5,7,3,11.333333333333334,0,12.7,3.7,-1.7,1
4.0,5.0,1,16.0,0.0,15.0,127.0,14.0,16.0,20.0,26.0,28.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,21,0.0,0,6,11,4,11.75,0,0,6,12,3,13.666666666666666,0,13.9,-0.3,0.79,1
4.0,3.0,1,16.0,0.0,15.0,121.0,14.0,9.0,11.0,22.0,17.0,131.5,0.0,0.0,0.0,1.0,0.0,0.0,21,0.0,0,5,10,0,0.0,1,0,5,9,2,13.5,0,7.6,2.6,0.32,0
4.0,0.0,1,2.0,0.0,15.0,136.0,14.0,16.0,11.0,26.0,16.0,121.7,1.0,0.0,0.0,1.0,0.0,0.0,18,0.0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,9.4,-0.8,-3.12,1
4.0,0.0,1,8.0,0.0,15.0,121.0,14.0,24.0,9.0,1.0,42.0,114.4,0.0,0.0,0.0,1.0,0.0,1.0,18,0.0,0,6,6,6,12.666666666666666,0,0,6,6,6,12.833333333333334,0,11.1,0.6,2.02,2
4.0,0.0,1,7.0,0.0,15.0,150.0,14.0,24.0,28.0,11.0,17.0,143.4,0.0,0.0,0.0,0.0,1.0,1.0,18,0.0,0,5,5,5,14.2,0,0,5,5,5,14.2,0,8.9,1.4,3.51,1
4.0,0.0,1,3.0,0.0,15.0,130.0,14.0,9.0,26.0,29.0,1.0,133.2,1.0,0.0,0.0,1.0,0.0,0.0,19,0.0,0,6,6,6,14.166666666666666,0,0,6,7,6,13.666666666666666,0,7.6,2.6,0.32,2
4.0,0.0,1,6.0,0.0,15.0,160.0,14.0,16.0,20.0,22.0,37.0,149.2,0.0,0.0,0.0,1.0,1.0,0.0,18,0.0,0,5,7,4,14.0,0,0,5,5,5,14.2,0,7.6,2.6,0.32,2
4.0,3.0,6,12.0,0.0,15.0,118.0,14.0,8.0,9.0,18.0,28.0,117.8,1.0,0.0,0.0,1.0,0.0,1.0,19,0.0,0,7,11,6,12.4,0,0,7,8,6,12.8,0,11.1,0.6,2.02,2
4.0,0.0,1,13.0,0.0,15.0,132.0,14.0,24.0,9.0,29.0,35.0,127.1,1.0,0.0,0.0,1.0,0.0,1.0,20,0.0,0,6,9,6,12.333333333333334,0,0,6,6,6,11.833333333333334,0,8.9,1.4,3.51,2
4.0,8.0,1,5.0,0.0,8.0,140.0,14.0,10.0,19.0,29.0,17.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,23,0.0,0,3,3,2,10.0,0,0,6,0,0,0.0,0,10.8,1.4,1.74,0
4.0,0.0,1,5.0,0.0,15.0,116.0,14.0,24.0,26.0,18.0,16.0,110.4,1.0,0.0,0.0,1.0,1.0,0.0,19,0.0,0,6,6,6,11.5,0,0,6,8,6,12.285714285714286,0,8.9,1.4,3.51,2
4.0,17.0,1,11.0,0.0,15.0,100.0,14.0,9.0,10.0,29.0,42.0,100.0,0.0,0.0,1.0,1.0,1.0,0.0,24,0.0,0,8,16,2,10.25,1,0,8,16,2,10.25,1,12.7,3.7,-1.7,0
4.0,14.0,1,10.0,1.0,15.0,100.0,14.0,9.0,11.0,18.0,28.0,120.7,0.0,0.0,0.0,1.0,0.0,0.0,28,0.0,0,5,9,4,11.25,0,0,5,7,4,13.0,0,7.6,2.6,0.32,1
4.0,0.0,1,11.0,0.0,15.0,133.0,14.0,24.0,10.0,29.0,8.0,121.5,1.0,0.0,0.0,1.0,0.0,1.0,20,0.0,0,7,8,6,12.396666666666668,0,0,8,9,7,12.94285714285714,0,11.1,0.6,2.02,2
4.0,3.0,1,13.0,0.0,15.0,120.0,14.0,9.0,10.0,1.0,28.0,114.8,1.0,0.0,1.0,0.0,0.0,0.0,19,0.0,0,6,10,5,11.714285714285714,0,0,6,13,2,10.666666666666666,0,16.2,0.3,-0.92,0
4.0,0.0,4,9.0,0.0,15.0,126.0,14.0,24.0,10.0,1.0,16.0,120.1,1.0,0.0,0.0,1.0,0.0,0.0,19,0.0,0,5,7,5,12.4,0,0,5,5,5,14.6,0,8.9,1.4,3.51,2
3.0,8.0,1,10.0,1.0,8.0,140.0,14.0,28.0,33.0,0.0,0.0,140.0,1.0,0.0,0.0,0.0,1.0,0.0,33,0.0,0,5,5,0,0.0,0,0,5,5,0,0.0,0,7.6,2.6,0.32,0
4.0,3.0,2,3.0,0.0,15.0,114.0,14.0,24.0,10.0,29.0,42.0,111.9,1.0,0.0,0.0,1.0,1.0,1.0,20,0.0,0,6,6,6,12.0,0,0,6,7,6,12.5,0,7.6,2.6,0.32,1
4.0,3.0,1,9.0,0.0,15.0,117.0,14.0,10.0,11.0,29.0,42.0,109.3,0.0,0.0,0.0,0.0,0.0,0.0,22,0.0,0,5,9,2,10.0,1,0,5,11,1,10.0,0,9.4,-0.8,-3.12,0
4.0,13.0,1,11.0,0.0,15.0,140.0,8.0,16.0,20.0,26.0,42.0,140.0,1.0,0.0,1.0,0.0,0.0,0.0,23,1.0,0,8,11,7,11.328571428571427,0,0,8,11,7,11.328571428571427,0,12.7,3.7,-1.7,0
4.0,4.0,4,2.0,0.0,15.0,133.0,14.0,24.0,24.0,29.0,28.0,129.2,1.0,0.0,1.0,0.0,1.0,0.0,20,0.0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,9.4,-0.8,-3.12,0
4.0,0.0,4,8.0,0.0,15.0,132.0,9.0,22.0,26.0,16.0,1.0,129.9,1.0,0.0,0.0,1.0,0.0,0.0,18,1.0,0,6,6,6,12.666666666666666,0,0,6,8,5,14.4,0,7.6,2.6,0.32,2
4.0,3.0,6,9.0,0.0,15.0,133.0,14.0,9.0,9.0,18.0,8.0,123.2,1.0,0.0,0.0,1.0,1.0,0.0,20,0.0,0,5,7,3,12.666666666666666,1,0,5,12,2,12.5,0,9.4,-0.8,-3.12,1
4.0,3.0,1,15.0,0.0,15.0,136.0,14.0,10.0,11.0,24.0,35.0,121.7,1.0,0.0,0.0,1.0,0.0,0.0,20,0.0,0,6,13,3,10.333333333333334,0,0,6,12,3,10.333333333333334,0,10.8,1.4,1.74,1
4.0,0.0,1,2.0,0.0,15.0,163.0,14.0,24.0,28.0,1.0,17.0,149.7,1.0,0.0,0.0,1.0,0.0,1.0,18,0.0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,13.9,-0.3,0.79,0
3.0,14.0,1,14.0,1.0,15.0,120.0,14.0,28.0,33.0,0.0,0.0,101.8,0.0,0.0,0.0,0.0,0.0,0.0,32,0.0,0,5,5,0,0.0,0,0,5,10,0,0.0,0,10.8,1.4,1.74,0
4.0,0.0,1,0.0,0.0,15.0,142.0,14.0,24.0,10.0,1.0,1.0,128.0,0.0,0.0,0.0,1.0,0.0,1.0,18,0.0,0,6,8,6,14.0,0,0,6,7,6,13.285714285714286,0,11.1,0.6,2.02,2
3.0,14.0,2,9.0,0.0,15.0,140.0,14.0,10.0,11.0,29.0,16.0,108.0,0.0,0.0,0.0,1.0,0.0,0.0,50,0.0,0,5,12,3,13.333333333333334,1,0,5,8,5,12.2,0,9.4,-0.8,-3.12,1
4.0,0.0,1,7.0,0.0,15.0,126.0,14.0,8.0,10.0,18.0,28.0,130.2,0.0,0.0,0.0,1.0,1.0,0.0,19,0.0,0,5,7,5,10.2,0,0,5,8,3,12.0,0,10.8,1.4,1.74,1
4.0,0.0,2,9.0,0.0,15.0,128.0,14.0,24.0,28.0,29.0,8.0,120.3,0.0,0.0,0.0,1.0,1.0,0.0,19,0.0,0,5,9,5,10.8,0,0,5,13,2,13.5,0,8.9,1.4,3.51,1
4.0,0.0,1,2.0,0.0,15.0,156.0,14.0,16.0,20.0,26.0,37.0,147.7,1.0,0.0,0.0,1.0,0.0,0.0,21,0.0,6,12,12,12,15.333333333333334,0,4,11,15,11,15.0,0,8.9,1.4,3.51,2
1.0,5.0,1,11.0,0.0,15.0,131.0,14.0,24.0,9.0,18.0,28.0,118.8,0.0,0.0,0.0,1.0,0.0,1.0,18,0.0,0,8,8,7,11.857142857142858,0,0,8,8,7,11.857142857142858,0,12.7,3.7,-1.7,2
4.0,0.0,3,5.0,0.0,15.0,128.0,14.0,9.0,10.0,11.0,17.0,129.8,1.0,0.0,0.0,1.0,0.0,0.0,20,0.0,0,6,6,6,11.833333333333334,0,0,6,6,3,13.333333333333334,0,9.4,-0.8,-3.12,1
4.0,14.0,1,9.0,0.0,13.0,133.1,14.0,24.0,28.0,29.0,1.0,140.0,1.0,0.0,1.0,0.0,1.0,0.0,24,0.0,0,5,5,0,0.0,0,0,5,5,0,0.0,0,12.7,3.7,-1.7,0
4.0,5.0,1,6.0,0.0,6.0,133.1,14.0,24.0,8.0,1.0,26.0,123.3,1.0,0.0,0.0,1.0,0.0,1.0,21,0.0,0,5,7,0,0.0,0,0,5,5,0,0.0,0,7.6,2.6,0.32,0
4.0,0.0,1,11.0,0.0,15.0,124.0,14.0,9.0,11.0,11.0,16.0,117.5,1.0,0.0,0.0,1.0,1.0,0.0,19,0.0,0,8,10,5,12.858,3,0,8,10,5,12.858,3,9.4,-0.8,-3.12,1
4.0,0.0,1,9.0,0.0,15.0,123.0,14.0,24.0,28.0,1.0,8.0,118.8,1.0,0.0,0.0,1.0,0.0,0.0,21,0.0,0,5,9,3,10.666666666666666,0,0,5,13,2,12.5,0,7.6,2.6,0.32,1
4.0,16.0,1,1.0,0.0,16.0,140.0,14.0,24.0,28.0,1.0,17.0,140.0,1.0,0.0,0.0,1.0,0.0,0.0,20,0.0,0,6,10,5,11.666666666666666,0,0,6,7,5,12.6,0,12.4,0.5,1.79,2
4.0,0.0,2,16.0,0.0,15.0,151.0,14.0,21.0,24.0,26.0,37.0,144.5,1.0,0.0,0.0,1.0,0.0,0.0,18,0.0,0,6,7,6,15.666666666666666,0,0,6,6,6,14.833333333333334,0,8.9,1.4,3.51,2
4.0,3.0,1,3.0,0.0,15.0,133.1,14.0,8.0,26.0,24.0,39.0,111.5,0.0,0.0,0.0,0.0,0.0,1.0,20,0.0,0,6,10,4,12.0,0,0,6,14,3,10.0,0,7.6,2.6,0.32,0
4.0,0.0,1,9.0,0.0,15.0,140.0,14.0,9.0,10.0,24.0,17.0,120.0,1.0,0.0,0.0,1.0,1.0,0.0,21,0.0,0,5,8,3,10.0,0,0,5,10,4,11.0,0,12.7,3.7,-1.7,0
4.0,0.0,1,11.0,0.0,15.0,130.0,14.0,24.0,10.0,18.0,28.0,129.1,1.0,0.0,0.0,1.0,0.0,0.0,18,0.0,0,7,9,7,13.044444444444444,0,0,8,10,8,13.595,0,15.5,2.8,-4.06,2
4.0,0.0,1,9.0,0.0,15.0,146.0,14.0,17.0,28.0,22.0,28.0,144.6,0.0,0.0,0.0,1.0,1.0,0.0,18,0.0,0,5,5,5,13.0,0,0,5,6,5,13.333333333333334,0,16.2,0.3,-0.92,2
4.0,0.0,2,11.0,0.0,15.0,155.0,14.0,24.0,28.0,1.0,17.0,140.5,1.0,0.0,0.0,1.0,0.0,0.0,18,0.0,0,7,7,6,15.25,0,0,7,7,6,15.25,0,7.6,2.6,0.32,2
4.0,0.0,1,11.0,0.0,15.0,124.0,14.0,24.0,10.0,29.0,16.0,116.7,1.0,0.0,0.0,1.0,0.0,1.0,18,0.0,0,7,9,0,0.0,0,0,7,8,1,10.0,0,15.5,2.8,-4.06,0
4.0,0.0,3,15.0,0.0,15.0,128.0,14.0,9.0,28.0,24.0,42.0,121.7,1.0,0.0,0.0,1.0,0.0,1.0,18,0.0,0,6,6,6,12.666666666666666,0,0,6,6,6,12.5,0,12.4,0.5,1.79,2
4.0,14.0,1,15.0,0.0,16.0,137.0,14.0,24.0,28.0,18.0,3.0,124.5,0.0,0.0,0.0,0.0,1.0,0.0,26,0.0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,16.2,0.3,-0.92,0
4.0,0.0,3,2.0,0.0,15.0,125.0,14.0,8.0,11.0,1.0,42.0,115.2,1.0,0.0,0.0,1.0,0.0,0.0,18,0.0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,7.6,2.6,0.32,1
4.0,16.0,1,1.0,0.0,16.0,150.0,14.0,16.0,10.0,26.0,8.0,150.0,0.0,0.0,0.0,1.0,1.0,0.0,20,0.0,0,6,6,0,0.0,0,0,6,8,0,0.0,0,15.5,2.8,-4.06,0
4.0,3.0,4,11.0,0.0,15.0,143.0,14.0,9.0,9.0,29.0,8.0,131.5,1.0,0.0,0.0,1.0,1.0,1.0,18,0.0,0,7,8,7,12.5125,0,0,8,8,8,14.1875,0,13.9,-0.3,0.79,2
4.0,0.0,1,8.0,0.0,15.0,138.0,14.0,24.0,10.0,1.0,1.0,131.7,1.0,0.0,0.0,1.0,1.0,0.0,18,0.0,0,6,6,6,12.833333333333334,0,0,6,7,6,13.285714285714286,0,15.5,2.8,-4.06,2
4.0,0.0,1,5.0,0.0,15.0,117.0,14.0,20.0,10.0,11.0,28.0,123.7,1.0,0.0,0.0,1.0,0.0,0.0,19,0.0,0,6,6,6,12.666666666666666,0,0,6,8,5,11.4,0,12.4,0.5,1.79,2
4.0,3.0,1,6.0,0.0,15.0,156.0,14.0,15.0,2.0,11.0,28.0,166.9,0.0,0.0,0.0,1.0,0.0,0.0,18,0.0,0,5,9,4,11.25,0,0,5,6,4,12.5,0,7.6,2.6,0.32,2
4.0,14.0,1,0.0,0.0,15.0,120.0,14.0,24.0,10.0,1.0,3.0,142.3,1.0,0.0,0.0,1.0,0.0,1.0,26,0.0,0,6,6,6,13.333333333333334,0,0,6,10,5,14.5,0,10.8,1.4,1.74,2
4.0,0.0,6,9.0,0.0,15.0,115.0,14.0,24.0,11.0,1.0,42.0,117.1,1.0,0.0,1.0,1.0,0.0,0.0,22,0.0,0,5,5,5,13.8,0,0,5,5,5,13.0,0,7.6,2.6,0.32,2
4.0,16.0,1,1.0,0.0,16.0,140.0,14.0,8.0,28.0,13.0,19.0,140.0,1.0,0.0,1.0,1.0,1.0,0.0,26,0.0,0,6,6,0,0.0,0,0,6,7,0,0.0,0,8.9,1.4,3.51,1
