CIC0,SM1_Dz(Z),GATS1i,NdsCH,NdssC,MLOGP,__target__
3.101,1.535,1.326,0,1,1.655,6.238
2.085,1.079,0.895,0,0,4.063,4.79
1.822,0.829,0.834,0,0,2.509,3.731
3.33,0.56,1.555,0,2,1.042,3.691
2.43,0.496,0.946,0,0,2.241,3.441
3.326,0.647,0.986,0,1,3.112,4.081
2.961,0.405,1.189,0,0,1.312,2.604
3.585,0.331,1.491,0,0,2.224,3.53
3.378,0.134,0.988,0,0,3.395,4.65
3.191,0.223,1.154,0,0,1.737,2.686
2.677,0.331,1.582,0,1,0.586,2.895
3.38,0.702,1.527,0,1,1.579,3.841
3.219,0.405,1.605,0,0,0.706,1.088
2.456,0.331,1.259,0,1,0.496,2.858
3.462,0.405,1.717,0,1,2.06,4.208
3.171,0.134,1.011,0,0,2.186,3.984
3.179,0.0,0.805,0,0,2.994,4.154
3.69,0.223,0.883,0,0,3.887,6.644
1.844,1.275,0.804,0,0,3.109,6.784
3.793,0.134,0.93,0,0,4.054,6.038
3.179,0.0,1.063,0,0,2.942,3.947
3.261,0.331,2.047,0,1,0.915,4.182
1.886,0.988,0.764,0,0,2.343,3.889
3.652,0.872,0.867,2,3,3.983,4.04
5.926,0.134,1.671,0,0,6.203,4.628
2.728,0.134,0.923,0,0,2.102,3.42
2.283,1.07,1.223,0,0,1.112,4.278
3.014,0.56,1.781,0,0,-0.115,0.898
2.508,0.58,0.941,0,0,1.701,3.242
2.822,0.811,1.524,0,0,-2.089,0.6
2.479,0.887,0.954,0,0,1.748,5.341
2.479,0.887,0.954,0,0,1.748,4.257
3.315,0.223,0.799,0,0,3.127,4.44
3.235,1.131,0.996,0,0,2.723,5.354
2.462,0.223,1.625,0,1,0.655,1.352
2.982,0.496,1.151,0,1,1.783,3.665
3.461,0.223,1.281,0,0,2.813,4.416
2.523,0.56,1.602,1,1,0.052,4.384
1.94,0.749,1.066,0,0,1.492,2.99
2.43,0.496,0.83,1,0,1.132,4.628
2.442,1.211,2.254,0,0,1.401,4.305
3.044,1.028,0.959,1,0,3.762,5.95
2.126,0.977,0.771,0,0,3.795,5.284
1.855,1.067,1.244,0,0,1.587,3.487
3.402,0.496,1.45,1,0,2.345,4.557
4.535,0.56,1.137,1,2,4.332,8.571
3.046,0.0,1.333,4,0,2.352,3.614
1.701,1.443,1.905,0,0,2.957,4.44
1.075,1.161,0.865,0,1,0.024,5.386
1.634,0.713,1.19,0,0,0.501,2.319
2.565,0.693,1.987,0,2,0.057,4.031
4.205,1.512,1.046,0,2,2.11,5.002
2.918,0.223,0.944,3,0,2.066,4.59
4.057,1.032,1.183,1,3,4.754,8.201
2.077,1.236,0.829,0,1,3.458,4.424
3.98,0.223,1.578,0,0,3.806,4.819
1.977,1.112,0.881,0,0,2.37,4.798
1.962,0.934,0.819,0,0,2.729,4.296
3.462,0.405,1.717,0,1,2.06,4.097
2.126,0.83,0.899,0,0,3.478,4.552
2.888,0.251,0.944,0,0,1.246,1.935
3.465,0.0,0.802,0,0,3.958,4.984
3.164,0.223,0.909,0,0,2.455,3.112
3.128,0.713,0.797,0,1,4.017,5.039
0.973,0.988,1.489,0,1,0.18,2.725
2.961,0.405,1.388,0,0,1.58,3.07
2.508,0.58,0.941,0,0,1.701,3.766
2.862,1.54,1.226,0,0,3.896,6.171
0.667,0.582,1.361,0,0,0.202,4.748
2.377,0.827,0.938,0,0,2.239,5.083
2.834,0.134,0.95,0,0,1.859,3.12
2.755,0.83,1.656,0,0,2.957,3.746
3.08,0.223,1.583,0,1,1.442,2.369
3.532,0.134,1.518,0,0,2.813,3.959
2.094,0.827,0.86,0,0,1.886,5.39
3.734,0.223,1.374,2,2,2.642,4.586
3.191,0.223,0.847,0,0,2.859,4.967
3.26,0.405,1.151,1,0,2.11,3.835
2.914,0.798,0.975,0,1,2.715,4.109
3.311,0.56,0.927,0,1,3.461,5.276
2.685,0.405,1.145,0,0,1.246,3.219
3.645,0.223,1.155,0,0,3.105,5.178
3.18,1.281,1.246,0,0,2.492,4.963
3.315,0.223,0.96,0,0,3.395,4.629
3.027,0.331,1.472,1,0,1.807,3.51
3.179,0.0,0.805,0,0,3.386,4.322
3.822,0.0,1.125,1,0,4.044,5.51
2.125,0.73,1.537,0,0,0.883,3.007
2.126,0.83,0.899,0,0,3.478,4.194
2.429,0.405,1.927,0,1,0.586,2.583
4.031,1.113,1.106,1,2,4.579,7.64
1.925,1.16,0.801,0,0,3.314,4.499
2.442,0.934,0.984,0,1,3.259,4.208
4.085,0.134,1.482,0,0,4.234,5.63
1.951,0.405,1.878,0,0,-1.053,0.053
1.945,0.889,0.835,0,0,1.969,3.927
2.434,1.17,0.996,1,0,1.391,3.575
4.717,0.223,1.288,1,1,4.804,6.384
2.086,0.64,0.838,0,0,2.127,4.459
2.08,1.033,0.902,0,0,3.157,3.693
1.636,0.64,1.695,0,0,0.408,3.861
3.609,0.811,1.208,0,0,3.291,4.247
1.5,0.83,1.891,0,0,1.817,2.92
4.139,0.496,1.43,0,1,4.206,5.767
2.647,1.286,1.278,0,0,1.602,4.508
2.031,0.496,1.952,0,1,-0.703,1.231
2.568,0.389,1.012,0,0,2.296,3.513
3.542,1.38,1.264,0,0,1.971,6.284
3.39,0.934,0.889,0,0,4.436,5.264
3.401,0.732,1.185,0,1,2.791,3.529
4.029,0.965,1.729,0,0,4.038,4.451
2.98,0.251,2.261,0,0,-0.063,1.639
4.141,0.134,1.22,0,0,4.833,6.233
2.333,0.251,1.946,0,0,-1.053,2.576
2.405,0.134,0.843,0,0,1.769,3.21
3.452,0.331,1.476,1,0,2.402,3.87
3.566,0.134,1.595,0,0,1.94,3.719
2.893,1.236,0.907,0,0,3.842,6.047
2.781,0.711,1.147,0,0,1.515,3.846
2.726,0.496,1.108,0,1,1.06,3.1
3.041,0.947,1.298,0,1,1.976,6.607
1.844,1.275,0.804,0,0,3.109,6.72
2.08,0.496,0.858,0,0,1.887,3.022
2.215,0.887,0.888,0,0,1.395,4.084
2.802,0.223,1.6,1,0,1.064,4.423
3.596,0.604,1.515,0,0,4.673,5.363
2.024,0.405,2.065,0,1,0.133,2.269
2.568,0.582,0.931,0,0,2.461,3.594
3.477,0.693,1.344,0,2,2.577,4.116
3.134,0.223,1.193,0,0,1.548,2.692
2.024,0.83,1.761,0,0,2.226,3.007
3.485,0.223,1.614,0,0,1.94,3.507
1.429,0.223,1.75,1,0,-0.317,3.076
2.019,1.126,0.793,0,0,3.314,4.73
3.111,0.405,1.05,0,2,1.756,5.169
3.407,0.0,1.111,0,0,3.259,4.192
2.034,0.331,2.672,1,0,-0.273,0.841
2.396,0.223,1.778,0,0,0.347,0.778
2.217,0.845,0.793,1,0,2.429,5.189
2.126,0.405,1.127,0,0,-0.226,3.206
2.815,0.56,1.585,0,2,0.43,2.758
3.739,0.0,1.25,1,2,3.267,2.149
3.609,0.811,1.208,0,0,3.291,4.469
3.432,0.638,1.385,0,1,1.459,5.339
1.968,0.331,1.891,0,0,-1.053,1.47
3.739,0.0,1.204,1,1,3.374,5.689
1.639,0.83,1.445,2,0,2.081,5.05
3.814,0.331,1.225,0,1,3.345,3.698
3.38,1.749,1.135,0,1,3.305,4.951
2.534,0.872,1.619,0,0,-1.186,2.732
2.508,0.58,0.941,0,0,1.701,3.483
1.126,0.134,1.431,0,0,-0.317,1.399
2.428,0.956,2.609,0,0,0.113,1.301
2.026,0.223,1.429,1,0,0.202,5.259
2.857,1.421,2.282,0,0,2.357,4.295
4.785,1.263,1.471,1,4,2.749,9.612
2.748,0.223,1.705,0,0,0.8,1.305
3.465,2.171,0.888,0,0,6.515,3.623
3.55,1.182,1.624,0,0,2.433,4.811
3.421,0.58,1.7,0,1,1.57,5.029
2.165,0.134,1.912,0,0,-0.172,2.3
2.986,0.961,1.669,0,4,1.798,3.152
3.605,0.0,1.15,0,0,3.562,4.51
3.462,0.405,1.717,0,1,2.06,4.557
1.0,0.405,1.5,2,0,-1.306,2.381
4.628,1.209,1.968,0,0,2.437,4.551
2.819,0.331,1.271,0,1,0.981,2.736
4.171,0.693,1.678,0,2,2.849,4.851
2.025,0.932,0.851,1,0,2.212,4.672
3.871,0.829,1.558,0,1,3.026,4.539
1.886,1.153,0.523,0,0,2.938,4.737
2.585,1.586,0.917,0,0,5.207,6.379
2.707,0.972,1.889,0,3,-1.169,2.976
0.667,1.03,0.906,0,0,1.064,5.558
3.593,1.236,1.166,0,0,4.268,7.607
3.896,0.134,1.571,0,0,3.503,4.822
3.26,0.405,0.921,0,0,2.782,4.578
3.436,0.331,0.951,0,0,2.786,4.338
4.211,0.932,1.045,0,1,4.832,8.916
3.756,0.0,0.964,0,0,4.23,4.425
2.126,0.405,0.917,4,2,0.411,6.38
3.475,0.405,0.875,1,2,3.148,4.803
3.559,0.223,1.36,0,0,2.446,3.458
2.634,0.223,1.298,0,0,0.943,3.131
3.274,1.214,1.011,0,0,3.311,6.54
4.413,0.56,1.17,1,2,3.906,7.899
2.9,1.275,0.913,0,1,3.574,6.564
3.252,0.223,1.077,0,0,2.51,4.02
2.878,0.134,1.684,0,0,0.8,2.436
2.031,0.891,0.822,0,0,2.956,4.42
2.125,0.638,0.831,0,0,1.348,2.939
2.189,0.58,0.863,0,0,1.348,3.115
3.252,0.223,1.077,0,0,2.51,4.093
3.24,0.693,1.487,1,0,1.002,3.598
3.012,0.223,1.023,0,0,2.193,3.751
2.435,0.331,1.532,0,1,0.586,2.014
3.012,0.223,1.023,0,0,2.193,3.92
3.734,0.223,1.374,0,0,3.661,5.159
2.126,0.83,1.455,0,1,2.459,5.82
1.778,0.223,1.203,0,0,0.156,3.048
2.955,0.331,1.313,0,0,0.652,2.961
4.037,0.134,1.563,0,0,3.806,5.18
2.777,0.56,1.127,1,0,0.922,3.118
2.034,0.331,1.56,0,1,0.133,2.117
4.114,0.223,1.571,0,0,4.098,5.219
3.332,0.134,1.294,0,0,2.51,3.436
2.824,0.223,1.051,0,0,1.533,4.05
3.012,0.223,0.76,0,0,2.637,4.62
3.709,1.371,1.478,0,1,3.909,5.568
3.13,0.429,0.88,0,0,2.679,5.229
1.5,0.405,1.669,0,1,-0.386,2.661
3.181,0.604,1.52,0,0,3.126,4.68
1.818,0.499,1.468,1,0,1.672,3.546
3.914,0.56,1.637,0,1,3.048,3.926
3.828,1.259,0.966,1,2,4.279,8.604
3.993,0.223,1.214,1,0,3.563,4.611
2.728,0.223,0.953,0,0,1.859,3.755
2.377,0.827,0.938,0,0,2.239,3.991
2.748,0.223,1.705,0,0,0.8,1.063
2.62,0.499,0.99,0,0,3.21,4.33
2.351,1.586,1.25,0,4,3.659,6.416
3.247,0.874,1.221,0,1,2.659,4.262
3.98,0.452,2.013,0,0,-0.022,1.81
3.669,0.486,1.374,0,0,3.291,4.61
3.137,0.405,1.312,0,2,0.749,1.086
3.38,0.874,0.903,0,1,3.184,5.278
1.279,0.811,1.313,0,0,0.58,2.925
2.834,0.134,0.95,0,0,1.591,3.021
3.461,0.223,1.12,0,0,2.813,4.672
2.119,0.923,1.179,0,1,0.982,1.05
1.333,0.754,1.148,0,1,-0.386,3.487
3.033,0.693,1.312,1,0,1.21,4.832
2.079,0.988,0.836,0,1,2.481,3.298
3.41,0.134,1.722,0,0,-1.174,3.017
2.456,0.331,0.875,0,1,1.294,2.263
3.485,0.223,1.614,0,0,1.94,2.853
2.233,0.46,0.789,1,0,2.206,4.96
3.265,0.496,0.962,0,1,3.055,4.732
3.08,0.827,1.079,2,0,1.155,5.478
3.282,0.56,1.749,0,2,1.117,3.757
2.96,0.88,1.53,1,1,0.787,5.244
3.314,0.331,1.173,1,0,3.112,3.812
2.251,0.638,0.871,1,0,1.61,4.175
2.701,0.405,2.003,0,0,-0.081,0.533
3.08,0.223,1.462,2,0,1.442,2.494
2.841,0.88,1.705,0,3,0.226,1.647
3.103,0.134,1.016,0,0,2.193,3.651
3.073,0.693,1.438,0,2,0.787,1.055
2.11,1.15,0.72,1,0,3.157,5.518
3.407,1.548,1.653,0,0,1.145,6.258
3.7,0.223,1.556,0,1,2.446,3.662
4.247,0.58,1.36,2,1,3.062,5.066
2.183,0.93,0.846,0,0,1.395,4.739
3.459,1.47,1.483,0,2,0.491,4.486
2.777,0.56,1.127,1,0,1.433,4.767
3.046,0.0,1.333,0,2,2.352,4.075
0.965,0.64,1.695,1,0,0.202,4.37
1.5,1.278,1.868,0,0,2.604,3.916
2.11,0.58,0.805,0,0,1.61,3.787
2.572,1.834,1.35,0,2,3.115,8.471
3.001,0.134,2.92,0,0,-2.884,2.375
2.454,1.075,0.951,0,0,2.359,4.96
2.137,0.223,1.179,0,0,0.655,3.779
2.183,0.93,0.846,0,0,1.395,3.666
2.709,0.331,2.072,0,0,-0.081,1.78
3.641,0.331,1.933,0,1,1.565,2.67
2.507,0.405,1.652,0,2,0.888,2.495
4.81,0.693,1.42,0,2,5.426,2.548
3.394,0.0,0.868,0,0,3.677,4.199
3.601,0.223,1.254,0,1,2.357,3.141
1.512,0.64,1.844,0,0,0.347,3.203
3.802,0.405,1.527,1,0,1.869,3.7
2.748,0.223,1.705,0,0,0.8,1.589
3.219,0.811,1.127,0,0,2.604,4.759
2.126,1.278,0.896,0,0,4.634,5.361
2.126,0.83,0.899,0,0,3.478,4.263
2.704,0.56,1.965,0,0,-0.917,0.15
2.233,1.07,0.841,1,0,3.377,5.251
3.311,0.972,2.208,0,3,-0.165,4.244
2.377,0.331,1.734,0,0,-0.534,1.474
3.383,1.408,0.892,0,0,4.804,5.44
2.16,1.16,1.607,0,0,1.94,3.13
2.377,0.827,0.938,0,0,2.239,5.146
3.086,0.948,0.751,0,0,3.586,5.107
3.675,1.718,1.248,0,0,3.167,4.136
3.898,0.887,1.45,0,0,4.066,5.999
2.439,0.93,0.924,0,0,1.748,4.856
3.738,1.131,1.584,1,2,2.558,4.422
3.08,0.223,1.583,1,0,1.442,3.727
2.95,1.772,1.351,0,4,3.11,5.383
3.461,0.223,1.111,0,1,2.357,3.393
3.05,0.405,0.868,1,3,2.233,6.195
2.126,0.83,1.455,1,0,2.459,4.184
3.252,0.499,0.832,0,0,4.416,4.674
3.514,0.134,1.07,1,0,3.315,7.809
2.304,1.028,1.124,0,0,2.433,4.635
2.507,0.405,1.652,1,1,0.888,4.603
3.601,0.223,1.35,3,2,2.545,4.32
3.065,0.923,1.317,0,0,1.271,2.015
1.975,0.802,0.775,1,0,2.799,4.227
3.012,0.223,1.023,0,0,2.193,4.07
1.92,1.079,1.738,0,0,2.604,3.408
3.102,0.693,1.316,0,2,2.005,3.451
3.641,0.331,1.933,1,0,1.971,3.246
2.137,0.223,1.179,0,0,0.655,3.288
2.817,1.012,1.521,0,3,-1.169,2.069
2.831,1.393,1.077,0,1,0.906,5.317
2.216,0.389,0.796,0,0,1.953,3.751
2.242,1.096,1.907,0,1,-1.96,3.396
2.219,0.604,1.537,0,0,2.026,3.262
2.585,0.0,0.917,0,0,2.255,3.502
2.739,0.0,1.3,1,1,1.974,2.953
3.098,0.93,1.075,0,0,2.702,6.236
2.888,0.251,1.771,0,0,1.398,2.983
3.029,0.331,1.847,0,0,0.314,2.474
4.63,0.405,1.458,2,1,5.579,3.139
3.407,0.0,1.111,0,0,3.259,4.279
3.126,0.693,1.69,2,2,1.024,4.282
3.691,0.711,1.073,0,2,1.746,5.472
2.636,0.827,0.999,0,0,2.573,4.393
2.726,0.496,1.179,0,1,1.06,3.661
1.783,0.331,1.667,0,0,0.087,1.777
3.277,0.486,1.343,0,0,2.604,3.736
3.514,0.0,1.375,2,2,3.038,4.465
3.815,1.825,1.351,0,0,-0.45,4.691
1.946,0.223,1.929,0,0,-0.172,0.534
3.528,1.74,1.288,0,0,0.626,5.466
3.74,0.134,1.581,0,0,2.274,4.396
3.634,0.693,1.747,0,2,1.742,4.051
2.189,1.586,2.0,0,0,3.291,5.242
2.329,0.711,0.868,0,1,1.229,3.097
2.748,0.223,1.705,0,0,0.8,1.691
2.251,1.501,1.197,0,0,4.19,5.632
3.645,0.223,1.155,0,0,3.105,4.81
3.2,1.531,1.059,0,0,3.089,6.16
3.651,1.151,0.911,0,2,2.278,4.54
3.629,0.331,1.478,0,1,2.821,3.24
2.802,0.223,1.6,0,1,1.064,1.999
3.386,0.251,1.225,0,0,1.586,3.086
3.065,1.079,0.825,0,0,5.472,6.882
3.219,0.811,1.127,0,0,2.604,4.257
3.333,0.405,0.963,1,0,2.974,5.63
2.137,0.223,1.179,0,0,0.655,3.841
2.47,1.437,1.346,2,2,1.821,6.351
3.067,1.286,1.309,0,0,2.223,5.318
2.206,1.3,1.36,0,0,2.371,4.739
2.639,1.462,0.83,0,0,5.206,5.985
2.217,0.764,0.859,1,0,2.269,5.308
4.443,0.251,1.287,4,3,4.453,6.483
2.11,0.58,0.805,0,0,1.61,3.391
2.217,0.872,0.875,0,0,1.769,4.182
2.26,0.604,0.836,0,0,3.045,4.194
3.833,0.405,1.522,0,1,3.492,2.092
3.036,0.405,1.205,1,0,1.807,3.733
4.327,0.56,1.254,2,5,3.399,6.683
3.281,0.693,1.808,0,2,1.121,3.095
2.624,1.621,1.502,0,0,3.213,6.314
3.763,0.916,0.878,0,6,2.918,4.818
4.532,0.405,1.189,2,3,4.639,5.104
3.323,1.232,1.134,0,0,4.207,6.5
3.012,0.223,1.023,0,0,2.193,3.857
2.56,0.134,1.758,0,0,0.347,2.283
2.126,0.977,0.771,0,0,3.795,4.762
2.126,1.278,0.896,0,0,4.634,5.815
3.052,0.638,0.903,0,0,3.237,4.906
2.802,0.223,1.6,0,1,1.064,1.842
2.819,0.732,1.483,0,0,1.717,2.941
3.195,0.496,1.133,0,1,2.222,4.446
2.448,0.638,0.921,0,0,1.701,3.513
2.11,0.773,0.773,0,1,2.57,3.36
2.164,1.437,1.227,0,2,2.573,6.207
2.536,0.429,0.871,0,1,1.237,2.537
2.086,1.501,0.766,0,0,3.909,6.093
3.86,0.223,1.429,0,0,2.502,3.919
2.928,1.131,0.908,0,2,3.508,5.86
3.103,0.134,1.016,0,0,2.193,3.22
3.023,0.56,1.349,1,0,1.239,3.917
2.24,0.405,1.203,0,0,-0.316,2.286
4.191,0.762,2.195,0,0,1.239,2.618
3.611,0.331,2.017,0,0,1.393,2.859
2.118,0.956,2.539,0,0,-0.406,3.845
2.98,0.251,1.959,0,0,-0.063,1.651
3.818,0.693,1.627,2,2,2.217,5.522
2.456,0.64,0.937,0,0,2.461,4.286
2.024,0.405,1.605,0,1,0.133,1.307
2.834,0.134,0.95,0,0,1.859,3.47
3.441,0.0,1.667,0,0,3.516,4.538
3.591,0.58,1.685,0,1,1.851,4.117
2.824,0.223,1.0,0,1,2.102,2.87
2.366,0.405,2.606,0,0,-0.128,1.037
2.216,0.582,0.839,0,0,2.127,3.62
2.0,0.693,1.128,2,2,-0.45,4.366
2.91,0.0,1.0,0,0,2.608,3.447
3.776,0.405,0.92,0,0,3.306,4.691
2.479,0.887,0.954,0,0,1.748,4.458
2.641,0.496,1.077,0,1,1.697,3.537
3.134,0.223,1.319,0,0,1.795,4.804
4.532,0.405,1.189,2,2,4.639,5.541
4.061,0.134,1.658,0,0,-0.294,3.151
3.423,1.19,1.993,0,4,-1.358,3.689
2.33,0.58,1.776,0,2,-0.741,0.89
4.181,0.57,1.383,0,0,4.379,6.213
2.111,0.134,1.253,0,0,0.468,2.914
2.216,0.582,0.839,0,0,2.127,4.353
3.353,0.405,1.418,1,1,1.878,5.018
1.925,1.318,0.595,0,0,3.764,4.705
1.251,0.251,1.126,0,0,-0.786,5.072
1.814,1.316,1.074,0,1,1.119,3.35
3.277,0.223,1.633,0,0,1.587,2.98
3.874,0.638,1.352,4,1,2.575,4.561
2.386,0.223,0.857,0,0,1.506,3.513
1.961,0.134,1.27,0,0,0.156,2.505
1.594,0.223,1.068,0,0,0.202,4.564
3.734,0.223,1.426,0,0,2.502,3.18
2.024,0.83,1.761,0,0,2.226,2.928
2.778,0.83,1.046,0,0,3.562,6.652
2.122,1.621,1.511,0,0,2.64,5.677
3.369,0.134,1.614,0,0,1.587,3.252
3.026,0.405,1.787,0,1,1.373,3.81
3.684,1.275,1.072,0,1,4.764,7.691
1.783,0.629,0.75,1,0,0.736,3.46
2.928,1.113,1.185,0,1,2.927,4.141
4.077,0.956,1.909,0,0,3.234,4.448
2.198,0.798,0.79,0,1,2.056,3.328
3.277,0.486,1.416,0,0,2.604,5.47
1.883,0.711,1.162,0,0,0.602,2.924
2.26,0.499,0.907,0,0,2.876,3.645
3.222,0.331,2.177,0,0,0.706,1.819
2.528,0.58,1.297,0,0,1.539,3.025
3.337,1.443,0.913,0,0,6.166,7.429
0.965,0.732,1.359,0,1,0.435,3.481
3.012,0.223,0.76,0,0,2.637,4.538
3.196,1.38,1.234,0,0,1.321,6.018
3.188,1.182,1.244,0,1,1.845,5.012
2.092,1.359,2.273,1,1,1.246,4.796
4.135,0.58,1.263,1,2,2.904,5.538
1.634,0.798,1.093,0,0,0.68,2.569
4.461,0.405,1.139,0,1,4.548,4.727
3.73,0.829,1.562,0,1,3.182,4.732
2.482,1.303,1.415,0,0,0.575,4.919
3.16,1.028,0.809,0,0,3.842,5.939
3.526,0.711,1.596,0,3,0.757,3.423
2.508,0.58,0.941,0,0,1.701,3.799
3.179,0.0,1.063,0,0,2.942,3.822
1.886,1.115,0.653,0,0,2.646,4.342
1.962,1.345,0.783,0,0,3.617,5.752
2.08,0.891,0.816,0,0,2.729,4.332
2.477,0.405,0.876,0,1,1.7,2.474
2.508,0.58,0.941,0,0,1.701,3.799
3.452,0.331,1.098,0,1,2.54,3.742
3.41,0.223,1.278,1,2,1.947,2.737
2.479,0.887,0.954,0,0,1.748,4.912
2.33,0.932,0.931,0,1,2.529,4.559
3.629,0.223,0.802,0,0,3.571,4.269
3.143,0.134,1.641,0,0,1.209,2.264
4.829,0.331,1.521,4,4,4.57,6.347
3.554,0.629,0.945,0,0,3.315,3.459
4.88,0.134,1.853,0,0,2.217,4.77
3.739,0.0,1.161,0,0,4.431,5.68
2.583,0.762,1.104,0,1,1.968,3.882
3.7,0.223,1.556,0,1,3.358,3.971
2.744,0.496,0.753,0,0,3.018,4.284
3.567,0.711,1.501,1,3,1.759,4.043
3.921,0.134,1.789,0,0,2.502,3.861
3.613,1.336,0.839,0,0,2.459,4.886
3.937,0.762,1.708,0,0,1.145,3.297
1.512,0.331,1.627,1,0,-0.386,2.891
2.019,1.317,0.77,0,0,3.617,5.93
3.159,0.965,1.584,0,2,1.121,3.77
2.508,0.58,0.941,0,0,1.701,3.345
2.374,1.16,0.979,0,1,3.818,5.048
2.834,0.134,1.009,0,0,2.066,3.448
3.2,0.711,1.235,0,3,0.779,2.681
3.103,0.134,1.016,0,0,2.193,3.21
2.118,0.934,0.913,1,0,2.956,4.988
2.085,0.56,2.451,0,0,-0.544,1.18
2.183,0.93,0.846,0,0,1.395,4.224
2.065,1.062,0.852,0,0,2.463,4.399
3.353,0.854,1.944,0,0,1.297,2.451
2.08,0.891,0.816,0,0,2.729,4.62
2.632,0.429,1.176,0,0,1.074,2.975
2.252,1.075,0.885,0,0,2.005,5.303
3.252,0.223,1.077,0,0,2.51,4.22
3.03,1.821,1.027,0,2,5.469,6.897
3.08,0.405,1.609,0,2,1.619,3.528
2.512,0.134,1.293,0,0,0.846,2.016
3.005,1.683,0.774,0,0,4.804,7.287
2.526,0.713,1.201,1,0,2.213,3.561
3.645,0.223,1.155,0,0,2.837,3.393
3.86,0.223,1.55,0,1,3.661,4.51
2.818,0.88,1.488,0,0,1.182,3.726
1.965,1.408,0.709,0,0,2.736,5.29
3.198,0.405,1.399,0,0,1.897,3.874
3.461,0.223,1.12,0,0,2.813,4.47
2.536,0.496,1.482,0,1,0.204,3.03
3.137,0.251,1.335,0,0,1.141,2.412
3.277,0.223,1.869,0,0,1.587,2.085
