month,credit_amount,credit_term,age,sex,education,product_type,having_children_flg,region,income,family_status,phone_operator,is_client,__target__
7,35500,30,52,1.0,5.0,8.0,0.0,2.0,9000,1.0,0.0,1.0,0
11,5000,4,22,0.0,0.0,14.0,0.0,2.0,26000,1.0,3.0,1.0,0
12,75000,36,54,1.0,4.0,15.0,1.0,2.0,26000,1.0,1.0,1.0,0
1,37000,15,32,1.0,0.0,11.0,1.0,2.0,36000,0.0,0.0,1.0,1
6,17500,4,20,1.0,5.0,3.0,0.0,2.0,21000,1.0,3.0,1.0,0
3,6000,3,28,0.0,0.0,13.0,1.0,2.0,36000,1.0,2.0,1.0,0
11,23000,12,66,1.0,4.0,13.0,0.0,2.0,14000,0.0,1.0,1.0,0
5,5500,6,52,0.0,5.0,3.0,0.0,2.0,26000,0.0,2.0,0.0,0
7,11000,12,26,0.0,4.0,13.0,1.0,2.0,31000,0.0,0.0,0.0,0
2,27500,8,29,1.0,1.0,14.0,1.0,2.0,36000,1.0,2.0,0.0,0
12,49000,18,24,0.0,5.0,6.0,1.0,2.0,36000,0.0,1.0,0.0,0
3,16000,12,20,0.0,4.0,3.0,0.0,2.0,14000,1.0,1.0,1.0,1
9,78500,30,24,1.0,5.0,8.0,0.0,2.0,31000,0.0,0.0,1.0,0
11,7500,3,26,1.0,0.0,7.0,0.0,2.0,13000,1.0,2.0,0.0,1
12,11500,12,29,0.0,5.0,3.0,0.0,2.0,26000,0.0,2.0,0.0,1
9,23000,10,26,0.0,0.0,3.0,0.0,2.0,31000,0.0,2.0,0.0,1
5,13000,20,52,1.0,4.0,15.0,1.0,2.0,21000,0.0,0.0,1.0,0
9,33500,10,22,1.0,0.0,3.0,0.0,2.0,26000,1.0,2.0,0.0,0
11,31500,12,31,1.0,4.0,6.0,0.0,2.0,26000,0.0,2.0,0.0,0
9,26000,12,45,0.0,5.0,13.0,1.0,2.0,16000,2.0,3.0,1.0,0
2,9000,3,27,1.0,0.0,13.0,1.0,2.0,26000,0.0,1.0,0.0,0
1,11000,3,24,1.0,5.0,6.0,0.0,2.0,26000,0.0,2.0,1.0,0
3,34000,12,31,0.0,5.0,13.0,0.0,1.0,31000,2.0,1.0,1.0,0
9,66000,12,26,1.0,0.0,21.0,1.0,2.0,31000,0.0,2.0,1.0,0
11,7000,6,26,0.0,5.0,3.0,0.0,2.0,27000,0.0,2.0,1.0,0
1,8000,12,31,1.0,5.0,3.0,0.0,2.0,20000,0.0,1.0,1.0,0
7,13500,12,21,1.0,5.0,3.0,0.0,2.0,26000,1.0,0.0,1.0,0
7,8000,10,22,0.0,5.0,3.0,1.0,2.0,20000,0.0,0.0,1.0,1
6,12500,12,43,0.0,0.0,13.0,1.0,2.0,31000,0.0,1.0,1.0,0
9,33500,12,24,0.0,4.0,3.0,0.0,0.0,51000,0.0,0.0,1.0,0
3,30000,12,36,1.0,5.0,3.0,1.0,0.0,46000,1.0,1.0,1.0,0
2,22000,12,50,0.0,5.0,15.0,1.0,1.0,37000,0.0,2.0,1.0,0
5,13500,6,30,0.0,5.0,13.0,0.0,2.0,21000,0.0,0.0,1.0,0
10,13000,6,27,0.0,5.0,13.0,0.0,2.0,26000,1.0,1.0,0.0,0
4,12000,12,40,0.0,4.0,6.0,1.0,2.0,13000,0.0,1.0,1.0,0
12,21000,18,23,1.0,0.0,13.0,0.0,2.0,26000,0.0,2.0,1.0,1
5,30500,12,54,0.0,0.0,7.0,0.0,2.0,46000,1.0,2.0,1.0,0
2,21000,8,49,1.0,0.0,13.0,0.0,2.0,41000,0.0,3.0,1.0,0
11,19500,6,29,1.0,5.0,3.0,1.0,2.0,24000,1.0,2.0,1.0,0
9,11000,3,41,1.0,5.0,6.0,1.0,2.0,21000,0.0,2.0,0.0,0
10,58500,36,57,0.0,5.0,11.0,1.0,2.0,32000,1.0,1.0,1.0,0
5,21500,12,64,1.0,0.0,13.0,1.0,2.0,25000,0.0,2.0,0.0,0
10,12000,12,36,1.0,5.0,3.0,1.0,1.0,31000,0.0,1.0,0.0,0
10,12000,10,22,0.0,5.0,1.0,0.0,2.0,19000,0.0,1.0,0.0,0
9,21500,12,62,1.0,4.0,13.0,1.0,2.0,16000,0.0,1.0,1.0,0
6,21000,3,47,0.0,0.0,13.0,1.0,2.0,41000,0.0,1.0,1.0,0
11,34500,7,45,1.0,5.0,5.0,1.0,2.0,26000,0.0,0.0,1.0,0
11,8500,12,22,0.0,5.0,3.0,0.0,2.0,27000,1.0,0.0,1.0,1
8,20500,12,21,0.0,0.0,6.0,0.0,1.0,46000,0.0,1.0,1.0,0
1,18000,6,56,0.0,4.0,3.0,0.0,2.0,36000,2.0,1.0,0.0,0
1,6500,6,34,0.0,5.0,3.0,0.0,2.0,26000,1.0,0.0,0.0,1
8,45000,18,30,1.0,5.0,8.0,1.0,2.0,26000,0.0,2.0,0.0,0
3,16000,6,21,0.0,4.0,3.0,0.0,2.0,36000,1.0,0.0,0.0,0
6,30000,16,45,1.0,5.0,13.0,1.0,2.0,31000,1.0,1.0,0.0,0
9,21000,18,26,0.0,5.0,3.0,0.0,2.0,26000,1.0,0.0,0.0,0
2,15000,4,20,1.0,4.0,3.0,0.0,2.0,10000,0.0,3.0,0.0,0
2,18000,12,33,0.0,0.0,13.0,0.0,1.0,36000,0.0,0.0,1.0,0
9,41000,10,33,0.0,0.0,11.0,1.0,1.0,46000,0.0,1.0,0.0,0
2,21000,6,20,1.0,5.0,13.0,0.0,2.0,30000,0.0,1.0,1.0,0
3,18000,8,26,0.0,5.0,11.0,0.0,2.0,26000,0.0,0.0,1.0,0
8,31000,12,26,0.0,5.0,13.0,0.0,2.0,31000,0.0,0.0,1.0,1
7,29500,12,64,1.0,5.0,11.0,0.0,2.0,12000,0.0,3.0,0.0,0
11,16000,8,24,0.0,0.0,13.0,0.0,2.0,46000,0.0,2.0,0.0,0
1,11000,6,19,1.0,5.0,13.0,0.0,2.0,21000,0.0,0.0,1.0,0
2,6500,3,41,1.0,5.0,13.0,1.0,2.0,11000,1.0,1.0,1.0,0
10,21000,6,25,1.0,0.0,6.0,0.0,2.0,46000,0.0,0.0,0.0,0
11,28000,10,22,0.0,4.0,3.0,0.0,2.0,21000,0.0,2.0,1.0,0
12,51000,36,34,1.0,0.0,21.0,0.0,2.0,20000,0.0,0.0,0.0,0
12,14500,12,24,0.0,5.0,14.0,1.0,2.0,26000,0.0,0.0,1.0,0
7,20500,12,28,1.0,0.0,3.0,0.0,2.0,41000,0.0,1.0,1.0,0
12,93000,4,40,1.0,0.0,19.0,0.0,0.0,73000,2.0,1.0,1.0,0
3,19500,12,20,0.0,1.0,6.0,0.0,2.0,31000,0.0,2.0,1.0,0
9,15000,10,22,1.0,1.0,3.0,0.0,2.0,26000,0.0,1.0,1.0,0
1,37000,18,62,0.0,5.0,13.0,1.0,0.0,51000,0.0,3.0,0.0,0
11,176000,36,31,1.0,4.0,5.0,0.0,2.0,51000,0.0,0.0,1.0,0
7,54000,12,27,0.0,0.0,6.0,0.0,2.0,51000,0.0,3.0,0.0,0
10,14000,4,27,1.0,0.0,10.0,0.0,1.0,31000,0.0,1.0,1.0,0
7,39500,12,32,1.0,0.0,17.0,1.0,2.0,20000,0.0,1.0,0.0,0
3,22000,6,40,0.0,5.0,3.0,1.0,2.0,20000,0.0,1.0,1.0,0
2,46500,12,54,1.0,0.0,21.0,0.0,0.0,71000,0.0,0.0,1.0,0
1,6500,3,66,1.0,5.0,13.0,1.0,2.0,19000,0.0,2.0,1.0,0
11,19000,12,32,0.0,5.0,13.0,1.0,2.0,26000,1.0,0.0,1.0,0
4,5000,4,36,0.0,5.0,3.0,1.0,2.0,41000,0.0,1.0,1.0,0
4,28000,12,32,0.0,5.0,13.0,0.0,0.0,43000,1.0,2.0,1.0,0
4,5000,6,24,1.0,5.0,3.0,1.0,2.0,11000,0.0,2.0,1.0,0
12,37500,24,67,0.0,0.0,6.0,1.0,2.0,46000,0.0,3.0,0.0,0
12,191000,12,39,1.0,5.0,5.0,1.0,2.0,61000,0.0,1.0,1.0,0
10,36000,12,29,0.0,0.0,5.0,1.0,2.0,51000,2.0,2.0,0.0,0
3,7500,8,22,0.0,5.0,3.0,0.0,2.0,19000,0.0,1.0,1.0,0
4,9000,4,25,1.0,0.0,3.0,1.0,2.0,26000,0.0,2.0,0.0,0
6,41000,12,42,0.0,5.0,11.0,1.0,2.0,26000,1.0,0.0,1.0,0
8,33000,6,26,1.0,5.0,3.0,0.0,2.0,31000,0.0,4.0,1.0,0
10,47000,18,62,1.0,0.0,20.0,0.0,1.0,36000,0.0,0.0,1.0,0
12,11000,4,26,0.0,0.0,3.0,0.0,2.0,26000,1.0,1.0,1.0,0
10,38000,12,30,0.0,5.0,11.0,0.0,2.0,16000,0.0,0.0,0.0,0
10,8500,6,30,0.0,5.0,3.0,1.0,2.0,31000,0.0,0.0,1.0,0
1,35000,12,28,1.0,0.0,3.0,1.0,1.0,34000,0.0,1.0,1.0,0
1,28000,12,23,1.0,0.0,3.0,0.0,0.0,30000,0.0,1.0,1.0,0
7,10500,6,19,1.0,5.0,3.0,0.0,0.0,21000,0.0,0.0,1.0,0
8,13000,3,37,0.0,0.0,13.0,1.0,2.0,36000,0.0,0.0,0.0,0
3,11000,12,29,1.0,4.0,3.0,1.0,2.0,11000,0.0,1.0,1.0,1
8,14500,8,23,0.0,5.0,13.0,1.0,2.0,26000,0.0,2.0,1.0,0
4,26000,12,49,1.0,5.0,11.0,0.0,2.0,18000,1.0,1.0,1.0,1
1,14000,6,24,0.0,1.0,6.0,0.0,0.0,36000,0.0,3.0,1.0,0
4,27500,10,21,1.0,5.0,13.0,1.0,2.0,21000,0.0,0.0,1.0,0
1,8000,6,24,0.0,5.0,3.0,0.0,2.0,16000,1.0,1.0,1.0,0
3,25000,12,25,1.0,1.0,3.0,1.0,1.0,36000,1.0,1.0,0.0,0
8,65000,10,23,1.0,0.0,5.0,0.0,2.0,26000,0.0,1.0,0.0,0
5,14500,12,52,1.0,5.0,13.0,0.0,2.0,31000,0.0,2.0,0.0,0
8,57500,36,29,0.0,0.0,21.0,1.0,2.0,17000,0.0,1.0,1.0,0
2,10500,12,42,0.0,5.0,6.0,1.0,2.0,24000,0.0,0.0,1.0,0
7,12500,12,37,1.0,5.0,3.0,1.0,2.0,16000,0.0,2.0,1.0,0
3,11500,10,32,1.0,5.0,13.0,1.0,2.0,26000,0.0,0.0,0.0,0
1,8000,12,25,0.0,4.0,13.0,0.0,2.0,11000,1.0,3.0,1.0,1
4,16500,6,26,1.0,5.0,13.0,0.0,2.0,26000,0.0,3.0,0.0,0
8,5000,6,38,0.0,5.0,3.0,0.0,2.0,16000,0.0,1.0,0.0,0
10,186500,36,65,1.0,5.0,11.0,0.0,2.0,21000,0.0,0.0,1.0,0
11,19000,12,53,1.0,0.0,13.0,0.0,0.0,56000,0.0,0.0,1.0,0
2,76000,15,26,0.0,0.0,19.0,1.0,2.0,61000,0.0,0.0,0.0,0
3,8000,12,39,0.0,4.0,3.0,0.0,2.0,36000,0.0,3.0,1.0,0
3,7500,12,24,0.0,5.0,3.0,0.0,2.0,21000,0.0,2.0,1.0,0
2,29500,18,27,0.0,0.0,13.0,0.0,2.0,16000,0.0,1.0,1.0,0
8,15500,12,22,0.0,5.0,13.0,0.0,2.0,16000,0.0,0.0,0.0,0
3,14000,6,45,0.0,5.0,3.0,1.0,0.0,46000,0.0,1.0,1.0,1
12,11000,6,44,0.0,5.0,1.0,1.0,2.0,45000,0.0,2.0,0.0,0
1,17000,6,42,1.0,5.0,13.0,0.0,2.0,22000,0.0,1.0,1.0,0
12,6500,5,33,0.0,5.0,13.0,1.0,2.0,19000,0.0,2.0,0.0,0
6,17000,12,19,1.0,4.0,3.0,0.0,2.0,21000,0.0,1.0,1.0,0
6,19000,12,27,1.0,5.0,3.0,1.0,1.0,16000,0.0,2.0,0.0,0
10,21500,3,29,0.0,5.0,13.0,0.0,2.0,36000,0.0,0.0,1.0,0
1,14500,9,20,1.0,1.0,13.0,0.0,2.0,16000,1.0,0.0,1.0,0
5,27000,10,54,1.0,5.0,6.0,0.0,2.0,31000,0.0,1.0,1.0,0
5,7000,9,29,1.0,4.0,6.0,1.0,2.0,21000,0.0,2.0,1.0,0
3,10000,12,25,0.0,5.0,13.0,0.0,2.0,19000,0.0,3.0,1.0,0
11,47000,10,21,0.0,5.0,13.0,0.0,2.0,46000,1.0,1.0,1.0,0
8,39000,12,55,0.0,5.0,6.0,1.0,2.0,41000,0.0,0.0,0.0,0
3,7500,10,25,0.0,5.0,3.0,1.0,2.0,31000,0.0,1.0,1.0,0
12,22500,12,24,0.0,3.0,13.0,1.0,2.0,36000,0.0,2.0,1.0,0
12,29500,10,36,1.0,0.0,13.0,1.0,2.0,36000,0.0,0.0,0.0,0
4,25000,12,35,0.0,5.0,13.0,0.0,2.0,26000,0.0,1.0,0.0,0
12,21000,24,40,1.0,4.0,13.0,0.0,2.0,21000,1.0,0.0,1.0,0
2,33500,12,26,1.0,0.0,13.0,0.0,2.0,41000,1.0,0.0,0.0,0
9,18500,4,47,1.0,0.0,10.0,1.0,2.0,31000,1.0,1.0,0.0,0
6,31000,6,30,1.0,0.0,5.0,0.0,1.0,37000,0.0,1.0,1.0,0
1,15500,10,25,0.0,4.0,13.0,0.0,2.0,19000,0.0,1.0,1.0,1
10,6500,6,20,0.0,5.0,3.0,0.0,2.0,16000,0.0,0.0,1.0,0
12,37500,12,45,1.0,5.0,3.0,1.0,2.0,19000,0.0,1.0,1.0,0
5,38000,12,53,0.0,5.0,13.0,0.0,2.0,41000,1.0,0.0,1.0,0
8,27000,18,24,0.0,5.0,6.0,0.0,2.0,21000,0.0,0.0,0.0,0
9,16000,3,23,1.0,0.0,11.0,0.0,2.0,22000,0.0,3.0,1.0,0
11,22000,10,21,0.0,5.0,6.0,0.0,2.0,26000,1.0,1.0,1.0,0
3,133000,12,57,0.0,4.0,11.0,1.0,2.0,51000,0.0,0.0,1.0,0
11,25000,24,37,0.0,0.0,11.0,1.0,2.0,41000,0.0,1.0,1.0,0
4,14000,12,62,1.0,5.0,13.0,0.0,2.0,27000,0.0,1.0,1.0,0
5,13000,6,25,0.0,5.0,3.0,0.0,2.0,31000,0.0,2.0,1.0,0
2,12500,6,60,1.0,4.0,6.0,1.0,2.0,21000,0.0,1.0,0.0,0
12,98500,24,30,1.0,0.0,8.0,0.0,2.0,31000,0.0,1.0,1.0,1
9,31000,36,62,1.0,5.0,18.0,0.0,2.0,11000,0.0,1.0,0.0,0
7,26000,12,68,1.0,5.0,15.0,1.0,2.0,19000,0.0,1.0,1.0,0
2,14000,6,59,1.0,5.0,11.0,1.0,2.0,12000,0.0,1.0,1.0,0
3,15000,15,45,1.0,0.0,15.0,1.0,2.0,31000,1.0,2.0,0.0,1
3,43500,12,53,1.0,0.0,8.0,0.0,0.0,31000,1.0,0.0,1.0,0
10,26500,6,58,1.0,5.0,5.0,0.0,2.0,19000,0.0,2.0,1.0,0
5,20500,4,34,1.0,5.0,13.0,1.0,2.0,24000,0.0,1.0,1.0,0
5,18500,6,37,1.0,0.0,6.0,1.0,2.0,41000,0.0,1.0,1.0,0
10,32000,8,34,0.0,0.0,13.0,0.0,0.0,51000,0.0,1.0,1.0,0
7,32000,18,57,0.0,0.0,13.0,1.0,0.0,35000,1.0,3.0,1.0,0
6,49500,15,54,1.0,0.0,19.0,1.0,2.0,46000,0.0,1.0,0.0,0
2,35000,8,36,1.0,5.0,13.0,0.0,2.0,61000,0.0,2.0,1.0,0
9,33000,12,33,1.0,0.0,5.0,1.0,2.0,31000,0.0,0.0,0.0,0
12,14000,10,33,0.0,5.0,6.0,1.0,2.0,26000,1.0,1.0,1.0,0
10,19500,12,27,0.0,5.0,14.0,1.0,2.0,46000,2.0,0.0,0.0,0
12,32500,12,26,0.0,5.0,3.0,0.0,2.0,31000,0.0,0.0,1.0,0
1,20500,12,37,0.0,5.0,13.0,1.0,0.0,21000,0.0,0.0,1.0,0
3,39000,24,30,1.0,0.0,13.0,1.0,2.0,31000,0.0,3.0,1.0,0
5,15500,18,73,1.0,4.0,13.0,0.0,2.0,13000,0.0,1.0,1.0,0
4,151000,18,20,1.0,0.0,15.0,0.0,0.0,19000,0.0,2.0,1.0,0
2,28000,12,24,0.0,4.0,3.0,0.0,2.0,51000,2.0,0.0,0.0,0
1,19500,24,23,1.0,0.0,13.0,0.0,2.0,28000,0.0,2.0,1.0,0
10,38000,24,77,1.0,0.0,15.0,1.0,1.0,31000,1.0,0.0,0.0,0
1,11500,4,37,0.0,4.0,13.0,1.0,2.0,20000,0.0,2.0,1.0,0
4,73000,12,33,0.0,0.0,20.0,0.0,0.0,171000,0.0,0.0,0.0,0
9,27500,3,30,0.0,0.0,7.0,1.0,2.0,81000,0.0,2.0,0.0,0
