age,job,marital,education,default,balance,housing,loan,contact,campaign,pdays,previous,poutcome,__target__
47,2.0,1.0,3.0,1.0,-1445,1.0,0.0,2.0,2,-1,0,3.0,0
57,5.0,1.0,1.0,0.0,-418,0.0,1.0,2.0,1,-1,0,3.0,0
40,0.0,1.0,1.0,0.0,5,0.0,0.0,0.0,1,-1,0,3.0,0
46,7.0,0.0,0.0,0.0,3854,1.0,0.0,0.0,2,150,4,1.0,0
52,4.0,1.0,2.0,0.0,1355,1.0,0.0,0.0,1,241,1,0.0,0
54,7.0,1.0,1.0,0.0,3601,0.0,0.0,1.0,3,-1,0,3.0,0
37,7.0,1.0,1.0,0.0,981,0.0,0.0,0.0,2,386,1,2.0,1
43,6.0,1.0,2.0,0.0,64,0.0,0.0,2.0,2,-1,0,3.0,0
58,5.0,1.0,1.0,0.0,195,0.0,0.0,0.0,1,-1,0,3.0,0
47,1.0,1.0,1.0,0.0,0,1.0,0.0,0.0,4,180,2,1.0,0
28,7.0,2.0,1.0,0.0,229,1.0,0.0,2.0,1,-1,0,3.0,0
37,4.0,1.0,2.0,0.0,11391,1.0,0.0,0.0,1,-1,0,3.0,0
29,0.0,2.0,2.0,0.0,135,0.0,0.0,0.0,1,-1,0,3.0,0
38,4.0,1.0,2.0,0.0,46,0.0,0.0,0.0,4,-1,0,3.0,0
32,8.0,2.0,2.0,0.0,0,0.0,0.0,0.0,5,3,6,1.0,0
46,1.0,1.0,1.0,0.0,0,1.0,0.0,0.0,1,-1,0,3.0,0
40,9.0,1.0,1.0,0.0,4594,0.0,0.0,1.0,5,-1,0,3.0,0
36,0.0,2.0,1.0,0.0,135,1.0,0.0,0.0,2,192,3,1.0,0
54,1.0,1.0,0.0,0.0,-636,1.0,0.0,2.0,3,-1,0,3.0,0
51,2.0,1.0,3.0,0.0,2396,1.0,0.0,0.0,2,-1,0,3.0,0
45,9.0,1.0,2.0,0.0,1780,0.0,0.0,0.0,4,-1,0,3.0,0
41,9.0,1.0,1.0,0.0,4711,1.0,0.0,0.0,2,-1,0,3.0,0
70,9.0,1.0,1.0,0.0,3020,0.0,0.0,1.0,1,-1,0,3.0,0
50,4.0,1.0,2.0,0.0,2296,0.0,0.0,0.0,2,-1,0,3.0,0
31,9.0,2.0,2.0,0.0,3729,1.0,0.0,0.0,2,8,10,1.0,0
50,1.0,1.0,0.0,0.0,2590,1.0,0.0,1.0,2,195,6,0.0,0
35,1.0,2.0,2.0,0.0,1830,0.0,0.0,0.0,4,93,2,0.0,0
21,8.0,2.0,3.0,0.0,1506,0.0,0.0,0.0,1,-1,0,3.0,1
30,4.0,2.0,2.0,0.0,1161,1.0,0.0,0.0,3,-1,0,3.0,0
33,2.0,1.0,2.0,0.0,606,1.0,0.0,0.0,1,-1,0,3.0,0
28,7.0,2.0,1.0,0.0,217,1.0,0.0,0.0,3,-1,0,3.0,0
46,7.0,1.0,1.0,0.0,2948,0.0,0.0,0.0,1,-1,0,3.0,1
34,4.0,1.0,1.0,0.0,5127,0.0,1.0,0.0,2,-1,0,3.0,0
42,4.0,1.0,3.0,0.0,1333,1.0,0.0,2.0,2,-1,0,3.0,0
56,1.0,1.0,1.0,0.0,-382,1.0,0.0,2.0,4,-1,0,3.0,0
50,5.0,2.0,0.0,0.0,208,0.0,0.0,2.0,1,-1,0,3.0,0
32,6.0,2.0,2.0,0.0,562,1.0,1.0,0.0,1,-1,0,3.0,0
51,9.0,1.0,1.0,0.0,371,1.0,1.0,0.0,1,-1,0,3.0,1
60,5.0,0.0,3.0,0.0,-49,1.0,0.0,0.0,1,261,2,0.0,0
43,9.0,1.0,1.0,0.0,1824,1.0,0.0,2.0,1,-1,0,3.0,0
38,0.0,0.0,1.0,0.0,0,1.0,0.0,0.0,1,-1,0,3.0,0
30,4.0,2.0,2.0,0.0,344,0.0,0.0,0.0,3,-1,0,3.0,0
46,4.0,1.0,2.0,0.0,4879,0.0,0.0,0.0,3,-1,0,3.0,0
40,4.0,1.0,2.0,0.0,0,1.0,0.0,0.0,2,-1,0,3.0,1
36,9.0,1.0,1.0,0.0,494,1.0,0.0,2.0,3,-1,0,3.0,0
54,4.0,2.0,2.0,0.0,0,1.0,0.0,2.0,1,-1,0,3.0,0
31,0.0,2.0,1.0,0.0,78,0.0,0.0,2.0,1,-1,0,3.0,0
29,9.0,1.0,1.0,0.0,492,1.0,0.0,0.0,1,-1,0,3.0,0
59,5.0,1.0,1.0,0.0,56,0.0,0.0,2.0,1,-1,0,3.0,0
38,7.0,2.0,2.0,0.0,1418,0.0,0.0,0.0,1,-1,0,3.0,0
43,1.0,1.0,1.0,0.0,0,0.0,0.0,2.0,1,-1,0,3.0,0
27,6.0,2.0,2.0,0.0,516,0.0,0.0,0.0,1,-1,0,3.0,0
38,4.0,1.0,2.0,0.0,0,0.0,0.0,0.0,2,-1,0,3.0,0
32,0.0,1.0,1.0,0.0,187,0.0,1.0,2.0,3,-1,0,3.0,0
32,3.0,1.0,0.0,0.0,1349,1.0,0.0,0.0,2,-1,0,3.0,0
32,0.0,1.0,1.0,0.0,1661,1.0,0.0,0.0,1,209,2,0.0,0
42,4.0,2.0,2.0,0.0,11891,0.0,0.0,0.0,1,-1,0,3.0,1
59,5.0,1.0,1.0,0.0,9976,1.0,0.0,2.0,2,-1,0,3.0,0
33,4.0,2.0,2.0,0.0,561,0.0,0.0,0.0,1,-1,0,3.0,0
36,1.0,2.0,3.0,0.0,2054,0.0,0.0,2.0,1,-1,0,3.0,0
35,4.0,2.0,2.0,0.0,945,1.0,0.0,0.0,1,-1,0,3.0,0
43,7.0,1.0,1.0,0.0,384,1.0,1.0,2.0,3,-1,0,3.0,0
48,0.0,1.0,1.0,0.0,35,0.0,0.0,0.0,4,-1,0,3.0,0
36,4.0,1.0,2.0,0.0,9324,1.0,0.0,0.0,8,-1,0,3.0,0
38,1.0,1.0,1.0,0.0,1102,1.0,0.0,2.0,3,-1,0,3.0,0
35,1.0,1.0,1.0,0.0,0,1.0,0.0,2.0,4,-1,0,3.0,0
48,4.0,0.0,1.0,0.0,3324,0.0,0.0,0.0,4,-1,0,3.0,0
22,8.0,2.0,3.0,0.0,47,0.0,0.0,0.0,3,-1,0,3.0,0
26,1.0,2.0,1.0,0.0,65,0.0,0.0,2.0,3,-1,0,3.0,0
33,2.0,1.0,1.0,0.0,-118,1.0,1.0,2.0,3,-1,0,3.0,0
46,0.0,0.0,1.0,0.0,984,1.0,0.0,0.0,4,369,5,0.0,0
37,1.0,2.0,1.0,0.0,6,0.0,0.0,0.0,2,-1,0,3.0,0
30,6.0,1.0,2.0,0.0,1050,0.0,0.0,0.0,2,-1,0,3.0,0
34,1.0,1.0,1.0,0.0,262,0.0,0.0,0.0,1,-1,0,3.0,1
57,1.0,1.0,0.0,0.0,1236,0.0,0.0,2.0,9,-1,0,3.0,0
40,4.0,1.0,2.0,0.0,4675,0.0,0.0,0.0,1,-1,0,3.0,0
50,1.0,0.0,0.0,0.0,608,1.0,0.0,2.0,4,-1,0,3.0,0
44,9.0,2.0,1.0,0.0,196,1.0,0.0,0.0,3,-1,0,3.0,0
42,9.0,1.0,1.0,0.0,440,1.0,0.0,0.0,5,-1,0,3.0,0
56,0.0,0.0,1.0,0.0,3337,1.0,0.0,1.0,3,-1,0,3.0,0
58,1.0,1.0,0.0,0.0,0,0.0,0.0,1.0,1,-1,0,3.0,0
72,5.0,1.0,0.0,0.0,1388,0.0,0.0,1.0,1,-1,0,3.0,1
30,7.0,2.0,3.0,0.0,347,1.0,0.0,2.0,1,-1,0,3.0,0
36,1.0,1.0,1.0,0.0,7579,1.0,0.0,2.0,1,-1,0,3.0,0
30,10.0,1.0,2.0,0.0,0,1.0,0.0,0.0,1,-1,0,3.0,0
55,6.0,1.0,1.0,0.0,12159,1.0,0.0,0.0,5,139,4,0.0,0
40,9.0,0.0,1.0,0.0,700,1.0,1.0,0.0,2,-1,0,3.0,0
35,0.0,0.0,1.0,0.0,45,1.0,0.0,2.0,1,-1,0,3.0,0
36,9.0,2.0,2.0,0.0,268,0.0,0.0,0.0,12,-1,0,3.0,0
80,3.0,1.0,1.0,0.0,499,0.0,0.0,1.0,2,393,4,0.0,0
33,1.0,1.0,1.0,0.0,1541,1.0,0.0,2.0,2,-1,0,3.0,0
30,4.0,1.0,2.0,0.0,5204,1.0,0.0,0.0,1,-1,0,3.0,0
41,0.0,1.0,1.0,0.0,4539,0.0,0.0,2.0,3,-1,0,3.0,0
43,1.0,2.0,1.0,0.0,1306,1.0,0.0,0.0,1,336,1,0.0,0
44,1.0,1.0,0.0,0.0,23,1.0,0.0,2.0,1,-1,0,3.0,0
33,10.0,2.0,1.0,0.0,233,1.0,0.0,2.0,4,-1,0,3.0,0
51,5.0,1.0,1.0,0.0,1295,0.0,1.0,2.0,2,-1,0,3.0,0
32,9.0,1.0,1.0,0.0,1119,0.0,0.0,0.0,2,-1,0,3.0,0
49,9.0,2.0,3.0,0.0,350,0.0,0.0,0.0,3,-1,0,3.0,0
31,4.0,2.0,2.0,0.0,357,1.0,0.0,2.0,3,-1,0,3.0,0
30,8.0,2.0,1.0,0.0,314,0.0,0.0,0.0,1,204,6,2.0,0
58,1.0,1.0,1.0,0.0,72,0.0,0.0,0.0,5,-1,0,3.0,0
32,6.0,2.0,2.0,0.0,2559,0.0,0.0,0.0,1,-1,0,3.0,1
60,4.0,1.0,2.0,0.0,13546,0.0,0.0,0.0,3,-1,0,3.0,1
38,4.0,1.0,2.0,0.0,0,1.0,0.0,2.0,2,-1,0,3.0,0
53,7.0,1.0,1.0,0.0,514,1.0,0.0,0.0,3,-1,0,3.0,0
37,7.0,2.0,0.0,0.0,0,0.0,1.0,2.0,1,-1,0,3.0,0
50,0.0,1.0,1.0,0.0,663,1.0,0.0,0.0,3,-1,0,3.0,0
27,4.0,2.0,1.0,0.0,0,1.0,1.0,0.0,2,-1,0,3.0,0
33,6.0,2.0,2.0,0.0,544,1.0,0.0,0.0,1,-1,0,3.0,0
26,0.0,2.0,2.0,0.0,689,0.0,0.0,0.0,1,-1,0,3.0,0
37,0.0,0.0,1.0,0.0,0,1.0,0.0,2.0,5,-1,0,3.0,0
59,5.0,1.0,0.0,0.0,4949,0.0,1.0,2.0,8,-1,0,3.0,0
28,9.0,2.0,3.0,0.0,0,1.0,0.0,0.0,1,267,1,0.0,1
50,4.0,1.0,2.0,0.0,253,0.0,0.0,0.0,9,-1,0,3.0,1
28,4.0,2.0,2.0,1.0,1414,1.0,0.0,0.0,1,521,1,0.0,1
44,9.0,2.0,2.0,0.0,3432,1.0,0.0,0.0,30,-1,0,3.0,0
31,9.0,2.0,2.0,0.0,426,1.0,0.0,2.0,7,-1,0,3.0,0
57,7.0,0.0,3.0,0.0,1877,1.0,0.0,0.0,4,319,1,0.0,0
33,9.0,1.0,1.0,0.0,95,1.0,0.0,2.0,2,-1,0,3.0,0
58,5.0,1.0,0.0,0.0,701,0.0,0.0,0.0,4,-1,0,3.0,0
46,10.0,2.0,2.0,0.0,705,0.0,0.0,0.0,1,-1,0,3.0,0
35,7.0,2.0,1.0,0.0,417,1.0,0.0,0.0,3,-1,0,3.0,0
52,9.0,0.0,1.0,0.0,152,0.0,0.0,0.0,6,-1,0,3.0,1
49,7.0,1.0,1.0,0.0,1496,1.0,0.0,2.0,4,-1,0,3.0,0
34,9.0,2.0,1.0,1.0,-14,0.0,0.0,0.0,2,-1,0,3.0,0
57,4.0,1.0,3.0,0.0,1054,0.0,0.0,2.0,3,-1,0,3.0,0
38,9.0,1.0,1.0,0.0,205,0.0,0.0,0.0,1,-1,0,3.0,1
37,7.0,2.0,1.0,0.0,2,1.0,0.0,0.0,1,-1,0,3.0,0
58,0.0,0.0,1.0,0.0,1947,0.0,0.0,1.0,1,-1,0,3.0,1
31,0.0,1.0,1.0,0.0,1229,0.0,0.0,0.0,1,-1,0,3.0,1
36,4.0,1.0,2.0,0.0,93,0.0,0.0,0.0,2,182,7,0.0,1
43,6.0,1.0,1.0,1.0,-1415,0.0,0.0,0.0,1,-1,0,3.0,0
47,1.0,1.0,0.0,0.0,-100,1.0,0.0,2.0,1,-1,0,3.0,0
32,9.0,1.0,1.0,0.0,12,1.0,1.0,0.0,2,-1,0,3.0,0
31,9.0,2.0,1.0,0.0,11,1.0,0.0,0.0,9,-1,0,3.0,0
56,5.0,1.0,1.0,0.0,5737,0.0,0.0,0.0,5,-1,0,3.0,0
48,4.0,0.0,2.0,0.0,0,0.0,0.0,0.0,2,-1,0,3.0,0
47,7.0,1.0,1.0,0.0,0,0.0,1.0,2.0,2,-1,0,3.0,0
46,4.0,1.0,2.0,0.0,191,1.0,0.0,0.0,1,-1,0,3.0,0
43,4.0,1.0,2.0,0.0,3529,1.0,0.0,0.0,3,-1,0,3.0,0
28,9.0,2.0,1.0,0.0,280,1.0,0.0,2.0,3,-1,0,3.0,0
38,1.0,2.0,1.0,0.0,13156,1.0,0.0,0.0,4,331,1,0.0,0
47,7.0,0.0,1.0,0.0,430,1.0,1.0,2.0,1,-1,0,3.0,0
70,5.0,1.0,1.0,0.0,616,0.0,0.0,0.0,2,182,1,0.0,0
48,4.0,1.0,2.0,0.0,0,1.0,0.0,0.0,1,-1,0,3.0,0
38,9.0,0.0,1.0,0.0,902,1.0,0.0,0.0,1,-1,0,3.0,1
54,1.0,1.0,1.0,0.0,682,1.0,1.0,2.0,1,-1,0,3.0,0
36,1.0,2.0,1.0,0.0,3623,0.0,0.0,2.0,1,378,1,2.0,1
32,4.0,0.0,2.0,0.0,787,1.0,0.0,0.0,2,-1,0,3.0,0
45,1.0,1.0,1.0,0.0,1583,1.0,0.0,0.0,7,-1,0,3.0,0
45,1.0,1.0,0.0,0.0,292,1.0,0.0,0.0,4,-1,0,3.0,0
33,1.0,1.0,0.0,0.0,158,1.0,0.0,0.0,1,264,4,0.0,0
41,1.0,1.0,1.0,0.0,2913,0.0,0.0,0.0,1,-1,0,3.0,0
34,0.0,1.0,1.0,0.0,804,1.0,0.0,0.0,9,-1,0,3.0,0
37,4.0,2.0,2.0,0.0,600,1.0,0.0,0.0,2,196,1,0.0,0
33,1.0,1.0,1.0,0.0,-211,1.0,0.0,0.0,5,-1,0,3.0,0
28,9.0,1.0,1.0,0.0,930,1.0,1.0,2.0,1,-1,0,3.0,0
58,9.0,1.0,2.0,0.0,4656,0.0,0.0,0.0,6,-1,0,3.0,0
45,1.0,1.0,1.0,0.0,2071,0.0,1.0,1.0,2,-1,0,3.0,0
36,1.0,1.0,0.0,0.0,123,1.0,0.0,0.0,1,-1,0,3.0,0
46,4.0,0.0,2.0,0.0,-49,1.0,0.0,2.0,23,-1,0,3.0,0
44,0.0,1.0,1.0,0.0,72,1.0,1.0,2.0,2,-1,0,3.0,0
37,0.0,2.0,1.0,0.0,9,1.0,0.0,0.0,1,-1,0,3.0,0
47,10.0,1.0,1.0,1.0,0,0.0,0.0,0.0,2,-1,0,3.0,0
54,1.0,1.0,1.0,0.0,-932,1.0,0.0,2.0,1,-1,0,3.0,0
40,9.0,2.0,2.0,0.0,250,1.0,0.0,0.0,1,-1,0,3.0,0
36,9.0,1.0,2.0,0.0,0,0.0,0.0,0.0,1,-1,0,3.0,0
28,4.0,2.0,2.0,0.0,1808,0.0,0.0,0.0,1,-1,0,3.0,1
32,9.0,0.0,1.0,0.0,211,1.0,1.0,2.0,4,-1,0,3.0,0
30,6.0,2.0,1.0,0.0,311,1.0,1.0,2.0,3,-1,0,3.0,0
34,1.0,1.0,1.0,0.0,103,1.0,1.0,2.0,2,-1,0,3.0,0
42,2.0,1.0,1.0,0.0,215,1.0,1.0,0.0,1,-1,0,3.0,0
38,9.0,2.0,1.0,0.0,4359,0.0,0.0,0.0,2,-1,0,3.0,0
37,6.0,2.0,2.0,0.0,1004,1.0,0.0,2.0,3,-1,0,3.0,0
36,1.0,0.0,0.0,0.0,553,0.0,0.0,2.0,4,-1,0,3.0,0
31,4.0,2.0,2.0,0.0,924,0.0,0.0,0.0,2,98,1,2.0,1
50,9.0,1.0,1.0,0.0,841,1.0,0.0,2.0,2,-1,0,3.0,0
31,0.0,2.0,1.0,0.0,523,0.0,1.0,0.0,1,126,4,0.0,0
59,9.0,1.0,1.0,0.0,3562,0.0,0.0,0.0,1,-1,0,3.0,0
36,9.0,1.0,1.0,0.0,0,1.0,0.0,0.0,5,-1,0,3.0,0
46,2.0,1.0,3.0,0.0,4,0.0,1.0,0.0,4,-1,0,3.0,0
37,7.0,1.0,1.0,0.0,0,1.0,0.0,0.0,1,-1,0,3.0,0
37,10.0,1.0,1.0,0.0,1978,0.0,0.0,0.0,1,-1,0,3.0,1
56,5.0,1.0,1.0,0.0,485,0.0,0.0,0.0,2,-1,0,3.0,0
