MedianIncome,HousingMedianAge,TotalRooms,TotalBedrooms,Population,Households,Latitude,Longitude,__target__
4.0926,42,991.0,215.0,717.0,219.0,33.89,-118.09,12.010057761604216
2.2794,52,523.0,124.0,317.0,130.0,34.03,-118.46,12.729320789294722
2.4281,18,1435.0,257.0,657.0,254.0,36.29,-119.15,11.191341840842766
2.5,29,1121.0,291.0,762.0,276.0,33.87,-117.91,11.876178724269083
1.7016,27,1190.0,518.0,1795.0,422.0,34.07,-118.27,11.982929094215963
1.7038,13,1784.0,730.0,2158.0,682.0,34.04,-118.27,11.679287002185454
6.9135,52,2010.0,286.0,908.0,326.0,34.17,-118.27,12.832011076396668
5.6874,16,1660.0,236.0,733.0,214.0,33.16,-117.14,12.21948233244009
1.9906,29,2781.0,617.0,890.0,310.0,38.88,-122.72,11.47833402020061
1.6563,31,1072.0,279.0,781.0,281.0,38.61,-121.47,11.094375117313408
1.6953,19,2393.0,729.0,1938.0,762.0,34.19,-119.18,12.028141437037512
2.754,21,1789.0,679.0,2300.0,677.0,34.2,-118.59,12.099600401019655
3.1053,37,2811.0,539.0,1574.0,516.0,38.08,-122.22,11.479368681441386
3.6682,33,3162.0,722.0,1553.0,686.0,37.34,-121.97,12.49162745696578
1.8696,52,500.0,113.0,480.0,108.0,32.71,-117.14,11.41971308324805
1.4577,38,1481.0,353.0,1543.0,372.0,36.71,-119.75,10.815770263012745
2.6471,16,1537.0,364.0,1125.0,375.0,38.58,-121.3,11.415312636103229
2.8347,34,1914.0,364.0,1564.0,328.0,34.04,-117.76,11.659619844121032
3.5435,52,2602.0,714.0,1330.0,647.0,37.77,-122.45,12.537532340327845
1.3071,51,1321.0,550.0,781.0,499.0,32.72,-117.15,12.429216196844385
2.933,26,2947.0,647.0,825.0,626.0,37.88,-122.08,11.350406535472452
3.4193,45,2264.0,502.0,1970.0,499.0,33.73,-117.87,12.083905011555968
3.0598,13,1543.0,383.0,776.0,358.0,34.04,-117.67,11.50992095594993
9.6986,6,4186.0,515.0,1794.0,541.0,33.58,-117.66,12.787170322281495
4.425,26,1373.0,336.0,608.0,268.0,32.85,-117.27,13.071070083016778
6.6272,19,771.0,103.0,376.0,108.0,32.66,-117.02,12.519422464730532
3.7328,38,1619.0,379.0,886.0,357.0,33.99,-118.05,12.113957356622368
3.055,33,1597.0,406.0,1888.0,423.0,33.87,-117.92,11.96908368739391
1.8576,37,773.0,314.0,835.0,312.0,34.09,-118.31,12.174581978438804
4.8958,49,702.0,143.0,458.0,187.0,34.05,-118.38,12.717697949466729
3.6292,27,4140.0,969.0,2135.0,893.0,37.31,-121.95,12.485974530662991
2.1779,36,1437.0,331.0,1073.0,320.0,37.6,-120.98,10.97507116881632
2.5762,29,5154.0,1394.0,3741.0,1273.0,37.78,-122.28,12.06335634332858
4.2891,48,1308.0,286.0,835.0,294.0,34.13,-118.23,12.277462641616848
10.0263,52,154.0,28.0,37.0,16.0,35.42,-119.11,12.206072645530174
7.8532,8,2534.0,380.0,1527.0,364.0,37.44,-121.89,12.95465453297822
3.2404,39,2855.0,574.0,1217.0,562.0,38.54,-121.44,11.446785662465684
3.0694,37,1236.0,309.0,966.0,292.0,34.03,-118.37,11.713414325719633
3.6389,36,726.0,145.0,490.0,130.0,33.91,-118.1,12.02933546703012
4.1429,37,880.0,154.0,369.0,155.0,34.17,-118.5,12.623466324503612
4.875,33,1520.0,239.0,658.0,242.0,33.78,-117.96,12.50358127879969
5.1762,16,4632.0,761.0,3038.0,727.0,34.01,-117.86,12.485218386959668
3.1662,7,6837.0,1417.0,3468.0,1405.0,38.48,-122.79,12.160028707028768
3.775,40,1550.0,278.0,798.0,270.0,33.94,-118.31,11.94340833605368
4.7813,39,1912.0,418.0,970.0,406.0,37.73,-122.44,12.526342907575106
1.676,44,2666.0,830.0,2297.0,726.0,34.09,-118.32,12.24913213499062
3.0192,19,3354.0,699.0,1948.0,682.0,32.79,-116.93,11.865692784077943
2.5234,37,1054.0,239.0,879.0,257.0,36.58,-119.44,11.058795184880784
1.6675,6,2155.0,544.0,1039.0,391.0,34.05,-117.3,11.470017963958952
2.7139,30,3161.0,813.0,1865.0,771.0,33.73,-118.29,12.353198710420468
3.3545,24,6347.0,1548.0,2945.0,1492.0,34.17,-118.4,12.308177868467329
3.625,25,5016.0,963.0,2133.0,928.0,36.82,-119.78,11.401993904262946
5.8891,37,3457.0,544.0,1344.0,530.0,34.1,-117.73,12.328290278254425
15.0001,48,1371.0,164.0,528.0,155.0,34.19,-118.18,13.122365377402328
4.3859,45,1620.0,344.0,941.0,328.0,37.75,-122.5,12.506917704508236
2.3382,38,576.0,130.0,478.0,112.0,37.29,-120.32,10.99541085305344
3.402,23,4030.0,813.0,1852.0,778.0,38.25,-122.65,12.171998665196424
3.3672,18,3895.0,689.0,1086.0,375.0,34.26,-117.28,11.802605540084684
4.375,47,1256.0,217.0,570.0,218.0,37.77,-122.16,11.994734139665727
3.1364,38,1729.0,394.0,801.0,395.0,34.44,-119.73,12.7868906411162
4.3125,37,3049.0,508.0,1287.0,439.0,38.5,-122.48,12.529966099944527
5.1033,15,4260.0,746.0,1701.0,669.0,34.17,-118.88,12.92561829994465
1.9045,20,11709.0,3618.0,7604.0,3589.0,37.43,-122.15,12.834681304952548
2.6973,31,3473.0,722.0,2098.0,677.0,32.74,-117.01,11.814510442591
2.4135,52,1770.0,435.0,1848.0,439.0,34.07,-118.21,12.02694597963274
2.5658,45,2283.0,509.0,1093.0,475.0,34.05,-118.36,12.43718436649356
8.176,18,3674.0,577.0,1590.0,550.0,34.26,-118.53,12.639152920671313
2.0087,36,4179.0,1266.0,4582.0,1196.0,33.98,-118.19,12.05583098219963
6.358,26,3281.0,531.0,1145.0,480.0,37.58,-122.4,13.122365377402328
2.2167,40,543.0,101.0,259.0,89.0,37.73,-122.38,12.174581978438804
2.1419,30,2188.0,455.0,1033.0,437.0,39.22,-121.08,11.563618579285746
2.2917,44,376.0,87.0,273.0,107.0,34.09,-117.28,11.416414564589385
1.5972,34,1102.0,448.0,1325.0,439.0,34.05,-118.29,12.036469861143994
3.1827,31,1466.0,264.0,608.0,254.0,38.02,-121.33,11.995968707723769
4.2917,33,1348.0,260.0,1098.0,257.0,34.04,-118.05,11.990401109054664
2.2596,40,1552.0,419.0,1919.0,427.0,34.01,-118.16,11.831379196088765
3.1977,31,1431.0,370.0,704.0,393.0,36.58,-121.9,12.575219490964226
6.4114,15,5736.0,800.0,2529.0,762.0,33.6,-117.65,12.53789121347004
4.2708,15,3201.0,677.0,1510.0,622.0,33.7,-117.92,11.993498045565198
5.6163,27,2287.0,353.0,1140.0,351.0,33.83,-117.87,12.35017298950393
1.9135,16,638.0,147.0,380.0,132.0,37.36,-120.61,11.379394072345706
1.5427,28,2136.0,575.0,1799.0,476.0,33.95,-118.25,11.468973577441046
6.2152,13,843.0,157.0,918.0,152.0,32.79,-116.66,12.390891082522716
3.3512,32,4275.0,1061.0,2812.0,1012.0,34.1,-118.07,12.274198474577776
8.1125,16,8879.0,1239.0,3468.0,1200.0,34.28,-118.55,12.968279362021612
1.3897,38,238.0,72.0,191.0,67.0,36.61,-121.85,11.736069016284436
2.1875,16,994.0,185.0,495.0,181.0,40.44,-122.42,11.243737975154612
5.5073,6,2864.0,642.0,1404.0,603.0,34.45,-119.75,12.48294651926535
2.7,45,1610.0,406.0,1148.0,347.0,34.41,-118.8,11.698574811856858
3.0156,32,728.0,136.0,461.0,149.0,36.57,-119.3,11.600020171821162
3.1106,18,5862.0,1322.0,3161.0,1280.0,34.19,-118.55,12.047076914039716
5.34,9,6751.0,1575.0,4240.0,1438.0,37.4,-121.88,12.458386574144164
5.6427,26,3756.0,553.0,1408.0,535.0,37.28,-121.9,12.676076274775909
3.0726,52,1052.0,239.0,381.0,201.0,32.75,-117.17,12.5762559394937
6.2079,12,4992.0,780.0,2106.0,801.0,33.24,-117.2,12.635579748118577
6.2871,26,1528.0,234.0,607.0,218.0,33.45,-117.64,12.69311774063076
1.7566,25,2516.0,543.0,1266.0,494.0,40.03,-122.1,10.97507116881632
1.7083,41,812.0,168.0,375.0,158.0,34.83,-114.59,10.789319076925574
1.8942,45,350.0,66.0,225.0,72.0,38.17,-122.23,12.28626918752445
2.7663,29,4610.0,1043.0,1569.0,592.0,34.25,-117.31,11.491701828518602
4.712,20,3759.0,609.0,1705.0,600.0,39.66,-121.77,11.974140588182884
2.3006,23,6403.0,1370.0,3573.0,1260.0,36.76,-119.72,11.141861783579396
6.7061,23,3741.0,501.0,1339.0,499.0,37.94,-122.01,12.68323806780353
6.8773,18,3167.0,478.0,1414.0,482.0,37.11,-121.75,13.055582343713978
3.4659,31,2567.0,507.0,1198.0,499.0,32.78,-117.02,12.0015054797889
4.6328,30,1955.0,388.0,999.0,386.0,37.35,-121.97,12.567585866109155
1.4913,32,1098.0,226.0,726.0,224.0,36.83,-119.69,10.907789161732996
0.8527,43,793.0,235.0,736.0,231.0,33.94,-118.25,11.411999546380269
3.2413,31,2516.0,526.0,2194.0,497.0,34.06,-117.97,11.954401010601426
2.2708,18,3759.0,1621.0,3296.0,1462.0,34.07,-118.3,12.072541252905651
8.6155,17,2070.0,278.0,797.0,275.0,37.36,-122.0,12.926834993123093
3.5486,35,3776.0,733.0,1583.0,749.0,34.01,-118.35,12.713191407364835
3.2798,45,1283.0,253.0,1025.0,248.0,33.92,-118.2,11.85793260404128
4.9489,45,891.0,155.0,384.0,146.0,37.75,-122.24,12.417548391976702
2.5625,30,2346.0,567.0,1988.0,474.0,34.14,-117.99,11.938193200374572
3.1654,34,1113.0,313.0,928.0,290.0,34.05,-118.22,11.951180395901384
3.2321,11,4415.0,723.0,1520.0,627.0,38.71,-121.19,12.875951199150764
2.8365,21,1231.0,204.0,609.0,206.0,36.25,-119.32,11.407564949312402
4.0789,35,2273.0,410.0,1431.0,403.0,34.2,-118.56,12.18943500437715
3.0673,22,894.0,192.0,830.0,202.0,33.75,-116.21,11.130199843831551
11.2979,24,4394.0,535.0,1443.0,528.0,34.13,-118.49,13.122365377402328
2.3333,36,1110.0,307.0,1417.0,302.0,33.94,-118.23,11.430630222243398
3.0546,33,4492.0,1583.0,3477.0,1537.0,37.7,-122.48,12.604513138701371
9.802,8,1266.0,210.0,375.0,183.0,33.62,-117.87,13.122365377402328
5.795,22,3577.0,553.0,1371.0,501.0,38.32,-122.53,12.713793454342683
5.5138,7,5129.0,820.0,2824.0,738.0,38.15,-122.22,12.050003459880283
4.3047,27,2676.0,652.0,2661.0,623.0,34.3,-118.45,11.932293478247384
2.9688,39,2254.0,415.0,1388.0,404.0,37.72,-122.46,12.354492650648448
0.9336000000000002,10,934.0,260.0,401.0,255.0,37.66,-120.98,11.752729457177546
1.6607,18,164.0,30.0,104.0,32.0,37.37,-120.67,11.379394072345706
4.6,34,1653.0,292.0,1003.0,310.0,33.89,-118.01,12.222929762596596
2.7587,15,2849.0,668.0,1546.0,582.0,36.97,-121.97,12.339729030342848
2.2969,47,617.0,162.0,754.0,144.0,33.98,-118.25,11.667361818274648
12.3292,29,570.0,76.0,244.0,72.0,37.38,-121.81,12.940121817410544
5.3169,34,760.0,174.0,723.0,198.0,33.89,-118.36,12.335344981234313
6.5338,13,2644.0,422.0,1197.0,399.0,33.1,-117.28,12.4983690555327
2.1411,52,1591.0,372.0,817.0,357.0,38.1,-122.25,11.48452599044853
2.3654,49,806.0,199.0,698.0,172.0,34.15,-118.15,11.831379196088765
2.3913,35,1147.0,365.0,1016.0,296.0,34.08,-118.27,12.20005457320461
1.9342,32,2293.0,466.0,1538.0,468.0,36.39,-119.31,11.136047813713976
3.5045,30,1695.0,480.0,932.0,447.0,37.39,-122.07,12.77280590123446
2.148,46,1748.0,428.0,1707.0,409.0,34.0,-118.27,11.550221249713925
2.7457,17,2807.0,529.0,675.0,251.0,38.88,-119.99,11.588032937457031
4.3214,28,2970.0,471.0,1379.0,463.0,38.7,-121.2,11.788281887731372
4.2212,52,2019.0,418.0,999.0,448.0,37.74,-122.42,12.510980498647022
4.0481,52,1683.0,266.0,646.0,256.0,34.14,-117.29,11.485554268174097
1.9213,52,1533.0,336.0,754.0,340.0,39.44,-123.8,11.461632170582678
1.6033,14,1555.0,369.0,493.0,335.0,38.35,-122.7,11.119882876860622
4.7986,52,1704.0,277.0,746.0,262.0,34.19,-118.3,12.69495936177741
2.6111,13,9444.0,1997.0,4166.0,1482.0,34.15,-116.09,11.09133097493218
5.0686,19,2957.0,492.0,1639.0,495.0,33.62,-117.7,12.32651879860604
4.1806,44,1404.0,229.0,513.0,217.0,32.74,-117.23,12.48294651926535
4.45,46,1777.0,362.0,896.0,334.0,34.0,-118.45,12.760819456354092
3.2708,33,1139.0,299.0,734.0,257.0,34.0,-118.42,12.691580461311874
1.6851,46,2217.0,489.0,1227.0,448.0,34.02,-118.31,11.59726661340398
4.445,52,1760.0,366.0,742.0,318.0,37.77,-122.43,12.89921982609012
2.4273,27,3436.0,755.0,1568.0,709.0,38.9,-121.08,11.837903322165706
2.2333,36,1518.0,287.0,749.0,255.0,36.32,-119.63,11.018629143155447
7.7743,27,2169.0,305.0,905.0,319.0,37.53,-122.35,13.023868130655227
9.3399,36,1543.0,214.0,474.0,187.0,33.88,-118.4,13.122365377402328
2.875,40,1935.0,461.0,1616.0,433.0,33.92,-118.29,11.696912301083245
5.0299,40,756.0,122.0,371.0,130.0,33.89,-118.36,12.704420747785052
3.7826,5,3700.0,993.0,1657.0,848.0,33.79,-118.15,12.187399380264551
2.6895,30,2953.0,703.0,1406.0,580.0,33.97,-117.38,11.918390573078392
3.1042,37,1091.0,269.0,905.0,242.0,34.07,-118.03,11.931635799828411
1.9327,52,2031.0,450.0,958.0,445.0,37.86,-122.28,12.042965307660024
1.4803,10,1277.0,488.0,730.0,417.0,33.87,-117.93,11.831379196088765
4.675,33,2206.0,393.0,973.0,364.0,33.94,-118.12,12.553202176625376
5.1386,42,1691.0,286.0,761.0,281.0,32.7,-117.18,12.910407015480684
5.3441,21,4203.0,618.0,1620.0,600.0,32.81,-117.01,12.173032791451972
5.25,25,1577.0,266.0,611.0,284.0,32.78,-117.15,12.231252944060472
4.4489,16,3389.0,597.0,1674.0,568.0,38.69,-121.27,11.888618414744723
2.4167,22,1360.0,282.0,808.0,229.0,38.65,-121.7,12.323855681186558
3.8846,40,2406.0,423.0,1054.0,426.0,38.4,-122.82,12.282570616502898
3.2279,39,787.0,181.0,731.0,179.0,34.08,-118.17,11.973509872299472
3.6118,34,3090.0,593.0,1588.0,566.0,38.0,-121.79,11.733666131668128
1.6557,10,1711.0,499.0,1896.0,443.0,33.64,-116.15,11.08827753744529
5.2206,6,6106.0,1134.0,3246.0,1062.0,34.28,-118.91,12.543258912885044
2.4612,45,1569.0,359.0,1203.0,359.0,34.03,-118.14,12.103486056755072
3.8531,21,3622.0,667.0,2503.0,720.0,34.08,-117.4,11.5655179150894
0.9298,36,2452.0,734.0,2664.0,667.0,33.93,-118.25,11.512925464970229
2.7006,17,7352.0,1699.0,3331.0,1634.0,32.79,-117.03,12.02154866518102
5.0286,30,1979.0,342.0,999.0,320.0,34.89,-120.43,11.970350312009105
3.9038,21,2471.0,677.0,1486.0,689.0,37.36,-122.02,12.404103496029308
7.1754,52,2318.0,328.0,779.0,312.0,37.9,-122.28,12.801882593201162
4.1292,28,1642.0,434.0,1575.0,420.0,33.82,-118.27,12.21552780430093
2.6062,33,2820.0,515.0,976.0,403.0,41.4,-120.12,10.8704713987258
5.222,42,3105.0,559.0,1253.0,531.0,34.05,-118.39,13.122365377402328
2.2917,37,794.0,210.0,814.0,213.0,33.97,-118.25,11.626254150277232
3.2292,52,1691.0,301.0,618.0,239.0,36.47,-120.95,12.323855681186558
7.472,10,4926.0,749.0,1478.0,634.0,32.99,-117.25,12.99430270733681
2.7002,6,7423.0,2111.0,4092.0,1789.0,34.05,-117.31,11.388495386592052
15.0001,32,4281.0,501.0,1318.0,484.0,37.44,-122.22,13.122365377402328
3.3333,49,1283.0,238.0,576.0,236.0,37.9,-122.29,12.531050502725652
3.25,36,1463.0,369.0,1492.0,366.0,34.06,-118.1,12.096257779522968
3.5859,30,1677.0,372.0,1021.0,332.0,33.9,-117.99,12.204571519403906
1.7179,5,2878.0,785.0,1727.0,758.0,32.74,-117.04,11.790557201568507
1.7675,26,5359.0,1508.0,1829.0,1393.0,33.77,-118.09,11.023535121924304
5.2957,18,6860.0,1079.0,3205.0,1058.0,38.09,-122.2,12.05466819137094
3.5,17,1521.0,309.0,607.0,240.0,38.47,-120.76,11.726422639232633
2.1764,24,7779.0,1835.0,3996.0,1765.0,34.02,-117.51,11.81524981415888
5.5136,19,2526.0,381.0,1176.0,381.0,34.18,-117.3,11.828465865550406
2.9167,35,2226.0,602.0,2230.0,549.0,34.08,-118.18,11.76989056475995
4.2917,5,3634.0,718.0,1317.0,743.0,34.19,-119.0,12.336662215233776
3.175,11,2322.0,459.0,1373.0,424.0,38.4,-121.35,11.455296352133592
2.9432,49,1851.0,356.0,849.0,307.0,38.1,-122.24,11.54732689168756
3.2121,37,3112.0,716.0,1304.0,674.0,32.69,-117.18,12.678573154974496
7.3004,32,166.0,22.0,63.0,29.0,34.17,-119.08,11.736069016284436
7.263899999999999,15,2130.0,273.0,876.0,285.0,37.67,-121.9,12.71409434196343
4.4042,9,2107.0,411.0,1138.0,389.0,34.02,-117.65,11.977288214325878
5.9145,35,1542.0,298.0,1164.0,318.0,37.4,-122.0,12.375393390146876
8.8281,25,4150.0,570.0,1424.0,547.0,33.71,-118.05,13.042453994176029
3.7454,35,2342.0,426.0,2176.0,416.0,34.05,-117.98,11.963363938721123
3.0882,14,4054.0,787.0,1581.0,579.0,34.95,-119.16,11.906317991844125
3.2308,26,2119.0,444.0,1202.0,440.0,32.81,-117.13,12.022750588402635
1.8929,30,1615.0,570.0,1245.0,544.0,34.14,-118.25,12.190451264627216
2.5428,45,2174.0,627.0,1992.0,557.0,34.08,-118.26,12.030528073015242
2.2961,10,629.0,140.0,635.0,146.0,38.03,-121.33,11.74957736630923
3.5985,36,2916.0,785.0,1183.0,749.0,33.76,-118.15,13.122365377402328
1.3654,47,1064.0,245.0,603.0,190.0,39.51,-121.56,10.966472663561088
5.2937,17,3208.0,617.0,2286.0,602.0,37.41,-121.96,12.380025952653613
4.5224,24,4055.0,742.0,2123.0,744.0,32.79,-116.92,11.8635823365834
1.1917,32,1164.0,248.0,588.0,270.0,34.71,-118.14,11.372513311253485
2.0474,37,2330.0,495.0,1505.0,470.0,39.36,-121.7,10.933106969717286
6.6494,35,2020.0,451.0,724.0,399.0,33.88,-118.44,13.122365377402328
2.9318,26,3071.0,615.0,2156.0,568.0,32.68,-117.08,11.629819216441728
2.5,43,527.0,133.0,367.0,152.0,37.96,-121.26,11.060368749328214
7.4787,33,6499.0,998.0,2694.0,957.0,37.5,-122.28,12.974559182635934
2.2552,14,1924.0,926.0,2226.0,792.0,34.07,-118.28,12.490875577231112
1.8125,25,991.0,272.0,941.0,262.0,36.76,-120.38,10.968198289528557
7.7751,13,3137.0,417.0,1318.0,397.0,35.39,-118.94,12.1761287691571
3.4856,28,2292.0,531.0,2197.0,509.0,33.86,-117.87,11.86920032888762
2.625,33,2886.0,726.0,2650.0,728.0,34.0,-118.11,12.09346370114752
1.0,34,161.0,48.0,66.0,33.0,34.2,-118.42,12.141534124392605
4.575,16,2186.0,511.0,908.0,466.0,33.77,-117.85,12.323855681186558
4.8105,23,4763.0,828.0,2198.0,771.0,34.42,-119.28,12.65395846952229
13.8556,52,2416.0,291.0,810.0,270.0,34.05,-118.49,13.122365377402328
3.2857,37,1152.0,259.0,981.0,225.0,33.89,-118.08,11.94210709969571
2.5833,26,1284.0,239.0,820.0,254.0,36.9,-119.98,11.039716704775543
4.084,7,17579.0,3479.0,3581.0,1820.0,33.74,-116.38,12.178187442040638
4.4762,30,5398.0,926.0,2672.0,864.0,33.94,-117.55,12.00701176473192
6.9931,25,1821.0,344.0,349.0,179.0,38.36,-122.26,12.89621531706982
4.4597,29,3201.0,640.0,1722.0,570.0,37.14,-122.11,12.226365348797936
4.69,35,3079.0,579.0,1807.0,589.0,34.39,-119.3,12.202566506200888
2.2095,36,2162.0,658.0,1337.0,590.0,34.16,-118.13,12.082208658307788
9.2175,35,2426.0,359.0,937.0,387.0,33.62,-117.91,13.122365377402328
5.5164,15,2053.0,321.0,993.0,309.0,32.75,-116.87,12.424806488355683
2.6364,36,1407.0,385.0,1763.0,350.0,33.97,-118.14,11.918390573078392
5.3678,7,11818.0,1745.0,5499.0,1600.0,34.14,-117.58,12.353198710420468
2.3977,11,658.0,131.0,376.0,120.0,33.97,-116.86,10.968198289528557
4.0313,18,2040.0,402.0,350.0,129.0,39.04,-120.16,11.744037185933616
3.0577,41,1204.0,252.0,1002.0,248.0,33.99,-118.07,12.003344278958556
2.9083,32,2564.0,513.0,1198.0,459.0,37.8,-120.99,11.638676670275787
3.1563,22,2442.0,624.0,1301.0,290.0,36.85,-121.91,12.611537753638338
5.1207,34,1980.0,385.0,970.0,391.0,37.53,-122.28,12.647226596046846
3.6696,19,1967.0,487.0,1251.0,404.0,33.71,-117.99,12.295913349529965
