Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,__target__
3.0,2.0,5,4,215,2,2.0,1.0,34,2713,1
0.0,2.0,3,3,183,5,1.0,0.0,3,1504,0
0.0,2.0,6,3,271,4,2.0,0.0,1,1733,0
4.0,2.0,4,2,96,3,1.0,1.0,22,1294,1
3.0,2.0,4,3,224,3,2.0,0.0,9,5283,1
0.0,0.0,5,5,105,4,1.0,1.0,6,5135,1
2.0,2.0,5,5,175,6,1.0,0.0,2,4883,1
4.0,1.0,3,5,193,3,2.0,0.0,6,5302,0
2.0,0.0,3,5,121,3,1.0,0.0,10,1701,1
3.0,2.0,5,4,221,5,1.0,0.0,8,1927,1
0.0,1.0,4,4,145,3,1.0,0.0,43,1651,1
0.0,1.0,6,3,233,3,2.0,0.0,9,4293,1
4.0,0.0,6,1,250,4,1.0,0.0,2,1783,1
2.0,1.0,6,1,280,4,1.0,0.0,5,1624,0
1.0,2.0,3,2,231,3,1.0,0.0,5,5046,0
2.0,0.0,5,4,180,2,1.0,1.0,52,1122,1
0.0,1.0,4,1,228,3,1.0,0.0,9,4678,0
0.0,2.0,4,1,253,3,2.0,0.0,9,5502,1
0.0,0.0,6,5,267,4,1.0,1.0,3,1550,0
3.0,2.0,2,2,182,2,2.0,0.0,14,3751,1
4.0,2.0,5,3,239,4,1.0,1.0,3,3734,1
2.0,2.0,3,1,268,3,1.0,0.0,47,2479,1
0.0,0.0,5,5,177,2,0.0,0.0,31,2000,1
4.0,2.0,2,2,254,2,1.0,0.0,8,5827,0
2.0,2.0,4,5,246,6,1.0,1.0,1,1400,1
4.0,2.0,3,3,218,3,1.0,1.0,19,3770,1
0.0,1.0,4,4,153,3,1.0,0.0,27,1613,1
2.0,2.0,2,2,212,4,2.0,0.0,3,1284,1
1.0,0.0,4,2,167,2,1.0,0.0,5,1169,1
4.0,2.0,5,2,254,2,2.0,1.0,4,4180,1
0.0,2.0,5,3,230,3,2.0,0.0,7,4844,0
0.0,2.0,3,5,175,2,1.0,1.0,59,1051,1
3.0,2.0,3,4,240,3,0.0,0.0,6,4412,0
0.0,1.0,4,3,134,2,1.0,0.0,2,4522,0
0.0,1.0,3,1,200,2,1.0,0.0,5,4884,0
4.0,2.0,3,4,124,4,2.0,0.0,10,5011,0
2.0,2.0,3,2,135,7,2.0,0.0,5,4716,0
2.0,2.0,4,4,249,3,2.0,0.0,1,5743,0
2.0,2.0,3,3,255,2,1.0,1.0,8,5955,1
4.0,2.0,3,2,141,3,2.0,0.0,41,1801,1
3.0,2.0,3,5,252,2,0.0,1.0,4,4098,1
0.0,1.0,3,1,180,3,0.0,0.0,21,1047,1
3.0,2.0,4,4,266,2,1.0,0.0,2,4290,0
3.0,2.0,4,4,140,3,2.0,1.0,11,1911,1
2.0,0.0,3,2,227,3,0.0,1.0,5,4167,1
4.0,2.0,5,1,245,5,1.0,0.0,3,1956,1
3.0,2.0,4,4,267,4,1.0,0.0,8,5219,1
2.0,2.0,6,3,282,4,2.0,0.0,8,1375,0
1.0,2.0,3,1,248,2,2.0,1.0,1,5703,0
3.0,1.0,5,4,269,3,2.0,1.0,15,2522,1
4.0,2.0,3,5,157,2,2.0,0.0,4,5991,0
4.0,2.0,3,2,201,3,2.0,1.0,5,2040,1
3.0,2.0,6,2,267,4,1.0,1.0,10,1580,0
4.0,2.0,3,5,187,2,2.0,0.0,50,2598,1
4.0,0.0,3,2,164,4,2.0,1.0,6,5761,0
4.0,2.0,4,3,150,2,2.0,1.0,31,1588,1
4.0,2.0,5,2,244,5,1.0,1.0,10,1699,0
4.0,2.0,4,1,271,2,2.0,0.0,8,2401,1
4.0,2.0,7,4,291,4,2.0,1.0,1,1817,1
4.0,2.0,4,5,196,3,2.0,1.0,16,3722,1
4.0,2.0,5,3,216,3,1.0,0.0,40,2146,1
1.0,2.0,6,4,291,4,1.0,0.0,5,1327,0
1.0,2.0,2,4,225,10,0.0,1.0,56,3384,1
4.0,0.0,4,2,256,4,1.0,0.0,7,5571,0
2.0,1.0,4,5,148,3,0.0,0.0,6,5473,1
2.0,2.0,6,5,206,6,1.0,1.0,2,4014,1
3.0,2.0,6,1,280,4,2.0,1.0,5,1431,0
4.0,2.0,5,3,266,2,1.0,0.0,61,2118,1
2.0,2.0,3,4,267,2,1.0,1.0,9,5940,0
3.0,2.0,3,2,160,4,1.0,0.0,9,5112,1
1.0,2.0,5,3,192,3,2.0,0.0,6,4037,1
2.0,2.0,4,2,220,5,1.0,1.0,33,2854,1
2.0,0.0,4,4,147,3,2.0,1.0,9,4534,1
1.0,2.0,4,2,151,3,2.0,1.0,8,4390,1
2.0,2.0,3,3,221,3,1.0,0.0,5,4388,0
1.0,2.0,4,1,136,3,2.0,0.0,4,5060,1
1.0,2.0,4,5,228,5,1.0,1.0,5,1373,1
1.0,1.0,3,5,264,6,1.0,1.0,30,2751,1
1.0,2.0,3,5,142,2,1.0,1.0,6,5974,1
0.0,2.0,2,3,258,2,1.0,1.0,4,5052,1
3.0,2.0,5,3,237,2,2.0,1.0,3,5113,0
1.0,1.0,4,2,187,3,0.0,0.0,5,4897,1
0.0,2.0,3,3,273,6,1.0,1.0,6,1771,1
4.0,0.0,6,3,225,4,1.0,1.0,5,4184,1
4.0,2.0,4,3,275,3,1.0,0.0,3,4824,0
2.0,2.0,5,1,258,3,2.0,1.0,7,4466,1
3.0,2.0,6,3,281,3,2.0,1.0,11,2135,1
3.0,2.0,5,5,262,5,1.0,1.0,9,1400,0
1.0,0.0,4,1,154,4,2.0,1.0,1,5480,0
2.0,2.0,3,4,151,3,1.0,1.0,2,5712,1
4.0,0.0,4,2,203,3,1.0,0.0,9,5296,1
4.0,2.0,4,4,157,2,1.0,1.0,9,4491,1
1.0,2.0,3,5,257,3,2.0,0.0,19,2173,1
2.0,0.0,6,2,118,2,1.0,1.0,40,1014,1
4.0,0.0,4,1,210,2,2.0,0.0,7,3405,1
4.0,2.0,4,5,185,3,2.0,1.0,17,2824,1
4.0,0.0,5,5,140,3,0.0,0.0,42,1384,1
1.0,2.0,3,3,202,3,2.0,0.0,35,3986,1
0.0,1.0,5,1,242,5,1.0,1.0,9,1767,0
3.0,1.0,4,3,258,2,1.0,0.0,2,4308,0
4.0,2.0,4,1,261,4,2.0,0.0,10,4632,0
0.0,0.0,3,1,139,3,0.0,0.0,6,1269,1
4.0,0.0,7,3,285,4,1.0,1.0,10,1935,1
0.0,2.0,3,3,250,3,1.0,0.0,33,3463,1
4.0,0.0,4,1,140,2,1.0,0.0,5,1274,1
1.0,1.0,4,4,192,4,1.0,0.0,2,5856,1
4.0,2.0,4,1,208,3,1.0,1.0,4,4530,1
3.0,2.0,4,3,261,4,2.0,1.0,9,5116,1
3.0,0.0,4,2,164,3,2.0,1.0,15,1489,1
0.0,2.0,3,4,213,2,2.0,0.0,6,5374,1
0.0,0.0,5,5,248,5,2.0,1.0,8,1881,1
2.0,2.0,4,4,176,3,0.0,1.0,34,1283,1
1.0,2.0,5,2,172,2,0.0,0.0,1,5112,0
1.0,0.0,4,3,240,3,1.0,0.0,8,4423,0
3.0,2.0,3,3,182,4,1.0,0.0,2,4746,1
1.0,2.0,5,2,263,5,2.0,0.0,10,1059,0
2.0,2.0,3,2,173,3,2.0,0.0,37,1990,1
3.0,2.0,3,3,255,3,2.0,1.0,23,3764,1
4.0,2.0,2,2,193,3,2.0,1.0,64,2867,1
0.0,1.0,4,3,175,3,2.0,0.0,4,5784,0
3.0,1.0,3,5,253,2,2.0,1.0,7,5846,0
4.0,2.0,4,1,182,3,2.0,0.0,49,3198,1
1.0,2.0,4,3,200,4,1.0,0.0,10,4291,1
2.0,2.0,5,1,267,6,1.0,1.0,3,1803,0
0.0,2.0,5,2,249,5,0.0,0.0,28,2846,1
4.0,2.0,3,4,195,4,1.0,1.0,3,4743,0
1.0,2.0,5,2,264,6,2.0,1.0,10,1659,1
4.0,0.0,3,3,175,3,1.0,1.0,2,5740,1
1.0,2.0,3,3,254,2,2.0,1.0,8,4890,1
2.0,2.0,2,1,249,3,1.0,1.0,11,2534,1
4.0,0.0,4,4,148,2,1.0,1.0,4,5437,0
4.0,0.0,3,5,179,3,1.0,1.0,2,4913,0
2.0,2.0,4,1,140,2,1.0,1.0,60,1950,1
1.0,2.0,5,3,202,4,1.0,1.0,6,5107,0
4.0,2.0,6,2,182,3,1.0,1.0,7,4371,1
4.0,2.0,4,3,163,3,1.0,1.0,52,1891,1
4.0,0.0,4,2,219,3,1.0,1.0,2,3402,1
0.0,2.0,6,5,139,6,2.0,0.0,10,1081,1
3.0,0.0,3,3,191,4,2.0,0.0,17,3675,1
4.0,2.0,4,2,248,3,1.0,1.0,2,5028,1
4.0,2.0,3,5,148,2,2.0,0.0,9,5095,1
4.0,0.0,4,4,258,2,2.0,0.0,5,4363,1
2.0,2.0,3,4,154,2,1.0,1.0,29,1016,1
4.0,1.0,5,4,262,6,1.0,1.0,3,1700,0
4.0,1.0,3,3,176,2,1.0,0.0,58,1730,1
2.0,1.0,3,1,169,2,2.0,0.0,1,4783,1
3.0,2.0,4,5,172,2,2.0,1.0,7,4559,0
4.0,0.0,4,1,247,3,1.0,0.0,9,2414,1
4.0,2.0,4,3,138,3,2.0,1.0,15,1080,1
0.0,2.0,4,4,245,2,1.0,1.0,6,5772,0
2.0,2.0,4,3,225,5,1.0,1.0,8,4195,0
4.0,1.0,4,5,159,3,1.0,1.0,2,1048,1
3.0,2.0,4,5,247,2,2.0,0.0,9,4656,0
0.0,2.0,3,4,148,3,1.0,1.0,1,4387,0
4.0,2.0,5,3,245,4,0.0,1.0,8,4129,1
1.0,2.0,4,3,137,3,2.0,1.0,9,5016,0
3.0,2.0,5,2,281,4,0.0,0.0,5,3357,1
4.0,2.0,5,5,270,3,1.0,0.0,9,5807,1
2.0,1.0,3,3,168,2,1.0,0.0,9,4608,0
4.0,0.0,3,5,175,3,0.0,0.0,6,5150,0
2.0,2.0,3,1,199,2,2.0,0.0,18,3346,1
2.0,0.0,3,3,149,3,2.0,0.0,3,4189,0
4.0,2.0,5,4,225,5,1.0,0.0,6,2000,0
4.0,2.0,6,1,257,4,2.0,0.0,3,5656,1
4.0,2.0,4,3,242,2,1.0,1.0,9,4876,0
2.0,1.0,3,3,219,3,1.0,1.0,4,5956,0
1.0,2.0,4,3,158,6,2.0,1.0,43,1478,1
0.0,2.0,3,3,220,7,1.0,1.0,25,2141,1
3.0,2.0,6,5,290,4,2.0,0.0,3,1463,1
3.0,2.0,3,2,145,2,1.0,0.0,44,1212,1
0.0,2.0,5,3,197,3,2.0,0.0,2,4678,1
3.0,2.0,2,1,148,2,1.0,1.0,10,5939,1
0.0,2.0,5,5,228,3,2.0,0.0,8,4731,1
0.0,0.0,3,4,97,4,1.0,1.0,32,1238,1
4.0,2.0,2,5,228,3,1.0,1.0,8,5643,1
3.0,2.0,5,2,260,5,1.0,1.0,9,1809,1
3.0,1.0,4,5,140,2,2.0,0.0,5,4347,1
4.0,2.0,6,5,291,4,1.0,1.0,3,1102,1
3.0,2.0,3,3,143,3,2.0,1.0,23,1281,1
3.0,2.0,4,4,162,10,0.0,1.0,12,1583,1
1.0,2.0,5,2,173,4,1.0,1.0,21,1674,1
1.0,2.0,3,2,205,3,0.0,1.0,3,4563,1
3.0,2.0,5,4,241,3,2.0,1.0,40,3484,1
4.0,0.0,2,3,134,3,1.0,1.0,4,5958,0
4.0,2.0,6,5,150,3,2.0,1.0,3,5747,0
4.0,2.0,3,5,154,2,2.0,1.0,6,4675,1
4.0,2.0,3,4,148,5,2.0,0.0,50,1540,1
4.0,2.0,3,2,224,3,1.0,0.0,7,5896,0
4.0,2.0,3,4,153,2,2.0,1.0,37,1740,1
0.0,2.0,4,4,154,3,1.0,0.0,7,4106,1
0.0,2.0,3,1,169,3,1.0,0.0,6,4081,1
1.0,1.0,4,1,260,3,1.0,1.0,9,4239,0
4.0,1.0,3,2,247,2,2.0,1.0,39,3189,1
0.0,2.0,5,3,232,5,2.0,0.0,2,1057,1
4.0,2.0,4,1,282,4,2.0,1.0,10,5065,0
0.0,1.0,5,4,262,6,2.0,0.0,1,1177,0
4.0,2.0,4,1,246,6,1.0,1.0,4,1489,0
0.0,1.0,4,1,140,3,1.0,1.0,4,5210,1
2.0,1.0,4,4,203,5,1.0,1.0,36,3912,1
4.0,2.0,5,2,269,2,2.0,0.0,9,5672,0
0.0,2.0,5,4,209,4,1.0,0.0,10,5461,0
2.0,2.0,3,2,248,3,2.0,1.0,8,5171,0
2.0,0.0,5,2,178,3,1.0,1.0,48,1517,1
1.0,2.0,4,5,273,5,2.0,0.0,7,1409,0
0.0,2.0,4,1,197,2,1.0,0.0,2,5685,0
4.0,2.0,4,2,230,3,0.0,0.0,5,5888,0
0.0,2.0,3,3,264,3,2.0,0.0,6,4247,1
1.0,0.0,3,3,150,2,2.0,1.0,3,5836,0
0.0,2.0,5,1,200,8,1.0,0.0,18,3806,1
1.0,0.0,3,1,151,2,1.0,1.0,60,1925,1
3.0,2.0,4,4,228,5,1.0,1.0,6,1853,1
4.0,2.0,4,5,268,2,2.0,1.0,46,3076,1
0.0,1.0,3,1,139,3,1.0,0.0,4,4666,0
1.0,0.0,4,2,222,2,2.0,1.0,5,4268,0
1.0,2.0,5,2,140,3,2.0,0.0,16,1969,1
0.0,2.0,5,5,246,5,1.0,0.0,6,1911,0
3.0,2.0,5,3,209,2,0.0,0.0,49,2581,1
4.0,0.0,3,3,168,4,1.0,0.0,2,4541,1
4.0,2.0,3,1,274,4,1.0,1.0,3,5979,0
2.0,2.0,4,4,209,3,0.0,0.0,5,5979,0
4.0,0.0,4,1,179,3,1.0,1.0,63,1215,1
0.0,2.0,3,1,149,2,2.0,0.0,7,4147,1
3.0,2.0,6,3,292,4,1.0,0.0,8,1434,0
2.0,2.0,5,4,226,6,1.0,0.0,3,1223,1
0.0,2.0,6,4,121,5,1.0,1.0,23,1734,1
1.0,2.0,6,2,256,5,2.0,0.0,2,1449,1
0.0,1.0,4,5,274,10,2.0,0.0,5,3910,1
1.0,2.0,4,5,239,5,1.0,0.0,7,1001,1
4.0,2.0,4,5,200,4,2.0,0.0,2,4947,0
2.0,0.0,4,4,248,3,0.0,0.0,10,4532,0
3.0,1.0,4,4,189,2,1.0,1.0,5,4553,0
4.0,2.0,3,3,212,3,2.0,1.0,10,5724,1
0.0,2.0,3,5,257,3,1.0,1.0,5,5657,0
3.0,2.0,5,3,210,3,2.0,1.0,9,5912,0
0.0,2.0,3,3,159,3,1.0,1.0,3,5230,1
4.0,1.0,4,2,231,3,0.0,1.0,3,5112,0
4.0,2.0,4,4,201,3,1.0,0.0,2,5385,0
0.0,2.0,3,4,150,2,1.0,1.0,1,4742,0
0.0,1.0,3,2,237,2,0.0,1.0,26,3103,1
4.0,1.0,6,1,306,4,1.0,1.0,1,1210,0
1.0,0.0,4,2,233,4,1.0,1.0,7,1861,0
0.0,2.0,4,3,196,2,1.0,0.0,5,5656,0
0.0,2.0,4,5,196,3,1.0,0.0,4,5610,0
4.0,2.0,4,2,206,2,2.0,1.0,4,5159,0
1.0,1.0,4,1,158,3,1.0,0.0,32,1061,1
1.0,2.0,3,5,284,2,1.0,1.0,10,5619,0
4.0,2.0,5,4,226,2,1.0,1.0,6,4547,0
4.0,2.0,4,4,217,6,2.0,1.0,9,1974,0
4.0,2.0,4,4,224,4,2.0,0.0,2,4503,1
3.0,2.0,4,4,188,4,1.0,0.0,10,4571,1
4.0,2.0,4,3,166,4,2.0,0.0,1,4536,0
4.0,2.0,3,4,136,3,2.0,1.0,2,4524,1
1.0,0.0,3,3,158,3,1.0,1.0,1,5502,0
4.0,2.0,5,4,154,2,1.0,0.0,5,5528,0
4.0,2.0,5,4,234,3,1.0,0.0,2,4269,0
0.0,2.0,6,1,264,4,1.0,1.0,9,1243,0
2.0,0.0,2,5,202,3,1.0,1.0,50,2587,1
1.0,2.0,3,2,234,2,2.0,1.0,8,4012,1
0.0,2.0,4,3,287,5,2.0,1.0,6,4376,1
2.0,1.0,5,3,258,3,2.0,0.0,1,5719,0
0.0,2.0,4,2,161,4,1.0,0.0,9,4713,1
4.0,2.0,4,4,144,8,2.0,1.0,6,4390,1
4.0,2.0,4,2,254,7,1.0,0.0,6,5121,0
4.0,2.0,5,4,274,5,1.0,1.0,6,1969,0
1.0,2.0,4,2,266,3,2.0,1.0,7,5121,0
4.0,0.0,3,4,245,2,2.0,0.0,1,4427,0
2.0,2.0,3,4,238,2,2.0,1.0,7,5974,0
2.0,2.0,4,4,176,6,0.0,1.0,5,4494,1
4.0,0.0,4,2,186,2,1.0,1.0,2,5604,1
3.0,1.0,5,2,262,6,2.0,1.0,10,3164,1
1.0,1.0,5,1,282,4,1.0,0.0,9,4766,0
4.0,2.0,5,2,173,2,1.0,1.0,7,5836,0
3.0,0.0,6,4,305,4,1.0,0.0,7,1172,1
3.0,0.0,3,1,168,4,2.0,0.0,9,5136,0
4.0,0.0,5,4,235,5,1.0,0.0,8,1549,0
4.0,1.0,4,2,146,3,1.0,0.0,4,5659,0
0.0,2.0,4,5,248,4,0.0,0.0,56,2840,1
0.0,2.0,3,5,233,2,2.0,1.0,1,4913,0
4.0,1.0,4,3,136,3,1.0,1.0,6,4911,1
3.0,0.0,3,2,286,6,0.0,0.0,5,5588,0
0.0,1.0,5,2,262,5,2.0,1.0,1,1483,0
0.0,2.0,5,5,134,2,2.0,1.0,64,1785,1
4.0,2.0,4,5,263,2,2.0,1.0,13,2779,1
2.0,2.0,4,5,246,3,2.0,0.0,7,4956,0
1.0,0.0,3,2,272,3,2.0,0.0,40,3766,1
3.0,2.0,5,2,266,5,1.0,0.0,1,1504,1
0.0,2.0,5,1,175,3,2.0,0.0,64,1110,1
4.0,2.0,4,3,216,2,1.0,1.0,4,5997,0
4.0,2.0,5,1,271,5,1.0,0.0,5,1869,1
2.0,2.0,4,5,258,3,1.0,0.0,3,5422,1
0.0,2.0,4,4,218,4,2.0,0.0,10,4967,0
0.0,0.0,5,3,270,5,1.0,0.0,1,1568,1
4.0,2.0,3,3,234,3,1.0,0.0,6,5652,0
3.0,2.0,4,4,180,3,1.0,1.0,3,5031,0
3.0,0.0,4,2,266,3,0.0,1.0,1,5532,1
3.0,2.0,4,3,151,4,2.0,1.0,13,1583,1
4.0,2.0,4,5,259,2,2.0,0.0,4,4092,1
3.0,0.0,5,2,223,3,1.0,0.0,51,3687,1
4.0,2.0,4,1,258,3,2.0,0.0,4,3686,1
4.0,2.0,3,4,136,2,2.0,0.0,54,1056,1
2.0,2.0,4,4,249,10,2.0,0.0,2,4190,0
4.0,2.0,6,5,274,4,1.0,1.0,6,1066,0
2.0,1.0,6,3,175,4,1.0,1.0,3,4143,0
3.0,2.0,4,3,162,2,1.0,1.0,2,1714,1
1.0,2.0,3,2,272,3,1.0,1.0,7,5657,1
4.0,2.0,3,1,226,2,1.0,1.0,18,2319,1
1.0,2.0,3,3,219,3,0.0,1.0,5,4321,0
4.0,2.0,6,5,245,4,1.0,0.0,7,1521,0
3.0,2.0,4,2,161,4,1.0,0.0,10,5322,0
1.0,2.0,3,2,203,3,0.0,1.0,3,2791,1
1.0,2.0,4,5,155,3,1.0,0.0,10,5315,1
3.0,2.0,3,3,242,3,1.0,0.0,51,3935,1
3.0,2.0,3,1,183,4,1.0,1.0,5,5326,0
2.0,0.0,2,1,173,2,0.0,1.0,1,4135,1
0.0,2.0,3,5,266,2,0.0,0.0,3,5195,0
3.0,1.0,4,5,233,3,2.0,0.0,43,3856,1
3.0,2.0,5,1,241,3,0.0,1.0,8,5306,1
2.0,2.0,6,4,286,4,1.0,0.0,8,1690,1
4.0,2.0,5,3,236,6,2.0,1.0,9,3715,1
1.0,2.0,2,4,147,2,2.0,0.0,65,1738,1
3.0,2.0,3,4,245,10,2.0,1.0,1,5363,0
1.0,2.0,4,4,181,3,2.0,0.0,9,4425,1
4.0,2.0,3,1,187,2,0.0,1.0,56,3774,1
3.0,2.0,2,3,273,4,1.0,1.0,3,5079,0
4.0,2.0,4,5,278,6,1.0,1.0,4,3909,1
1.0,2.0,3,5,214,3,1.0,0.0,6,5319,0
0.0,2.0,4,1,253,3,1.0,1.0,31,3632,1
4.0,0.0,4,5,249,3,1.0,0.0,7,5509,0
3.0,0.0,4,4,185,3,0.0,0.0,6,4238,1
4.0,2.0,6,1,208,5,1.0,1.0,6,4537,0
2.0,1.0,4,1,271,5,2.0,0.0,3,1328,0
4.0,2.0,6,5,261,5,1.0,1.0,1,5442,0
2.0,1.0,6,4,294,3,2.0,1.0,7,1455,0
3.0,2.0,3,3,140,2,2.0,1.0,55,1847,1
3.0,0.0,4,4,220,2,2.0,0.0,7,2551,1
0.0,0.0,3,2,227,2,2.0,1.0,9,4659,0
3.0,2.0,5,1,176,4,1.0,0.0,1,4270,1
1.0,2.0,4,2,269,5,1.0,0.0,45,2383,1
0.0,2.0,6,4,306,4,1.0,0.0,8,1691,1
4.0,2.0,3,5,174,2,1.0,0.0,4,5692,0
1.0,2.0,4,5,270,10,2.0,1.0,9,5085,1
2.0,0.0,5,2,255,5,2.0,1.0,4,1634,0
1.0,2.0,4,4,260,2,1.0,1.0,17,3068,1
2.0,2.0,4,4,273,5,1.0,1.0,10,1316,0
4.0,2.0,3,2,264,2,1.0,1.0,6,5702,1
4.0,2.0,3,2,98,3,2.0,0.0,60,1057,1
4.0,2.0,5,1,233,3,1.0,0.0,9,5039,0
2.0,1.0,5,1,253,6,2.0,1.0,12,2486,1
2.0,2.0,6,1,189,2,1.0,0.0,6,1269,0
3.0,2.0,3,4,209,2,0.0,0.0,5,4363,0
1.0,2.0,4,2,274,2,1.0,1.0,10,4361,0
0.0,2.0,6,3,260,5,1.0,1.0,8,1324,1
4.0,2.0,4,2,225,2,2.0,0.0,5,5943,0
1.0,2.0,4,4,138,7,2.0,1.0,65,1530,1
2.0,2.0,5,1,240,5,2.0,0.0,5,4144,0
4.0,0.0,6,5,256,5,1.0,1.0,10,1686,0
4.0,1.0,5,2,254,6,1.0,0.0,5,1951,0
3.0,2.0,6,2,232,3,2.0,0.0,7,5219,1
4.0,0.0,5,4,245,5,1.0,1.0,6,3592,1
2.0,1.0,4,3,137,3,2.0,0.0,10,4820,1
3.0,2.0,3,2,189,2,1.0,1.0,6,4488,1
3.0,2.0,6,4,310,4,2.0,1.0,1,1494,1
4.0,2.0,5,5,151,3,2.0,1.0,2,5506,0
4.0,0.0,6,3,254,4,1.0,1.0,6,1335,0
0.0,2.0,6,5,254,4,1.0,1.0,7,1674,0
3.0,2.0,3,4,240,3,2.0,1.0,8,4410,0
4.0,0.0,3,3,154,4,2.0,0.0,62,1616,1
4.0,2.0,4,5,199,2,1.0,0.0,8,4463,0
3.0,2.0,2,3,142,3,2.0,0.0,38,7640,1
2.0,0.0,6,3,306,4,1.0,0.0,5,1490,1
0.0,0.0,4,1,195,2,1.0,0.0,3,4165,0
2.0,2.0,4,4,172,3,2.0,0.0,1,4201,0
4.0,2.0,3,5,176,2,2.0,0.0,8,5597,1
4.0,0.0,4,1,220,2,2.0,1.0,38,2368,1
4.0,2.0,2,3,188,3,2.0,0.0,51,3191,1
4.0,2.0,4,3,235,3,2.0,0.0,4,5748,1
1.0,0.0,3,5,256,2,2.0,0.0,4,5368,1
4.0,2.0,3,2,191,3,0.0,0.0,42,2374,1
3.0,1.0,2,3,170,8,1.0,1.0,61,1240,1
0.0,2.0,2,2,161,2,2.0,0.0,1,1642,1
4.0,2.0,5,5,227,3,2.0,1.0,36,3952,1
4.0,2.0,3,4,243,2,2.0,1.0,1,5840,1
1.0,1.0,5,3,203,2,1.0,0.0,37,3531,1
4.0,2.0,4,5,201,8,2.0,0.0,4,5472,1
2.0,2.0,4,2,210,3,1.0,1.0,8,5672,1
0.0,2.0,3,2,215,4,0.0,1.0,1,4158,0
2.0,2.0,5,3,252,4,2.0,1.0,63,3729,1
2.0,2.0,4,3,189,3,2.0,0.0,9,4825,0
4.0,2.0,5,5,236,2,2.0,1.0,2,5210,0
4.0,2.0,5,1,181,3,1.0,0.0,6,5423,0
3.0,2.0,3,5,194,3,2.0,0.0,10,2277,1
4.0,2.0,6,4,299,4,1.0,1.0,9,1527,0
0.0,1.0,2,2,134,3,1.0,0.0,38,1530,1
3.0,2.0,3,4,268,2,2.0,0.0,4,1442,1
0.0,2.0,5,1,217,2,2.0,1.0,6,5518,0
1.0,2.0,2,1,219,4,1.0,1.0,6,5124,0
0.0,2.0,4,3,261,3,1.0,0.0,6,2787,1
2.0,0.0,4,2,142,3,2.0,0.0,6,4918,0
0.0,2.0,4,3,276,4,1.0,0.0,3,3889,1
