RESOURCE,MGR_ID,ROLE_ROLLUP_1,ROLE_ROLLUP_2,ROLE_DEPTNAME,ROLE_TITLE,ROLE_FAMILY_DESC,ROLE_FAMILY,ROLE_CODE,__target__
4198.0,4142.0,30.0,35.0,0.0,0.0,2173.0,56.0,0.0,1
1751.0,691.0,127.0,31.0,20.0,4.0,5.0,61.0,4.0,1
4320.0,1532.0,18.0,61.0,294.0,22.0,5.0,61.0,23.0,1
5493.0,1407.0,18.0,61.0,283.0,42.0,2248.0,3.0,46.0,1
7428.0,2479.0,18.0,65.0,25.0,192.0,352.0,9.0,202.0,1
1115.0,2539.0,79.0,106.0,135.0,22.0,5.0,61.0,23.0,0
5508.0,3221.0,4.0,2.0,0.0,0.0,0.0,56.0,0.0,1
593.0,1571.0,57.0,48.0,151.0,142.0,1790.0,37.0,152.0,1
678.0,162.0,18.0,55.0,267.0,22.0,1899.0,61.0,23.0,1
5216.0,3701.0,18.0,55.0,212.0,108.0,1064.0,34.0,117.0,1
7046.0,3002.0,18.0,61.0,57.0,4.0,5.0,61.0,4.0,1
2070.0,2456.0,18.0,18.0,104.0,4.0,5.0,61.0,4.0,1
7354.0,2971.0,127.0,31.0,20.0,22.0,5.0,61.0,23.0,1
3788.0,2146.0,18.0,63.0,85.0,22.0,5.0,61.0,23.0,1
3523.0,1395.0,18.0,18.0,55.0,121.0,2293.0,14.0,130.0,1
3195.0,1890.0,18.0,63.0,371.0,4.0,5.0,61.0,4.0,1
5602.0,2657.0,18.0,63.0,107.0,22.0,5.0,61.0,23.0,1
1325.0,679.0,18.0,63.0,169.0,11.0,165.0,0.0,11.0,1
4427.0,2587.0,18.0,61.0,49.0,103.0,2324.0,9.0,111.0,0
6047.0,886.0,18.0,61.0,165.0,56.0,374.0,8.0,60.0,1
1789.0,2841.0,4.0,39.0,0.0,36.0,189.0,56.0,40.0,1
55.0,4069.0,6.0,32.0,68.0,87.0,644.0,61.0,95.0,1
6329.0,1791.0,18.0,61.0,189.0,184.0,330.0,6.0,194.0,1
6578.0,445.0,18.0,71.0,47.0,47.0,226.0,61.0,51.0,1
6000.0,1728.0,18.0,65.0,80.0,4.0,1899.0,61.0,4.0,1
4043.0,4040.0,92.0,128.0,74.0,22.0,2350.0,61.0,23.0,1
6000.0,1582.0,18.0,61.0,38.0,164.0,2235.0,8.0,173.0,1
1192.0,940.0,18.0,69.0,260.0,4.0,1899.0,61.0,4.0,1
3686.0,2464.0,18.0,33.0,287.0,56.0,1670.0,8.0,60.0,1
5493.0,1997.0,18.0,69.0,340.0,22.0,5.0,61.0,23.0,1
1524.0,3565.0,18.0,19.0,424.0,56.0,479.0,8.0,60.0,1
2998.0,512.0,6.0,32.0,7.0,331.0,631.0,62.0,64.0,1
1982.0,1108.0,4.0,2.0,0.0,0.0,0.0,56.0,0.0,0
4446.0,3647.0,18.0,61.0,125.0,17.0,426.0,61.0,18.0,1
5779.0,2223.0,18.0,55.0,152.0,22.0,5.0,61.0,23.0,0
1646.0,1468.0,18.0,68.0,363.0,22.0,5.0,61.0,23.0,1
1033.0,38.0,12.0,10.0,6.0,0.0,1.0,56.0,0.0,1
749.0,3351.0,18.0,18.0,266.0,4.0,5.0,61.0,4.0,1
2104.0,3384.0,18.0,55.0,212.0,22.0,5.0,61.0,23.0,1
4565.0,1051.0,18.0,68.0,103.0,47.0,224.0,61.0,51.0,1
2634.0,2944.0,18.0,63.0,191.0,4.0,5.0,61.0,4.0,1
2138.0,1578.0,102.0,142.0,7.0,6.0,1090.0,62.0,5.0,1
55.0,1724.0,18.0,65.0,80.0,22.0,5.0,61.0,23.0,1
2909.0,807.0,18.0,104.0,223.0,337.0,2144.0,62.0,71.0,1
5034.0,806.0,18.0,65.0,113.0,92.0,1997.0,9.0,100.0,1
499.0,2295.0,20.0,21.0,4.0,0.0,1.0,56.0,0.0,1
6001.0,346.0,18.0,61.0,38.0,56.0,374.0,8.0,60.0,1
6945.0,2041.0,18.0,63.0,191.0,22.0,5.0,61.0,23.0,0
3260.0,3203.0,11.0,58.0,6.0,1.0,6.0,0.0,1.0,1
1513.0,747.0,18.0,55.0,130.0,65.0,1494.0,25.0,72.0,1
6000.0,2170.0,18.0,65.0,76.0,340.0,706.0,4.0,24.0,1
1749.0,3722.0,18.0,68.0,86.0,28.0,597.0,10.0,29.0,1
2313.0,1815.0,18.0,65.0,38.0,26.0,1834.0,8.0,27.0,0
2525.0,2782.0,18.0,65.0,168.0,4.0,5.0,61.0,4.0,1
4452.0,1298.0,18.0,65.0,145.0,107.0,737.0,9.0,116.0,1
5052.0,1281.0,18.0,69.0,340.0,46.0,2141.0,63.0,50.0,1
2573.0,3930.0,18.0,61.0,303.0,4.0,5.0,61.0,4.0,1
2707.0,1706.0,18.0,63.0,216.0,47.0,1899.0,61.0,51.0,1
5362.0,2126.0,51.0,72.0,59.0,122.0,184.0,11.0,131.0,1
7417.0,3153.0,18.0,71.0,78.0,223.0,1850.0,18.0,233.0,1
5407.0,1956.0,67.0,97.0,13.0,35.0,61.0,60.0,39.0,1
5215.0,3580.0,18.0,33.0,115.0,17.0,2175.0,61.0,18.0,0
6537.0,2761.0,50.0,60.0,154.0,53.0,1409.0,9.0,57.0,1
760.0,3754.0,18.0,65.0,98.0,4.0,5.0,61.0,4.0,1
4984.0,2090.0,18.0,33.0,115.0,22.0,5.0,61.0,23.0,0
4792.0,2241.0,18.0,63.0,37.0,22.0,5.0,61.0,23.0,1
3760.0,3763.0,51.0,72.0,59.0,86.0,2311.0,4.0,94.0,1
3983.0,1754.0,18.0,65.0,80.0,47.0,5.0,61.0,51.0,1
2196.0,283.0,18.0,18.0,104.0,87.0,1816.0,61.0,95.0,1
4851.0,892.0,18.0,33.0,166.0,47.0,212.0,61.0,51.0,1
5577.0,2704.0,18.0,65.0,250.0,86.0,2311.0,4.0,94.0,1
1982.0,1583.0,50.0,60.0,221.0,26.0,2091.0,8.0,27.0,0
1167.0,3549.0,18.0,68.0,86.0,4.0,1899.0,61.0,4.0,0
1657.0,4239.0,66.0,86.0,5.0,36.0,1382.0,56.0,40.0,1
3193.0,726.0,74.0,156.0,391.0,4.0,5.0,61.0,4.0,1
5312.0,851.0,18.0,18.0,129.0,294.0,849.0,17.0,302.0,1
5387.0,407.0,1.0,0.0,0.0,0.0,930.0,56.0,0.0,1
7165.0,2484.0,18.0,63.0,37.0,4.0,5.0,61.0,4.0,1
6000.0,2816.0,22.0,23.0,0.0,36.0,2197.0,56.0,40.0,1
1518.0,2793.0,18.0,61.0,49.0,92.0,2344.0,9.0,100.0,1
591.0,520.0,48.0,57.0,68.0,176.0,1716.0,37.0,186.0,1
4923.0,2868.0,6.0,4.0,365.0,55.0,945.0,8.0,59.0,1
6029.0,1636.0,18.0,61.0,88.0,19.0,37.0,61.0,20.0,1
1639.0,3867.0,18.0,69.0,353.0,22.0,5.0,61.0,23.0,1
6000.0,2262.0,18.0,63.0,35.0,127.0,191.0,10.0,136.0,1
113.0,3534.0,18.0,61.0,88.0,4.0,5.0,61.0,4.0,1
1031.0,3464.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1
5441.0,2876.0,61.0,81.0,91.0,70.0,784.0,57.0,77.0,0
844.0,2317.0,78.0,105.0,73.0,217.0,631.0,62.0,227.0,1
5493.0,2991.0,18.0,65.0,57.0,4.0,5.0,61.0,4.0,1
4700.0,2264.0,18.0,63.0,341.0,196.0,2278.0,17.0,206.0,1
3166.0,2339.0,12.0,10.0,5.0,36.0,2151.0,56.0,40.0,1
5806.0,2262.0,18.0,63.0,35.0,127.0,957.0,10.0,136.0,1
2590.0,202.0,6.0,4.0,180.0,129.0,1243.0,8.0,138.0,1
6169.0,170.0,12.0,13.0,5.0,1.0,6.0,0.0,1.0,1
5034.0,2845.0,83.0,111.0,113.0,20.0,40.0,3.0,21.0,1
3750.0,2643.0,127.0,31.0,392.0,22.0,5.0,61.0,23.0,1
3173.0,3706.0,18.0,18.0,52.0,22.0,5.0,61.0,23.0,0
4257.0,2001.0,18.0,71.0,78.0,186.0,335.0,21.0,196.0,1
2152.0,3093.0,18.0,71.0,78.0,45.0,73.0,21.0,49.0,1
2598.0,3867.0,18.0,69.0,353.0,22.0,1899.0,61.0,23.0,1
6222.0,658.0,18.0,69.0,281.0,46.0,2141.0,63.0,50.0,1
6490.0,1376.0,45.0,52.0,221.0,119.0,2336.0,8.0,128.0,1
3766.0,1532.0,18.0,61.0,294.0,47.0,5.0,61.0,51.0,1
893.0,1694.0,69.0,90.0,74.0,103.0,2262.0,9.0,111.0,1
6035.0,541.0,18.0,65.0,269.0,87.0,644.0,61.0,95.0,1
4763.0,1636.0,18.0,61.0,88.0,11.0,654.0,0.0,11.0,1
1294.0,2451.0,50.0,60.0,140.0,20.0,119.0,3.0,21.0,1
4565.0,3671.0,18.0,55.0,324.0,22.0,5.0,61.0,23.0,1
6241.0,3894.0,18.0,33.0,205.0,4.0,5.0,61.0,4.0,1
2710.0,385.0,18.0,55.0,267.0,22.0,5.0,61.0,23.0,1
4565.0,3777.0,18.0,65.0,167.0,22.0,5.0,61.0,23.0,1
3637.0,1682.0,51.0,72.0,285.0,4.0,601.0,61.0,4.0,1
1091.0,1711.0,18.0,63.0,60.0,33.0,2131.0,1.0,37.0,0
819.0,2395.0,18.0,65.0,145.0,53.0,737.0,9.0,57.0,1
3203.0,3358.0,12.0,13.0,6.0,1.0,6.0,0.0,1.0,1
2312.0,3767.0,127.0,31.0,20.0,88.0,1400.0,2.0,96.0,1
4756.0,3459.0,18.0,65.0,168.0,22.0,1899.0,61.0,23.0,1
4352.0,3552.0,127.0,31.0,15.0,237.0,515.0,10.0,247.0,0
5487.0,3825.0,57.0,48.0,7.0,6.0,82.0,62.0,5.0,1
1705.0,3605.0,18.0,55.0,192.0,65.0,820.0,25.0,72.0,1
5034.0,3846.0,105.0,153.0,123.0,63.0,1414.0,18.0,69.0,1
5416.0,1300.0,18.0,69.0,438.0,59.0,83.0,23.0,65.0,1
5850.0,3384.0,18.0,55.0,212.0,22.0,5.0,61.0,23.0,1
5362.0,1827.0,127.0,31.0,271.0,18.0,1447.0,62.0,19.0,1
1647.0,434.0,18.0,33.0,115.0,22.0,2192.0,61.0,23.0,0
3798.0,2027.0,18.0,65.0,219.0,22.0,5.0,61.0,23.0,1
7432.0,3406.0,18.0,65.0,219.0,22.0,5.0,61.0,23.0,1
3540.0,530.0,18.0,55.0,288.0,125.0,286.0,16.0,134.0,1
490.0,764.0,18.0,61.0,125.0,22.0,5.0,61.0,23.0,1
2519.0,1574.0,69.0,90.0,49.0,103.0,1745.0,9.0,111.0,1
4652.0,3279.0,18.0,71.0,412.0,22.0,5.0,61.0,23.0,1
5596.0,3275.0,18.0,65.0,57.0,4.0,5.0,61.0,4.0,1
4790.0,3277.0,18.0,63.0,243.0,196.0,2278.0,17.0,206.0,1
2909.0,592.0,78.0,105.0,7.0,217.0,1592.0,62.0,227.0,1
4317.0,61.0,18.0,63.0,153.0,22.0,5.0,61.0,23.0,1
965.0,750.0,18.0,69.0,242.0,4.0,5.0,61.0,4.0,1
5783.0,2778.0,74.0,99.0,110.0,4.0,5.0,61.0,4.0,1
5965.0,3926.0,123.0,46.0,0.0,1.0,0.0,0.0,1.0,1
4669.0,3917.0,57.0,48.0,28.0,19.0,5.0,61.0,20.0,1
3396.0,1934.0,18.0,68.0,86.0,22.0,5.0,61.0,23.0,1
55.0,1024.0,9.0,7.0,5.0,36.0,407.0,56.0,40.0,1
654.0,3790.0,18.0,65.0,219.0,47.0,5.0,61.0,51.0,1
1301.0,2090.0,18.0,33.0,115.0,22.0,1899.0,61.0,23.0,0
5362.0,4037.0,95.0,136.0,256.0,32.0,1496.0,4.0,36.0,1
4983.0,671.0,79.0,106.0,135.0,38.0,2278.0,17.0,42.0,1
3821.0,337.0,18.0,33.0,194.0,33.0,2131.0,1.0,37.0,1
6595.0,3762.0,18.0,71.0,78.0,47.0,75.0,61.0,51.0,1
3767.0,2695.0,18.0,61.0,74.0,27.0,1168.0,9.0,28.0,1
347.0,1347.0,18.0,65.0,286.0,47.0,5.0,61.0,51.0,1
5597.0,445.0,18.0,71.0,47.0,22.0,5.0,61.0,23.0,1
5454.0,1003.0,6.0,4.0,88.0,127.0,253.0,10.0,136.0,1
974.0,1781.0,18.0,55.0,212.0,38.0,2278.0,17.0,42.0,1
532.0,1562.0,18.0,69.0,203.0,4.0,5.0,61.0,4.0,1
5061.0,2557.0,18.0,68.0,103.0,83.0,1924.0,16.0,91.0,0
609.0,1125.0,18.0,68.0,86.0,4.0,5.0,61.0,4.0,1
2364.0,1950.0,67.0,97.0,13.0,9.0,17.0,60.0,9.0,1
1262.0,994.0,18.0,55.0,375.0,96.0,637.0,60.0,104.0,1
4811.0,3706.0,18.0,69.0,52.0,22.0,5.0,61.0,23.0,1
2228.0,1468.0,18.0,68.0,284.0,137.0,624.0,19.0,147.0,1
689.0,1636.0,18.0,61.0,88.0,28.0,597.0,10.0,29.0,1
6102.0,3597.0,51.0,72.0,40.0,67.0,481.0,11.0,74.0,1
3112.0,2192.0,51.0,62.0,367.0,83.0,445.0,16.0,91.0,0
55.0,3572.0,118.0,104.0,54.0,28.0,397.0,10.0,29.0,1
4452.0,2762.0,69.0,90.0,318.0,57.0,2297.0,9.0,62.0,1
3127.0,3543.0,89.0,123.0,157.0,22.0,5.0,61.0,23.0,1
2153.0,2912.0,31.0,36.0,5.0,70.0,118.0,57.0,77.0,1
4675.0,1154.0,54.0,70.0,35.0,11.0,51.0,0.0,11.0,1
1766.0,185.0,18.0,63.0,251.0,163.0,279.0,34.0,172.0,1
4322.0,305.0,18.0,33.0,176.0,22.0,5.0,61.0,23.0,1
2519.0,2676.0,83.0,111.0,315.0,42.0,2109.0,3.0,46.0,1
5493.0,2047.0,18.0,68.0,245.0,4.0,5.0,61.0,4.0,1
691.0,4101.0,18.0,69.0,203.0,22.0,52.0,61.0,23.0,1
5107.0,1084.0,18.0,19.0,221.0,178.0,589.0,23.0,188.0,1
3291.0,3520.0,127.0,31.0,301.0,22.0,5.0,61.0,23.0,1
3766.0,2251.0,18.0,55.0,317.0,340.0,2344.0,4.0,24.0,0
5022.0,3411.0,89.0,123.0,398.0,22.0,1234.0,61.0,23.0,1
5634.0,657.0,18.0,104.0,132.0,6.0,77.0,62.0,5.0,1
3184.0,3762.0,18.0,71.0,78.0,46.0,2141.0,63.0,50.0,1
5493.0,116.0,18.0,65.0,124.0,4.0,5.0,61.0,4.0,1
1691.0,940.0,18.0,69.0,260.0,22.0,1899.0,61.0,23.0,1
